nthreads,thread,rep,work,msg_size,post_time,wait_time,comp_time,comm_time
63,0,5000,100,4,0.005086,0.408922,0.018220,0.432228
63,1,5000,100,4,0.005496,0.407505,0.018323,0.431325
63,2,5000,100,4,0.005210,0.408212,0.018333,0.431755
63,3,5000,100,4,0.005379,0.413264,0.016719,0.435362
63,4,5000,100,4,0.005212,0.412431,0.016009,0.433652
63,5,5000,100,4,0.005236,0.404381,0.018424,0.428040
63,6,5000,100,4,0.005239,0.406052,0.016398,0.427690
63,7,5000,100,4,0.005508,0.406403,0.016291,0.428202
63,8,5000,100,4,0.005424,0.406946,0.015547,0.427918
63,9,5000,100,4,0.005124,0.412225,0.015790,0.433139
63,10,5000,100,4,0.005450,0.405709,0.016037,0.427196
63,11,5000,100,4,0.005192,0.404302,0.017662,0.427157
63,12,5000,100,4,0.005435,0.406639,0.018239,0.430313
63,13,5000,100,4,0.005368,0.409173,0.016525,0.431066
63,14,5000,100,4,0.005063,0.408603,0.016484,0.430149
63,15,5000,100,4,0.005384,0.404696,0.015857,0.425937
63,16,5000,100,4,0.005307,0.406514,0.018041,0.429863
63,17,5000,100,4,0.005328,0.410086,0.018093,0.433507
63,18,5000,100,4,0.005354,0.409057,0.018481,0.432892
63,19,5000,100,4,0.005127,0.406177,0.017276,0.428580
63,20,5000,100,4,0.005113,0.409015,0.016468,0.430597
63,21,5000,100,4,0.005423,0.411763,0.018429,0.435614
63,22,5000,100,4,0.005168,0.404450,0.015375,0.424993
63,23,5000,100,4,0.005335,0.404561,0.016711,0.426607
63,24,5000,100,4,0.005243,0.403756,0.017619,0.426618
63,25,5000,100,4,0.005020,0.405614,0.016226,0.426860
63,26,5000,100,4,0.005468,0.401845,0.015934,0.423247
63,27,5000,100,4,0.005057,0.410275,0.018199,0.433531
63,28,5000,100,4,0.005458,0.406933,0.018336,0.430727
63,29,5000,100,4,0.005164,0.411286,0.017676,0.434127
63,30,5000,100,4,0.005430,0.410523,0.018384,0.434338
63,31,5000,100,4,0.004978,0.415797,0.015958,0.436733
63,32,5000,100,4,0.005220,0.402911,0.016683,0.424814
63,33,5000,100,4,0.005223,0.406342,0.016951,0.428516
63,34,5000,100,4,0.005149,0.404467,0.015932,0.425547
63,35,5000,100,4,0.004982,0.403811,0.018500,0.427293
63,36,5000,100,4,0.005086,0.405166,0.016597,0.426849
63,37,5000,100,4,0.004976,0.399282,0.016482,0.420740
63,38,5000,100,4,0.005180,0.405970,0.018508,0.429658
63,39,5000,100,4,0.005288,0.403929,0.016366,0.425584
63,40,5000,100,4,0.004944,0.403578,0.016691,0.425214
63,41,5000,100,4,0.004930,0.404063,0.016765,0.425758
63,42,5000,100,4,0.005041,0.407493,0.018373,0.430908
63,43,5000,100,4,0.005110,0.404200,0.018314,0.427624
63,44,5000,100,4,0.004988,0.403252,0.015600,0.423841
63,45,5000,100,4,0.005002,0.403504,0.016480,0.424985
63,46,5000,100,4,0.005028,0.408979,0.016124,0.430131
63,47,5000,100,4,0.004888,0.403144,0.016682,0.424713
63,48,5000,100,4,0.005056,0.405615,0.016157,0.426828
63,49,5000,100,4,0.005099,0.407606,0.016608,0.429313
63,50,5000,100,4,0.005071,0.403472,0.016163,0.424706
63,51,5000,100,4,0.004891,0.404081,0.016575,0.425546
63,52,5000,100,4,0.005130,0.405068,0.016512,0.426709
63,53,5000,100,4,0.005007,0.407430,0.016382,0.428819
63,54,5000,100,4,0.005118,0.403247,0.015710,0.424075
63,55,5000,100,4,0.005107,0.407276,0.016321,0.428704
63,56,5000,100,4,0.005151,0.405979,0.016581,0.427711
63,57,5000,100,4,0.005163,0.409501,0.016403,0.431067
63,58,5000,100,4,0.004843,0.407009,0.016537,0.428389
63,59,5000,100,4,0.004627,0.405149,0.016473,0.426249
63,60,5000,100,4,0.004340,0.406503,0.016280,0.427124
63,61,5000,100,4,0.004531,0.404399,0.016424,0.425353
63,62,5000,100,4,0.004993,0.411529,0.017289,0.433811
63,0,5000,100,400,0.005037,0.492699,0.016795,0.514531
63,1,5000,100,400,0.005068,0.493924,0.017280,0.516273
63,2,5000,100,400,0.005046,0.498561,0.017929,0.521535
63,3,5000,100,400,0.005202,0.502206,0.016063,0.523472
63,4,5000,100,400,0.005092,0.494244,0.016229,0.515564
63,5,5000,100,400,0.004988,0.494561,0.017061,0.516610
63,6,5000,100,400,0.004804,0.496248,0.017550,0.518602
63,7,5000,100,400,0.005175,0.498431,0.016356,0.519962
63,8,5000,100,400,0.005192,0.492136,0.018610,0.515939
63,9,5000,100,400,0.005005,0.498625,0.018095,0.521726
63,10,5000,100,400,0.005109,0.493294,0.016676,0.515079
63,11,5000,100,400,0.005029,0.495180,0.016975,0.517183
63,12,5000,100,400,0.005114,0.500264,0.017403,0.522782
63,13,5000,100,400,0.005168,0.494765,0.016266,0.516199
63,14,5000,100,400,0.004993,0.492993,0.018594,0.516579
63,15,5000,100,400,0.005118,0.494374,0.018401,0.517893
63,16,5000,100,400,0.005154,0.494677,0.016024,0.515855
63,17,5000,100,400,0.005084,0.496451,0.018879,0.520415
63,18,5000,100,400,0.005102,0.495799,0.018593,0.519495
63,19,5000,100,400,0.004936,0.492684,0.016122,0.513742
63,20,5000,100,400,0.004938,0.496990,0.016123,0.518051
63,21,5000,100,400,0.005252,0.494260,0.017270,0.516781
63,22,5000,100,400,0.004945,0.496278,0.016605,0.517829
63,23,5000,100,400,0.005192,0.494934,0.015999,0.516125
63,24,5000,100,400,0.004933,0.491222,0.017120,0.513275
63,25,5000,100,400,0.005242,0.492893,0.016425,0.514560
63,26,5000,100,400,0.005215,0.493134,0.016443,0.514792
63,27,5000,100,400,0.004914,0.491245,0.016742,0.512901
63,28,5000,100,400,0.005017,0.492937,0.018828,0.516783
63,29,5000,100,400,0.005129,0.498584,0.018626,0.522339
63,30,5000,100,400,0.005179,0.498053,0.018315,0.521547
63,31,5000,100,400,0.004862,0.497821,0.017200,0.519883
63,32,5000,100,400,0.004937,0.494693,0.017622,0.517252
63,33,5000,100,400,0.004953,0.493185,0.016479,0.514617
63,34,5000,100,400,0.005088,0.492268,0.016079,0.513434
63,35,5000,100,400,0.004908,0.495158,0.016174,0.516240
63,36,5000,100,400,0.004929,0.489911,0.016348,0.511189
63,37,5000,100,400,0.004906,0.491875,0.016071,0.512852
63,38,5000,100,400,0.004971,0.494560,0.016671,0.516201
63,39,5000,100,400,0.005048,0.486422,0.018426,0.509896
63,40,5000,100,400,0.004788,0.491993,0.016375,0.513155
63,41,5000,100,400,0.004945,0.495956,0.016519,0.517420
63,42,5000,100,400,0.004897,0.487751,0.016257,0.508905
63,43,5000,100,400,0.004942,0.489218,0.018445,0.512606
63,44,5000,100,400,0.004794,0.495659,0.016376,0.516829
63,45,5000,100,400,0.004850,0.491881,0.017623,0.514355
63,46,5000,100,400,0.004848,0.491533,0.017312,0.513693
