nthreads,thread,rep,work,msg_size,post_time,wait_time,comp_time,comm_time
15,0,5000,100,4,0.003658,0.006374,0.271078,0.281110
15,1,5000,100,4,0.003655,0.006917,0.271794,0.282366
15,2,5000,100,4,0.003646,0.006615,0.271587,0.281848
15,3,5000,100,4,0.003626,0.006419,0.271601,0.281645
15,4,5000,100,4,0.003584,0.006540,0.271863,0.281987
15,5,5000,100,4,0.003645,0.006407,0.271813,0.281865
15,6,5000,100,4,0.003682,0.006381,0.272146,0.282210
15,7,5000,100,4,0.003756,0.006515,0.271405,0.281677
15,8,5000,100,4,0.003714,0.006734,0.271278,0.281726
15,9,5000,100,4,0.003698,0.006651,0.271730,0.282079
15,10,5000,100,4,0.003703,0.006990,0.271491,0.282184
15,11,5000,100,4,0.002282,0.004830,0.271287,0.278399
15,12,5000,100,4,0.002302,0.005201,0.271202,0.278705
15,13,5000,100,4,0.002281,0.005173,0.271163,0.278617
15,14,5000,100,4,0.003700,0.006782,0.271722,0.282204
15,0,5000,100,400,0.003477,0.008293,0.271058,0.282828
15,1,5000,100,400,0.003489,0.007725,0.271693,0.282907
15,2,5000,100,400,0.003432,0.008041,0.271840,0.283313
15,3,5000,100,400,0.003483,0.007680,0.271832,0.282994
15,4,5000,100,400,0.003433,0.007807,0.271966,0.283206
15,5,5000,100,400,0.003444,0.007802,0.271766,0.283011
15,6,5000,100,400,0.003492,0.007743,0.271898,0.283133
15,7,5000,100,400,0.003525,0.007865,0.271684,0.283073
15,8,5000,100,400,0.003496,0.008485,0.271419,0.283400
15,9,5000,100,400,0.003520,0.007839,0.271429,0.282788
15,10,5000,100,400,0.003523,0.007919,0.271084,0.282526
15,11,5000,100,400,0.002286,0.006246,0.271273,0.279806
15,12,5000,100,400,0.002253,0.006296,0.271387,0.279937
15,13,5000,100,400,0.002292,0.006512,0.272201,0.281005
15,14,5000,100,400,0.003462,0.007652,0.271929,0.283043
15,0,5000,100,4000,0.003111,0.007949,0.270757,0.281816
15,1,5000,100,4000,0.003178,0.007299,0.271667,0.282145
15,2,5000,100,4000,0.003223,0.007425,0.271354,0.282002
15,3,5000,100,4000,0.003217,0.007105,0.271196,0.281518
15,4,5000,100,4000,0.003251,0.007218,0.271089,0.281559
15,5,5000,100,4000,0.003159,0.006941,0.271489,0.281589
15,6,5000,100,4000,0.003158,0.008175,0.271352,0.282684
15,7,5000,100,4000,0.003089,0.007118,0.271535,0.281742
15,8,5000,100,4000,0.003130,0.007121,0.271161,0.281413
15,9,5000,100,4000,0.003090,0.007218,0.271301,0.281609
15,10,5000,100,4000,0.003198,0.007316,0.271400,0.281914
15,11,5000,100,4000,0.002114,0.005605,0.270861,0.278580
15,12,5000,100,4000,0.002077,0.005809,0.270429,0.278315
15,13,5000,100,4000,0.002125,0.005864,0.270798,0.278787
15,14,5000,100,4000,0.003144,0.007073,0.271930,0.282146
15,0,500,100,40000,0.000366,0.039178,0.027309,0.066852
15,1,500,100,40000,0.000358,0.039943,0.028000,0.068300
