nthreads,thread,rep,work,msg_size,post_time,wait_time,comp_time,comm_time
31,0,5000,100,4,0.504381,0.424168,0.015184,0.943733
31,1,5000,100,4,0.503438,0.415040,0.015243,0.933721
31,2,5000,100,4,0.488632,0.431232,0.014248,0.934112
31,3,5000,100,4,0.486776,0.437630,0.015313,0.939719
31,4,5000,100,4,0.499633,0.427198,0.014415,0.941247
31,5,5000,100,4,0.504679,0.415717,0.014347,0.934743
31,6,5000,100,4,0.482230,0.439427,0.014212,0.935869
31,7,5000,100,4,0.482128,0.436626,0.014130,0.932884
31,8,5000,100,4,0.499306,0.427397,0.014104,0.940807
31,9,5000,100,4,0.502357,0.424280,0.014330,0.940967
31,10,5000,100,4,0.495588,0.427180,0.014587,0.937355
31,11,5000,100,4,0.485578,0.440187,0.015318,0.941083
31,12,5000,100,4,0.515859,0.414610,0.014183,0.944652
31,13,5000,100,4,0.513864,0.410160,0.014939,0.938962
31,14,5000,100,4,0.497837,0.422640,0.015066,0.935542
31,15,5000,100,4,0.495834,0.424914,0.014399,0.935147
31,16,5000,100,4,0.510315,0.420060,0.015835,0.946210
31,17,5000,100,4,0.507650,0.416522,0.015367,0.939539
31,18,5000,100,4,0.497854,0.427074,0.015661,0.940590
31,19,5000,100,4,0.501122,0.422058,0.014265,0.937445
31,20,5000,100,4,0.526459,0.406523,0.014071,0.947053
31,21,5000,100,4,0.519392,0.406720,0.014735,0.940846
31,22,5000,100,4,0.507543,0.421879,0.014199,0.943621
31,23,5000,100,4,0.505664,0.424147,0.014214,0.944025
31,24,5000,100,4,0.522788,0.409695,0.014097,0.946581
31,25,5000,100,4,0.514918,0.409585,0.014768,0.939271
31,26,5000,100,4,0.511261,0.413410,0.015291,0.939963
31,27,5000,100,4,0.502599,0.413494,0.015777,0.931869
31,28,5000,100,4,0.374960,0.423637,0.015422,0.814018
31,29,5000,100,4,0.353092,0.437600,0.014358,0.805050
31,30,5000,100,4,0.372516,0.422331,0.014233,0.809080
31,0,5000,100,400,0.503140,0.428675,0.014359,0.946174
31,1,5000,100,400,0.502569,0.422993,0.015243,0.940805
31,2,5000,100,400,0.495487,0.427012,0.014108,0.936607
31,3,5000,100,400,0.489376,0.420505,0.015442,0.925323
31,4,5000,100,400,0.527713,0.422928,0.013841,0.964483
31,5,5000,100,400,0.516893,0.413178,0.013793,0.943864
31,6,5000,100,400,0.494828,0.429330,0.015336,0.939494
31,7,5000,100,400,0.501494,0.423684,0.014107,0.939285
31,8,5000,100,400,0.500675,0.421824,0.015319,0.937819
31,9,5000,100,400,0.499364,0.430246,0.013975,0.943585
31,10,5000,100,400,0.492225,0.426662,0.013984,0.932871
31,11,5000,100,400,0.485446,0.425824,0.014119,0.925389
31,12,5000,100,400,0.497820,0.420138,0.014080,0.932038
31,13,5000,100,400,0.500046,0.424132,0.013743,0.937921
31,14,5000,100,400,0.492580,0.426721,0.014087,0.933389
31,15,5000,100,400,0.488719,0.424283,0.014054,0.927056
31,16,5000,100,400,0.512535,0.428753,0.015040,0.956328
31,17,5000,100,400,0.503900,0.429867,0.013648,0.947415
31,18,5000,100,400,0.487357,0.436856,0.014023,0.938236
31,19,5000,100,400,0.493760,0.437512,0.013907,0.945179
31,20,5000,100,400,0.519350,0.410648,0.014031,0.944029
31,21,5000,100,400,0.502534,0.420435,0.013915,0.936884
31,22,5000,100,400,0.496620,0.427521,0.014030,0.938171
31,23,5000,100,400,0.490551,0.432396,0.013860,0.936808
31,24,5000,100,400,0.512670,0.415729,0.016109,0.944509
31,25,5000,100,400,0.507325,0.421958,0.014124,0.943407
31,26,5000,100,400,0.504734,0.417353,0.013741,0.935828
