nthreads,thread,rep,work,msg_size,post_time,wait_time,comp_time,comm_time
31,0,5000,100,4,0.260276,0.171733,0.273937,0.705946
31,1,5000,100,4,0.255100,0.171890,0.272181,0.699171
31,2,5000,100,4,0.251017,0.165131,0.277992,0.694140
31,3,5000,100,4,0.248604,0.169721,0.272045,0.690371
31,4,5000,100,4,0.261635,0.165070,0.272317,0.699022
31,5,5000,100,4,0.254616,0.164763,0.272802,0.692181
31,6,5000,100,4,0.247039,0.161474,0.278501,0.687014
31,7,5000,100,4,0.245531,0.170476,0.272300,0.688307
31,8,5000,100,4,0.260503,0.168566,0.272925,0.701993
31,9,5000,100,4,0.258294,0.173733,0.271901,0.703928
31,10,5000,100,4,0.244536,0.170033,0.277927,0.692496
31,11,5000,100,4,0.246829,0.172647,0.272645,0.692121
31,12,5000,100,4,0.256990,0.170108,0.271853,0.698951
31,13,5000,100,4,0.258323,0.165423,0.272411,0.696157
31,14,5000,100,4,0.248608,0.169354,0.277746,0.695708
31,15,5000,100,4,0.248398,0.166261,0.272260,0.686920
31,16,5000,100,4,0.256833,0.170149,0.273202,0.700185
31,17,5000,100,4,0.250073,0.172285,0.272046,0.694404
31,18,5000,100,4,0.248153,0.166549,0.277519,0.692221
31,19,5000,100,4,0.237741,0.175369,0.271946,0.685055
31,20,5000,100,4,0.247702,0.174046,0.271547,0.693296
31,21,5000,100,4,0.254040,0.172311,0.271708,0.698059
31,22,5000,100,4,0.245725,0.165150,0.277793,0.688669
31,23,5000,100,4,0.242363,0.168626,0.272868,0.683857
31,24,5000,100,4,0.254163,0.165962,0.272036,0.692160
31,25,5000,100,4,0.255616,0.168195,0.272209,0.696020
31,26,5000,100,4,0.249254,0.163705,0.277554,0.690514
31,27,5000,100,4,0.244090,0.167187,0.272206,0.683484
31,28,5000,100,4,0.211219,0.164811,0.271984,0.648013
31,29,5000,100,4,0.217666,0.162674,0.271987,0.652328
31,30,5000,100,4,0.235872,0.162666,0.275489,0.674027
31,0,5000,100,400,0.288182,0.152976,0.274819,0.715977
31,1,5000,100,400,0.286345,0.151941,0.272202,0.710489
31,2,5000,100,400,0.280397,0.149202,0.278620,0.708219
31,3,5000,100,400,0.272982,0.157207,0.271980,0.702169
31,4,5000,100,400,0.280646,0.162312,0.271871,0.714829
31,5,5000,100,400,0.276683,0.160845,0.272347,0.709876
31,6,5000,100,400,0.276395,0.154621,0.279058,0.710074
31,7,5000,100,400,0.261303,0.168594,0.272076,0.701973
