rank,nthreads,thread,rep,work,msg_size,post_time,wait_time,comp_time,comm_time
2,23,0,1000,100,4,0.051982,0.019607,0.054068,0.125657
2,23,1,1000,100,4,0.051896,0.020082,0.053807,0.125785
2,23,2,1000,100,4,0.052289,0.019832,0.053674,0.125794
2,23,3,1000,100,4,0.051349,0.019885,0.053787,0.125020
2,23,4,1000,100,4,0.051399,0.019597,0.053868,0.124864
2,23,5,1000,100,4,0.051539,0.019931,0.053795,0.125265
2,23,6,1000,100,4,0.052059,0.019462,0.053972,0.125493
2,23,7,1000,100,4,0.051500,0.020356,0.053844,0.125700
2,23,8,1000,100,4,0.051970,0.020424,0.053760,0.126153
2,23,9,1000,100,4,0.051665,0.019880,0.053670,0.125215
2,23,10,1000,100,4,0.051678,0.019456,0.053816,0.124950
2,23,11,1000,100,4,0.051225,0.020372,0.053918,0.125514
2,23,12,1000,100,4,0.051494,0.020683,0.053975,0.126152
2,23,13,1000,100,4,0.051753,0.021242,0.053529,0.126524
2,23,14,1000,100,4,0.051727,0.020147,0.053833,0.125707
2,23,15,1000,100,4,0.052003,0.019893,0.053865,0.125760
2,23,16,1000,100,4,0.051557,0.020001,0.053720,0.125278
2,23,17,1000,100,4,0.052365,0.020352,0.053836,0.126553
2,23,18,1000,100,4,0.050879,0.021045,0.053708,0.125631
2,23,19,1000,100,4,0.052128,0.020643,0.053707,0.126478
2,23,20,1000,100,4,0.052208,0.019780,0.053728,0.125717
2,23,21,1000,100,4,0.052062,0.019908,0.053708,0.125678
2,23,22,1000,100,4,0.051658,0.019730,0.053852,0.125240
0,23,0,1000,100,4,0.051632,0.022157,0.053569,0.127358
0,23,1,1000,100,4,0.051847,0.021940,0.053764,0.127551
0,23,2,1000,100,4,0.051418,0.021738,0.053647,0.126803
0,23,3,1000,100,4,0.051669,0.021845,0.053740,0.127255
0,23,4,1000,100,4,0.051089,0.021982,0.053692,0.126763
0,23,5,1000,100,4,0.051509,0.021433,0.053689,0.126631
0,23,6,1000,100,4,0.050671,0.021996,0.053911,0.126578
0,23,7,1000,100,4,0.050148,0.021690,0.053902,0.125740
0,23,8,1000,100,4,0.052075,0.021830,0.053923,0.127828
0,23,9,1000,100,4,0.050629,0.021755,0.053880,0.126265
0,23,10,1000,100,4,0.050807,0.021811,0.053997,0.126616
0,23,11,1000,100,4,0.051667,0.021766,0.053714,0.127147
