rank,nthreads,thread,rep,work,msg_size,post_time,wait_time,comp_time,comm_time
1,23,0,1000,100,4,0.074735,0.133674,0.005536,0.213945
1,23,1,1000,100,4,0.075512,0.134104,0.005470,0.215086
1,23,2,1000,100,4,0.073855,0.134759,0.005302,0.213916
1,23,3,1000,100,4,0.075293,0.132909,0.005375,0.213577
1,23,4,1000,100,4,0.074211,0.134597,0.005454,0.214262
1,23,5,1000,100,4,0.077968,0.129136,0.005327,0.212431
1,23,6,1000,100,4,0.075513,0.134212,0.005347,0.215072
1,23,7,1000,100,4,0.074972,0.132100,0.005385,0.212456
1,23,8,1000,100,4,0.076816,0.130778,0.005426,0.213020
1,23,9,1000,100,4,0.072403,0.132919,0.005385,0.210708
1,23,10,1000,100,4,0.074434,0.133379,0.005229,0.213042
1,23,11,1000,100,4,0.075200,0.134056,0.005299,0.214556
1,23,12,1000,100,4,0.077644,0.131799,0.005487,0.214930
1,23,13,1000,100,4,0.075582,0.134287,0.005369,0.215238
1,23,14,1000,100,4,0.075184,0.134517,0.005291,0.214991
1,23,15,1000,100,4,0.074634,0.132604,0.005190,0.212429
1,23,16,1000,100,4,0.077091,0.133014,0.005234,0.215338
1,23,17,1000,100,4,0.075160,0.133722,0.005315,0.214196
1,23,18,1000,100,4,0.075205,0.134831,0.005533,0.215569
1,23,19,1000,100,4,0.074683,0.133801,0.005463,0.213946
1,23,20,1000,100,4,0.075144,0.133374,0.005548,0.214066
1,23,21,1000,100,4,0.075192,0.134461,0.004993,0.214646
1,23,22,1000,100,4,0.075418,0.133675,0.005327,0.214420
3,23,0,1000,100,4,0.079953,0.138328,0.005641,0.223922
3,23,1,1000,100,4,0.078069,0.140319,0.005387,0.223775
3,23,2,1000,100,4,0.078348,0.139050,0.005511,0.222909
3,23,3,1000,100,4,0.077196,0.140929,0.005901,0.224026
3,23,4,1000,100,4,0.076442,0.141029,0.005911,0.223382
3,23,5,1000,100,4,0.076121,0.141635,0.005561,0.223318
3,23,6,1000,100,4,0.079555,0.140030,0.005492,0.225077
3,23,7,1000,100,4,0.076541,0.141782,0.005325,0.223648
3,23,8,1000,100,4,0.077814,0.140175,0.005436,0.223425
3,23,9,1000,100,4,0.078992,0.138582,0.005201,0.222775
3,23,10,1000,100,4,0.078070,0.141179,0.005408,0.224657
3,23,11,1000,100,4,0.077990,0.141405,0.005352,0.224746
3,23,12,1000,100,4,0.077673,0.141465,0.005446,0.224584
3,23,13,1000,100,4,0.079247,0.139066,0.005460,0.223774
3,23,14,1000,100,4,0.077923,0.140479,0.005490,0.223892
3,23,15,1000,100,4,0.073849,0.143091,0.005378,0.222319
3,23,16,1000,100,4,0.077137,0.141995,0.005460,0.224591
3,23,17,1000,100,4,0.078449,0.139426,0.005483,0.223357
3,23,18,1000,100,4,0.075832,0.140893,0.005502,0.222227
3,23,19,1000,100,4,0.077454,0.139235,0.005395,0.222084
3,23,20,1000,100,4,0.077136,0.138700,0.005462,0.221298
3,23,21,1000,100,4,0.077212,0.140947,0.005568,0.223727
3,23,22,1000,100,4,0.077945,0.139236,0.005293,0.222475
2,23,0,1000,100,4,0.079180,0.134927,0.005616,0.219723
2,23,1,1000,100,4,0.076281,0.139286,0.005423,0.220990
