rank,nthreads,thread,rep,work,msg_size,post_time,wait_time,comp_time,comm_time
1,23,0,1000,100,4,0.002022,0.010287,0.055168,0.067477
1,23,1,1000,100,4,0.001838,0.009703,0.053654,0.065195
1,23,2,1000,100,4,0.001838,0.009922,0.053643,0.065402
1,23,3,1000,100,4,0.001855,0.009858,0.053687,0.065399
1,23,4,1000,100,4,0.001888,0.009590,0.053609,0.065088
1,23,5,1000,100,4,0.001828,0.009628,0.053599,0.065055
1,23,6,1000,100,4,0.001869,0.010007,0.053586,0.065461
1,23,7,1000,100,4,0.001806,0.009862,0.053604,0.065273
1,23,8,1000,100,4,0.001800,0.009734,0.053568,0.065102
1,23,9,1000,100,4,0.001851,0.009620,0.053657,0.065128
1,23,10,1000,100,4,0.001874,0.009526,0.053589,0.064989
1,23,11,1000,100,4,0.001866,0.009891,0.053538,0.065295
1,23,12,1000,100,4,0.001891,0.010089,0.053637,0.065616
1,23,13,1000,100,4,0.001883,0.009896,0.053568,0.065346
1,23,14,1000,100,4,0.001902,0.009932,0.053575,0.065409
1,23,15,1000,100,4,0.001862,0.009913,0.053532,0.065306
1,23,16,1000,100,4,0.001827,0.009704,0.053594,0.065125
1,23,17,1000,100,4,0.001863,0.009875,0.053599,0.065337
1,23,18,1000,100,4,0.001874,0.009915,0.053589,0.065378
1,23,19,1000,100,4,0.001838,0.009952,0.053615,0.065404
1,23,20,1000,100,4,0.001863,0.009918,0.053603,0.065385
1,23,21,1000,100,4,0.001830,0.010144,0.053617,0.065590
1,23,22,1000,100,4,0.001894,0.009777,0.053616,0.065288
0,23,0,1000,100,4,0.002165,0.017082,0.055154,0.074400
0,23,1,1000,100,4,0.001956,0.016258,0.053637,0.071851
0,23,2,1000,100,4,0.001961,0.016092,0.053608,0.071661
0,23,3,1000,100,4,0.001912,0.015953,0.053629,0.071493
0,23,4,1000,100,4,0.001907,0.016069,0.053618,0.071593
0,23,5,1000,100,4,0.001976,0.016081,0.053652,0.071709
0,23,6,1000,100,4,0.002002,0.016430,0.053641,0.072074
0,23,7,1000,100,4,0.001885,0.016129,0.053618,0.071633
0,23,8,1000,100,4,0.001927,0.015943,0.053652,0.071522
0,23,9,1000,100,4,0.001951,0.016044,0.053622,0.071616
0,23,10,1000,100,4,0.001930,0.016127,0.053722,0.071779
0,23,11,1000,100,4,0.001975,0.016051,0.053658,0.071684
0,23,12,1000,100,4,0.002065,0.016174,0.053675,0.071914
0,23,13,1000,100,4,0.002033,0.016298,0.053612,0.071943
0,23,14,1000,100,4,0.002016,0.016211,0.053669,0.071897
0,23,15,1000,100,4,0.002089,0.016319,0.053703,0.072111
0,23,16,1000,100,4,0.002071,0.016300,0.053629,0.072000
0,23,17,1000,100,4,0.002072,0.016293,0.053666,0.072031
0,23,18,1000,100,4,0.002039,0.016103,0.053651,0.071792
0,23,19,1000,100,4,0.002112,0.016156,0.053711,0.071979
0,23,20,1000,100,4,0.002016,0.016554,0.053628,0.072198
0,23,21,1000,100,4,0.002098,0.016154,0.053649,0.071901
0,23,22,1000,100,4,0.002003,0.016338,0.053679,0.072020
3,23,0,1000,100,4,0.002066,0.010337,0.055252,0.067655
3,23,1,1000,100,4,0.001791,0.010267,0.053656,0.065714
3,23,2,1000,100,4,0.001771,0.010146,0.053684,0.065601
3,23,3,1000,100,4,0.001799,0.010314,0.053674,0.065787
3,23,4,1000,100,4,0.001801,0.010226,0.053639,0.065665
3,23,5,1000,100,4,0.001842,0.010213,0.053725,0.065780
3,23,6,1000,100,4,0.001838,0.010337,0.053712,0.065887
3,23,7,1000,100,4,0.001820,0.010665,0.053719,0.066204
3,23,8,1000,100,4,0.001858,0.010273,0.053644,0.065775
3,23,9,1000,100,4,0.001894,0.010163,0.053673,0.065730
3,23,10,1000,100,4,0.001843,0.010284,0.053666,0.065792
3,23,11,1000,100,4,0.001831,0.010209,0.053633,0.065674
3,23,12,1000,100,4,0.001841,0.010348,0.053657,0.065846
3,23,13,1000,100,4,0.001842,0.010619,0.053663,0.066124
3,23,14,1000,100,4,0.001821,0.010484,0.053669,0.065975
3,23,15,1000,100,4,0.001906,0.010408,0.053668,0.065983
3,23,16,1000,100,4,0.001852,0.010385,0.053658,0.065895
3,23,17,1000,100,4,0.001804,0.010590,0.053697,0.066092
3,23,18,1000,100,4,0.001840,0.010421,0.053671,0.065932
3,23,19,1000,100,4,0.001817,0.010623,0.053676,0.066115
3,23,20,1000,100,4,0.001888,0.010588,0.053709,0.066185
3,23,21,1000,100,4,0.001910,0.010370,0.053654,0.065934
3,23,22,1000,100,4,0.001874,0.010273,0.053658,0.065805
2,23,0,1000,100,4,0.002153,0.016667,0.055519,0.074339
2,23,1,1000,100,4,0.001891,0.015446,0.053652,0.070990
2,23,2,1000,100,4,0.001880,0.015334,0.053621,0.070835
2,23,3,1000,100,4,0.001926,0.014718,0.053707,0.070351
2,23,4,1000,100,4,0.001883,0.015644,0.053657,0.071183
2,23,5,1000,100,4,0.001905,0.014972,0.053654,0.070531
2,23,6,1000,100,4,0.001931,0.015474,0.053622,0.071027
2,23,7,1000,100,4,0.001957,0.015291,0.053693,0.070941
2,23,8,1000,100,4,0.001900,0.015083,0.053645,0.070627
2,23,9,1000,100,4,0.001938,0.015171,0.053630,0.070739
