rank,nthreads,thread,rep,work,msg_size,post_time,wait_time,comp_time,comm_time
0,23,0,1000,100,4,0.002189,0.085043,0.002080,0.089312
0,23,1,1000,100,4,0.002028,0.083667,0.002173,0.087868
0,23,2,1000,100,4,0.002035,0.084036,0.001745,0.087817
0,23,3,1000,100,4,0.002103,0.083932,0.001319,0.087355
0,23,4,1000,100,4,0.002114,0.083702,0.001328,0.087144
0,23,5,1000,100,4,0.002077,0.083519,0.001781,0.087377
0,23,6,1000,100,4,0.002051,0.084098,0.001336,0.087485
0,23,7,1000,100,4,0.002086,0.083744,0.001351,0.087182
0,23,8,1000,100,4,0.002067,0.083528,0.001270,0.086865
0,23,9,1000,100,4,0.002078,0.083861,0.001341,0.087280
0,23,10,1000,100,4,0.002054,0.083958,0.001282,0.087294
0,23,11,1000,100,4,0.002078,0.083075,0.001769,0.086921
0,23,12,1000,100,4,0.002077,0.083361,0.001310,0.086749
0,23,13,1000,100,4,0.002057,0.083917,0.001830,0.087804
0,23,14,1000,100,4,0.002108,0.083638,0.001758,0.087504
0,23,15,1000,100,4,0.002067,0.083699,0.001768,0.087535
0,23,16,1000,100,4,0.002068,0.083798,0.001270,0.087136
0,23,17,1000,100,4,0.002099,0.083698,0.001789,0.087585
0,23,18,1000,100,4,0.002091,0.083453,0.001365,0.086908
0,23,19,1000,100,4,0.002099,0.083526,0.001404,0.087029
0,23,20,1000,100,4,0.002095,0.083736,0.001275,0.087106
0,23,21,1000,100,4,0.002108,0.083781,0.001362,0.087250
0,23,22,1000,100,4,0.001970,0.083831,0.001303,0.087104
2,23,0,1000,100,4,0.002305,0.088171,0.002787,0.093263
2,23,1,1000,100,4,0.002175,0.088937,0.001275,0.092387
2,23,2,1000,100,4,0.002113,0.088889,0.001310,0.092312
2,23,3,1000,100,4,0.002171,0.088699,0.001304,0.092174
2,23,4,1000,100,4,0.002091,0.088744,0.001233,0.092067
2,23,5,1000,100,4,0.002139,0.088700,0.001716,0.092555
2,23,6,1000,100,4,0.002155,0.088011,0.001357,0.091523
2,23,7,1000,100,4,0.002181,0.088641,0.001355,0.092177
2,23,8,1000,100,4,0.002167,0.088323,0.001276,0.091766
2,23,9,1000,100,4,0.002155,0.088049,0.001759,0.091962
2,23,10,1000,100,4,0.002187,0.088519,0.001793,0.092499
2,23,11,1000,100,4,0.002115,0.088123,0.001828,0.092066
2,23,12,1000,100,4,0.002199,0.088655,0.001806,0.092660
2,23,13,1000,100,4,0.002162,0.087798,0.001829,0.091789
2,23,14,1000,100,4,0.002127,0.088406,0.001323,0.091856
2,23,15,1000,100,4,0.002132,0.088329,0.001674,0.092135
2,23,16,1000,100,4,0.002179,0.088784,0.001444,0.092407
2,23,17,1000,100,4,0.002075,0.088835,0.001351,0.092260
2,23,18,1000,100,4,0.002129,0.088632,0.001259,0.092020
2,23,19,1000,100,4,0.002161,0.088522,0.001298,0.091981
2,23,20,1000,100,4,0.002141,0.087656,0.001334,0.091131
2,23,21,1000,100,4,0.002125,0.088767,0.001723,0.092616
2,23,22,1000,100,4,0.002131,0.088596,0.001256,0.091983
1,23,0,1000,100,4,0.002232,0.082694,0.002724,0.087650
1,23,1,1000,100,4,0.002166,0.082378,0.001294,0.085837
1,23,2,1000,100,4,0.002098,0.082402,0.001259,0.085759
1,23,3,1000,100,4,0.002054,0.082757,0.001255,0.086066
1,23,4,1000,100,4,0.002103,0.082584,0.001740,0.086427
1,23,5,1000,100,4,0.002166,0.081902,0.001735,0.085803
1,23,6,1000,100,4,0.002095,0.081946,0.001807,0.085847
1,23,7,1000,100,4,0.002097,0.082178,0.001769,0.086044
1,23,8,1000,100,4,0.002088,0.082309,0.001279,0.085676
1,23,9,1000,100,4,0.002043,0.082572,0.001249,0.085865
1,23,10,1000,100,4,0.002149,0.082476,0.001215,0.085841
1,23,11,1000,100,4,0.002048,0.082783,0.001276,0.086107
1,23,12,1000,100,4,0.002097,0.082281,0.001736,0.086114
1,23,13,1000,100,4,0.002077,0.082557,0.001236,0.085869
