rank,nthreads,thread,rep,work,msg_size,post_time,wait_time,comp_time,comm_time
0,23,0,1000,100,4,0.048965,0.031295,0.053867,0.134127
0,23,1,1000,100,4,0.048234,0.031162,0.054000,0.133396
0,23,2,1000,100,4,0.048677,0.030557,0.053836,0.133070
0,23,3,1000,100,4,0.048180,0.031495,0.053957,0.133632
0,23,4,1000,100,4,0.048523,0.030405,0.053986,0.132914
0,23,5,1000,100,4,0.047222,0.031560,0.054003,0.132784
0,23,6,1000,100,4,0.047802,0.030873,0.053907,0.132581
0,23,7,1000,100,4,0.048220,0.030371,0.053967,0.132557
0,23,8,1000,100,4,0.048423,0.030277,0.054017,0.132717
0,23,9,1000,100,4,0.047892,0.030995,0.053829,0.132717
0,23,10,1000,100,4,0.048628,0.030614,0.054014,0.133255
0,23,11,1000,100,4,0.048773,0.031024,0.054001,0.133798
0,23,12,1000,100,4,0.048818,0.030752,0.053925,0.133495
0,23,13,1000,100,4,0.047739,0.031883,0.054021,0.133643
0,23,14,1000,100,4,0.047648,0.031438,0.054029,0.133115
0,23,15,1000,100,4,0.048222,0.031281,0.054037,0.133541
0,23,16,1000,100,4,0.048630,0.030175,0.053922,0.132727
0,23,17,1000,100,4,0.048428,0.030526,0.053955,0.132909
0,23,18,1000,100,4,0.047083,0.030311,0.053975,0.131369
0,23,19,1000,100,4,0.048863,0.030368,0.053947,0.133178
0,23,20,1000,100,4,0.048110,0.030923,0.053957,0.132989
0,23,21,1000,100,4,0.048103,0.030374,0.053860,0.132337
0,23,22,1000,100,4,0.048259,0.031187,0.053987,0.133433
1,23,0,1000,100,4,0.050967,0.032290,0.053864,0.137121
1,23,1,1000,100,4,0.048984,0.032302,0.053723,0.135009
1,23,2,1000,100,4,0.048210,0.033323,0.053718,0.135251
1,23,3,1000,100,4,0.048123,0.033192,0.053821,0.135136
1,23,4,1000,100,4,0.048975,0.032170,0.053860,0.135005
1,23,5,1000,100,4,0.048542,0.032294,0.053890,0.134726
1,23,6,1000,100,4,0.047793,0.032619,0.053907,0.134319
1,23,7,1000,100,4,0.048690,0.032120,0.054031,0.134842
1,23,8,1000,100,4,0.048055,0.032960,0.054055,0.135069
1,23,9,1000,100,4,0.048198,0.033543,0.054064,0.135805
1,23,10,1000,100,4,0.049107,0.031845,0.054043,0.134994
1,23,11,1000,100,4,0.048813,0.033003,0.054083,0.135899
1,23,12,1000,100,4,0.048809,0.032938,0.054006,0.135753
1,23,13,1000,100,4,0.049308,0.031837,0.054124,0.135270
1,23,14,1000,100,4,0.049075,0.032122,0.053925,0.135122
1,23,15,1000,100,4,0.049113,0.031924,0.054040,0.135077
1,23,16,1000,100,4,0.049055,0.031248,0.054030,0.134333
1,23,17,1000,100,4,0.048098,0.032294,0.054236,0.134627
1,23,18,1000,100,4,0.047130,0.032703,0.054151,0.133984
1,23,19,1000,100,4,0.048776,0.033156,0.053899,0.135832
1,23,20,1000,100,4,0.048498,0.032979,0.053807,0.135285
1,23,21,1000,100,4,0.048657,0.032370,0.053967,0.134995
1,23,22,1000,100,4,0.049101,0.032110,0.053957,0.135169
0,23,0,1000,100,400,0.051577,0.036126,0.054193,0.141895
0,23,1,1000,100,400,0.052246,0.035846,0.053936,0.142028
0,23,2,1000,100,400,0.051574,0.037136,0.053746,0.142456
0,23,3,1000,100,400,0.050991,0.036039,0.053846,0.140876
0,23,4,1000,100,400,0.050716,0.037815,0.053928,0.142459
0,23,5,1000,100,400,0.051897,0.037129,0.053960,0.142987
0,23,6,1000,100,400,0.051098,0.038079,0.054074,0.143252
0,23,7,1000,100,400,0.051471,0.037083,0.054065,0.142619
0,23,8,1000,100,400,0.051601,0.036733,0.053901,0.142234
0,23,9,1000,100,400,0.051959,0.036670,0.053814,0.142444
0,23,10,1000,100,400,0.053556,0.036106,0.053948,0.143610
0,23,11,1000,100,400,0.050718,0.036630,0.053923,0.141270
0,23,12,1000,100,400,0.052164,0.037373,0.053888,0.143425
0,23,13,1000,100,400,0.051779,0.036436,0.053926,0.142141
0,23,14,1000,100,400,0.052573,0.034874,0.054049,0.141495
0,23,15,1000,100,400,0.051898,0.036531,0.053982,0.142410
0,23,16,1000,100,400,0.049898,0.038449,0.053836,0.142184
0,23,17,1000,100,400,0.052304,0.036341,0.053774,0.142419
0,23,18,1000,100,400,0.051987,0.036978,0.053758,0.142723
0,23,19,1000,100,400,0.052456,0.036570,0.053848,0.142874
0,23,20,1000,100,400,0.052344,0.036439,0.053812,0.142596
0,23,21,1000,100,400,0.051034,0.036317,0.053746,0.141097
0,23,22,1000,100,400,0.052008,0.037238,0.053966,0.143212
1,23,0,1000,100,400,0.054798,0.034660,0.053720,0.143178
1,23,1,1000,100,400,0.053434,0.036101,0.053640,0.143175
1,23,2,1000,100,400,0.053693,0.035226,0.053590,0.142510
1,23,3,1000,100,400,0.052877,0.034700,0.053838,0.141415
1,23,4,1000,100,400,0.053893,0.034410,0.053870,0.142174
1,23,5,1000,100,400,0.054656,0.034784,0.053676,0.143117
1,23,6,1000,100,400,0.053173,0.036472,0.053782,0.143427
1,23,7,1000,100,400,0.053682,0.034523,0.053927,0.142133
1,23,8,1000,100,400,0.052367,0.036144,0.053734,0.142245
1,23,9,1000,100,400,0.052940,0.035932,0.053875,0.142747
1,23,10,1000,100,400,0.054593,0.036029,0.053861,0.144483
1,23,11,1000,100,400,0.053719,0.034212,0.053984,0.141915
1,23,12,1000,100,400,0.054131,0.035513,0.053823,0.143467
1,23,13,1000,100,400,0.053680,0.034862,0.053928,0.142471
1,23,14,1000,100,400,0.052823,0.035416,0.053754,0.141993
1,23,15,1000,100,400,0.054095,0.034203,0.053774,0.142072
1,23,16,1000,100,400,0.053674,0.034745,0.053811,0.142229
1,23,17,1000,100,400,0.053651,0.034698,0.054034,0.142382
1,23,18,1000,100,400,0.054302,0.035493,0.053973,0.143768
1,23,19,1000,100,400,0.053587,0.036582,0.053720,0.143889
1,23,20,1000,100,400,0.054838,0.034984,0.053736,0.143558
1,23,21,1000,100,400,0.053781,0.035141,0.053917,0.142840
1,23,22,1000,100,400,0.053659,0.035468,0.053774,0.142902
0,23,0,1000,100,4000,0.070365,0.061982,0.054292,0.186639
0,23,1,1000,100,4000,0.069953,0.063095,0.054047,0.187096
0,23,2,1000,100,4000,0.069444,0.062930,0.054024,0.186397
