rank,nthreads,thread,rep,work,msg_size,post_time,wait_time,comp_time,comm_time
1,23,0,1000,100,4,0.064954,0.108556,0.005324,0.178833
1,23,1,1000,100,4,0.064209,0.109681,0.004930,0.178821
1,23,2,1000,100,4,0.063730,0.109267,0.005227,0.178224
1,23,3,1000,100,4,0.065348,0.108918,0.005259,0.179524
1,23,4,1000,100,4,0.064664,0.107937,0.004827,0.177428
1,23,5,1000,100,4,0.064924,0.108459,0.004743,0.178126
1,23,6,1000,100,4,0.066663,0.107716,0.005326,0.179705
1,23,7,1000,100,4,0.065037,0.108744,0.004940,0.178721
1,23,8,1000,100,4,0.064485,0.107869,0.004819,0.177172
1,23,9,1000,100,4,0.064829,0.108542,0.005257,0.178627
1,23,10,1000,100,4,0.064699,0.109042,0.005253,0.178994
1,23,11,1000,100,4,0.063171,0.111143,0.005271,0.179585
1,23,12,1000,100,4,0.064148,0.110846,0.005321,0.180315
1,23,13,1000,100,4,0.066585,0.107335,0.005288,0.179208
1,23,14,1000,100,4,0.065520,0.107785,0.004922,0.178227
1,23,15,1000,100,4,0.063901,0.109197,0.004979,0.178076
1,23,16,1000,100,4,0.066002,0.109008,0.004920,0.179929
1,23,17,1000,100,4,0.065519,0.107272,0.004915,0.177705
1,23,18,1000,100,4,0.065140,0.108146,0.005298,0.178584
1,23,19,1000,100,4,0.064678,0.108866,0.004783,0.178327
1,23,20,1000,100,4,0.066061,0.107979,0.005195,0.179235
1,23,21,1000,100,4,0.067114,0.108919,0.004726,0.180759
1,23,22,1000,100,4,0.064845,0.108557,0.004833,0.178235
0,23,0,1000,100,4,0.063965,0.112210,0.005285,0.181460
0,23,1,1000,100,4,0.064765,0.111306,0.004814,0.180885
0,23,2,1000,100,4,0.064652,0.112181,0.005316,0.182149
0,23,3,1000,100,4,0.062417,0.113179,0.005113,0.180709
0,23,4,1000,100,4,0.061018,0.114457,0.005293,0.180768
0,23,5,1000,100,4,0.063033,0.112930,0.004974,0.180937
0,23,6,1000,100,4,0.064765,0.112031,0.005381,0.182177
0,23,7,1000,100,4,0.064255,0.112344,0.004939,0.181539
0,23,8,1000,100,4,0.061574,0.112933,0.005227,0.179734
0,23,9,1000,100,4,0.063742,0.112252,0.005181,0.181175
0,23,10,1000,100,4,0.062314,0.113999,0.005281,0.181594
0,23,11,1000,100,4,0.064988,0.110684,0.005448,0.181121
0,23,12,1000,100,4,0.064175,0.111605,0.004822,0.180602
0,23,13,1000,100,4,0.064070,0.112343,0.004824,0.181236
0,23,14,1000,100,4,0.062206,0.113297,0.004745,0.180249
0,23,15,1000,100,4,0.063674,0.110664,0.004815,0.179153
0,23,16,1000,100,4,0.065660,0.112298,0.005218,0.183176
