rank,nthreads,thread,rep,work,msg_size,post_time,wait_time,comp_time,comm_time
0,23,0,1000,100,4,0.002019,0.010133,0.055291,0.067444
0,23,1,1000,100,4,0.001885,0.009637,0.053684,0.065206
0,23,2,1000,100,4,0.001855,0.009578,0.053683,0.065116
0,23,3,1000,100,4,0.001882,0.009720,0.053727,0.065329
0,23,4,1000,100,4,0.001860,0.009754,0.053666,0.065280
0,23,5,1000,100,4,0.001915,0.009637,0.053709,0.065261
0,23,6,1000,100,4,0.001902,0.009767,0.053730,0.065400
0,23,7,1000,100,4,0.001878,0.009636,0.053700,0.065215
0,23,8,1000,100,4,0.001869,0.009493,0.053667,0.065029
0,23,9,1000,100,4,0.001866,0.009573,0.053685,0.065123
0,23,10,1000,100,4,0.001856,0.009440,0.053669,0.064965
0,23,11,1000,100,4,0.001927,0.009373,0.053741,0.065040
0,23,12,1000,100,4,0.001826,0.009809,0.053676,0.065311
0,23,13,1000,100,4,0.001927,0.009726,0.053714,0.065367
0,23,14,1000,100,4,0.001855,0.009783,0.053675,0.065313
0,23,15,1000,100,4,0.001843,0.009848,0.053750,0.065441
0,23,16,1000,100,4,0.001870,0.009513,0.053696,0.065079
0,23,17,1000,100,4,0.001909,0.009805,0.053738,0.065451
0,23,18,1000,100,4,0.001893,0.009963,0.053722,0.065578
0,23,19,1000,100,4,0.001829,0.009647,0.053684,0.065161
0,23,20,1000,100,4,0.001835,0.009847,0.053682,0.065364
0,23,21,1000,100,4,0.001902,0.009664,0.053682,0.065247
0,23,22,1000,100,4,0.001899,0.009795,0.053705,0.065399
1,23,0,1000,100,4,0.002125,0.011844,0.055791,0.069760
1,23,1,1000,100,4,0.001965,0.010627,0.053821,0.066413
1,23,2,1000,100,4,0.001952,0.010246,0.053824,0.066022
1,23,3,1000,100,4,0.001816,0.010564,0.053771,0.066152
1,23,4,1000,100,4,0.001935,0.010312,0.053836,0.066084
1,23,5,1000,100,4,0.001889,0.010620,0.053855,0.066364
1,23,6,1000,100,4,0.001866,0.010667,0.053880,0.066413
1,23,7,1000,100,4,0.001912,0.010286,0.053815,0.066013
1,23,8,1000,100,4,0.001919,0.010299,0.053848,0.066066
1,23,9,1000,100,4,0.001874,0.010552,0.053839,0.066266
1,23,10,1000,100,4,0.001886,0.010230,0.053880,0.065997
1,23,11,1000,100,4,0.001853,0.010752,0.053845,0.066450
1,23,12,1000,100,4,0.002043,0.010492,0.053866,0.066401
1,23,13,1000,100,4,0.002005,0.010776,0.053884,0.066665
1,23,14,1000,100,4,0.001992,0.010579,0.053875,0.066447
1,23,15,1000,100,4,0.002001,0.010868,0.053909,0.066777
1,23,16,1000,100,4,0.001908,0.010675,0.053840,0.066423
1,23,17,1000,100,4,0.001926,0.010794,0.053944,0.066664
1,23,18,1000,100,4,0.001963,0.010947,0.053868,0.066778
1,23,19,1000,100,4,0.001949,0.010661,0.053891,0.066501
1,23,20,1000,100,4,0.001973,0.010713,0.053867,0.066554
1,23,21,1000,100,4,0.001987,0.010658,0.053884,0.066530
1,23,22,1000,100,4,0.002023,0.010439,0.053903,0.066365
0,23,0,1000,100,400,0.002167,0.011875,0.055331,0.069373
0,23,1,1000,100,400,0.001895,0.010070,0.053747,0.065713
0,23,2,1000,100,400,0.001929,0.010193,0.053752,0.065874
0,23,3,1000,100,400,0.001983,0.010501,0.053768,0.066252
0,23,4,1000,100,400,0.001969,0.010688,0.053737,0.066394
0,23,5,1000,100,400,0.001907,0.010523,0.053767,0.066198
0,23,6,1000,100,400,0.001932,0.010689,0.053782,0.066404
0,23,7,1000,100,400,0.001928,0.010725,0.053743,0.066395
0,23,8,1000,100,400,0.001921,0.010683,0.053748,0.066353
0,23,9,1000,100,400,0.001977,0.010591,0.053729,0.066297
0,23,10,1000,100,400,0.001930,0.010578,0.053750,0.066258
0,23,11,1000,100,400,0.001890,0.010577,0.053790,0.066257
0,23,12,1000,100,400,0.002040,0.011026,0.053756,0.066822
0,23,13,1000,100,400,0.002005,0.010929,0.053788,0.066722
0,23,14,1000,100,400,0.001972,0.009987,0.053779,0.065738
0,23,15,1000,100,400,0.002006,0.010625,0.053793,0.066424
0,23,16,1000,100,400,0.002000,0.010760,0.053785,0.066545
0,23,17,1000,100,400,0.001972,0.010431,0.053788,0.066191
0,23,18,1000,100,400,0.002038,0.010810,0.053819,0.066667
0,23,19,1000,100,400,0.001980,0.010551,0.053773,0.066304
0,23,20,1000,100,400,0.001947,0.010853,0.053792,0.066592
0,23,21,1000,100,400,0.001976,0.010627,0.053775,0.066378
0,23,22,1000,100,400,0.002013,0.010396,0.053799,0.066208
1,23,0,1000,100,400,0.002075,0.012666,0.055393,0.070134
1,23,1,1000,100,400,0.001844,0.011515,0.053633,0.066992
1,23,2,1000,100,400,0.001830,0.011443,0.053637,0.066910
1,23,3,1000,100,400,0.001868,0.011705,0.053690,0.067263
1,23,4,1000,100,400,0.001898,0.011596,0.053625,0.067119
1,23,5,1000,100,400,0.001889,0.011540,0.053672,0.067101
1,23,6,1000,100,400,0.001848,0.010641,0.053657,0.066145
1,23,7,1000,100,400,0.001853,0.011317,0.053658,0.066828
1,23,8,1000,100,400,0.001855,0.011408,0.053650,0.066913
1,23,9,1000,100,400,0.001854,0.011830,0.053637,0.067322
1,23,10,1000,100,400,0.001803,0.011491,0.053631,0.066925
1,23,11,1000,100,400,0.001886,0.011520,0.053633,0.067040
1,23,12,1000,100,400,0.001869,0.011627,0.053696,0.067192
1,23,13,1000,100,400,0.001866,0.011563,0.053635,0.067064
1,23,14,1000,100,400,0.001827,0.011191,0.053632,0.066651
1,23,15,1000,100,400,0.001872,0.011750,0.053657,0.067279
1,23,16,1000,100,400,0.001815,0.011621,0.053688,0.067124
1,23,17,1000,100,400,0.001810,0.011620,0.053657,0.067087
1,23,18,1000,100,400,0.001823,0.011806,0.053685,0.067314
1,23,19,1000,100,400,0.001846,0.011454,0.053636,0.066936
1,23,20,1000,100,400,0.001856,0.010898,0.053698,0.066453
1,23,21,1000,100,400,0.001836,0.011801,0.053636,0.067273
1,23,22,1000,100,400,0.001833,0.011790,0.053716,0.067339
0,23,0,1000,100,4000,0.002124,0.015157,0.055649,0.072929
0,23,1,1000,100,4000,0.001929,0.014944,0.053869,0.070742
0,23,2,1000,100,4000,0.001896,0.014270,0.053844,0.070011
0,23,3,1000,100,4000,0.001935,0.014393,0.053883,0.070211
0,23,4,1000,100,4000,0.001909,0.015194,0.053830,0.070933
0,23,5,1000,100,4000,0.001952,0.013847,0.053862,0.069661
0,23,6,1000,100,4000,0.001934,0.014889,0.053910,0.070733
0,23,7,1000,100,4000,0.001908,0.014977,0.053859,0.070744
0,23,8,1000,100,4000,0.001911,0.014662,0.053864,0.070437
0,23,9,1000,100,4000,0.001878,0.014197,0.053836,0.069911
0,23,10,1000,100,4000,0.001835,0.014862,0.053835,0.070532
0,23,11,1000,100,4000,0.001929,0.014919,0.053896,0.070744
0,23,12,1000,100,4000,0.001955,0.014609,0.053871,0.070435
0,23,13,1000,100,4000,0.002002,0.014906,0.053928,0.070836
0,23,14,1000,100,4000,0.001990,0.014192,0.053853,0.070035
0,23,15,1000,100,4000,0.001980,0.014878,0.053910,0.070768
0,23,16,1000,100,4000,0.001993,0.014968,0.053884,0.070845
