rank,nthreads,thread,rep,work,msg_size,post_time,wait_time,comp_time,comm_time
0,23,0,1000,100,4,0.002137,0.056086,0.001857,0.060080
0,23,1,1000,100,4,0.001982,0.055510,0.001231,0.058722
0,23,2,1000,100,4,0.001976,0.055486,0.001215,0.058677
0,23,3,1000,100,4,0.001921,0.055374,0.001638,0.058933
0,23,4,1000,100,4,0.001975,0.055317,0.001613,0.058906
0,23,5,1000,100,4,0.001982,0.055267,0.001241,0.058491
0,23,6,1000,100,4,0.001995,0.055543,0.001213,0.058751
0,23,7,1000,100,4,0.002002,0.054894,0.001265,0.058160
0,23,8,1000,100,4,0.002010,0.055148,0.001165,0.058323
0,23,9,1000,100,4,0.001882,0.055819,0.001164,0.058866
0,23,10,1000,100,4,0.001962,0.055730,0.001161,0.058853
0,23,11,1000,100,4,0.001979,0.055002,0.001204,0.058184
0,23,12,1000,100,4,0.001985,0.055015,0.001251,0.058251
0,23,13,1000,100,4,0.001936,0.055344,0.001608,0.058887
0,23,14,1000,100,4,0.001996,0.054809,0.001970,0.058775
0,23,15,1000,100,4,0.001922,0.055807,0.001164,0.058893
0,23,16,1000,100,4,0.001962,0.055816,0.001153,0.058932
0,23,17,1000,100,4,0.001957,0.055639,0.001606,0.059203
0,23,18,1000,100,4,0.001959,0.055309,0.001661,0.058929
0,23,19,1000,100,4,0.001943,0.055539,0.001229,0.058711
0,23,20,1000,100,4,0.001986,0.055267,0.001632,0.058885
0,23,21,1000,100,4,0.001967,0.055641,0.001185,0.058793
0,23,22,1000,100,4,0.001984,0.055999,0.001190,0.059173
1,23,0,1000,100,4,0.002115,0.054626,0.001435,0.058176
1,23,1,1000,100,4,0.001877,0.054253,0.001211,0.057342
1,23,2,1000,100,4,0.001915,0.054225,0.001181,0.057321
1,23,3,1000,100,4,0.001935,0.054557,0.001208,0.057700
1,23,4,1000,100,4,0.001959,0.054727,0.001235,0.057921
1,23,5,1000,100,4,0.001941,0.054779,0.001213,0.057933
1,23,6,1000,100,4,0.002003,0.054571,0.001647,0.058221
1,23,7,1000,100,4,0.001904,0.054719,0.001628,0.058251
1,23,8,1000,100,4,0.001939,0.054589,0.001212,0.057741
1,23,9,1000,100,4,0.001914,0.053979,0.001539,0.057432
1,23,10,1000,100,4,0.001995,0.053610,0.001615,0.057219
1,23,11,1000,100,4,0.001890,0.054568,0.001264,0.057722
1,23,12,1000,100,4,0.001907,0.054636,0.001652,0.058196
1,23,13,1000,100,4,0.001908,0.054618,0.001191,0.057717
1,23,14,1000,100,4,0.001952,0.054733,0.001613,0.058298
1,23,15,1000,100,4,0.001905,0.054494,0.001231,0.057630
1,23,16,1000,100,4,0.001950,0.054518,0.001178,0.057647
1,23,17,1000,100,4,0.001956,0.054393,0.001610,0.057959
1,23,18,1000,100,4,0.001927,0.054598,0.001252,0.057776
1,23,19,1000,100,4,0.001932,0.054682,0.001242,0.057856
1,23,20,1000,100,4,0.001944,0.054500,0.001658,0.058102
1,23,21,1000,100,4,0.001946,0.054457,0.001202,0.057605
1,23,22,1000,100,4,0.001946,0.054778,0.001162,0.057887
0,23,0,1000,100,400,0.002152,0.069515,0.001474,0.073141
0,23,1,1000,100,400,0.002050,0.067771,0.001197,0.071019
0,23,2,1000,100,400,0.001944,0.067434,0.001244,0.070622
0,23,3,1000,100,400,0.002038,0.068291,0.001239,0.071569
0,23,4,1000,100,400,0.002067,0.068175,0.001680,0.071921
0,23,5,1000,100,400,0.002039,0.068268,0.001268,0.071575
0,23,6,1000,100,400,0.002041,0.068061,0.001297,0.071399
0,23,7,1000,100,400,0.002022,0.067642,0.001706,0.071370
0,23,8,1000,100,400,0.002004,0.068477,0.001257,0.071738
0,23,9,1000,100,400,0.002037,0.068239,0.001195,0.071471
0,23,10,1000,100,400,0.002013,0.067816,0.001242,0.071071
0,23,11,1000,100,400,0.001985,0.067803,0.001660,0.071449
0,23,12,1000,100,400,0.002065,0.068377,0.001275,0.071716
0,23,13,1000,100,400,0.002046,0.067963,0.001676,0.071685
0,23,14,1000,100,400,0.002008,0.066952,0.002053,0.071013
0,23,15,1000,100,400,0.001986,0.067477,0.001647,0.071109
0,23,16,1000,100,400,0.002007,0.068056,0.001289,0.071352
0,23,17,1000,100,400,0.001998,0.068358,0.001240,0.071595
0,23,18,1000,100,400,0.001999,0.067710,0.001725,0.071434
0,23,19,1000,100,400,0.002033,0.067652,0.001270,0.070956
0,23,20,1000,100,400,0.002004,0.068625,0.001285,0.071915
0,23,21,1000,100,400,0.002049,0.068307,0.001284,0.071640
0,23,22,1000,100,400,0.002021,0.068426,0.001325,0.071771
1,23,0,1000,100,400,0.002118,0.068902,0.003154,0.074174
1,23,1,1000,100,400,0.001934,0.070513,0.001290,0.073737
1,23,2,1000,100,400,0.001943,0.069707,0.001236,0.072886
1,23,3,1000,100,400,0.001978,0.070680,0.001260,0.073919
1,23,4,1000,100,400,0.002001,0.070455,0.001608,0.074064
1,23,5,1000,100,400,0.002006,0.070883,0.001298,0.074187
1,23,6,1000,100,400,0.001967,0.070550,0.001255,0.073771
1,23,7,1000,100,400,0.001979,0.070394,0.001263,0.073636
1,23,8,1000,100,400,0.001975,0.070444,0.001189,0.073608
1,23,9,1000,100,400,0.001948,0.071126,0.001230,0.074304
1,23,10,1000,100,400,0.001981,0.070141,0.001653,0.073775
1,23,11,1000,100,400,0.001960,0.070547,0.001251,0.073757
1,23,12,1000,100,400,0.002013,0.070749,0.001244,0.074006
1,23,13,1000,100,400,0.001987,0.070350,0.001733,0.074070
1,23,14,1000,100,400,0.001988,0.070392,0.001683,0.074062
1,23,15,1000,100,400,0.002011,0.070182,0.001232,0.073425
1,23,16,1000,100,400,0.001962,0.070120,0.001745,0.073827
1,23,17,1000,100,400,0.002012,0.070136,0.001666,0.073814
