nthreads,thread,rep,work,msg_size,post_time,wait_time,comp_time,comm_time
23,0,1000,100,400,0.059638,0.018783,0.054248,0.132669
23,1,1000,100,400,0.057583,0.020048,0.053809,0.131440
23,2,1000,100,400,0.059400,0.020653,0.053725,0.133778
23,3,1000,100,400,0.059043,0.019195,0.053837,0.132075
23,4,1000,100,400,0.059179,0.020089,0.053771,0.133039
23,5,1000,100,400,0.058531,0.020064,0.053951,0.132547
23,6,1000,100,400,0.057787,0.020515,0.053994,0.132296
23,7,1000,100,400,0.056247,0.020757,0.053853,0.130857
23,8,1000,100,400,0.057980,0.020383,0.054024,0.132387
23,9,1000,100,400,0.059112,0.020543,0.053940,0.133595
23,10,1000,100,400,0.058321,0.020863,0.053785,0.132969
23,11,1000,100,400,0.060557,0.019468,0.053981,0.134006
23,12,1000,100,400,0.059027,0.019339,0.053949,0.132316
23,13,1000,100,400,0.060028,0.018835,0.053857,0.132720
23,14,1000,100,400,0.058389,0.020328,0.053904,0.132621
23,15,1000,100,400,0.059283,0.019467,0.053850,0.132600
23,16,1000,100,400,0.059080,0.020278,0.053789,0.133147
23,17,1000,100,400,0.058987,0.020305,0.053842,0.133134
23,18,1000,100,400,0.058713,0.019891,0.053746,0.132349
23,19,1000,100,400,0.057254,0.020543,0.053895,0.131692
23,20,1000,100,400,0.057990,0.020001,0.053863,0.131854
23,21,1000,100,400,0.059130,0.019494,0.053858,0.132482
23,22,1000,100,400,0.058282,0.019924,0.053923,0.132129
23,0,1000,100,400,0.056378,0.028496,0.053786,0.138660
23,1,1000,100,400,0.055231,0.028381,0.053794,0.137406
23,2,1000,100,400,0.057227,0.026970,0.053805,0.138003
23,3,1000,100,400,0.057527,0.027427,0.053839,0.138793
23,4,1000,100,400,0.057853,0.027276,0.053887,0.139016
23,5,1000,100,400,0.056211,0.028478,0.053788,0.138476
23,6,1000,100,400,0.057014,0.028265,0.053901,0.139180
23,7,1000,100,400,0.055766,0.028219,0.053793,0.137779
23,8,1000,100,400,0.057677,0.026427,0.053750,0.137854
23,9,1000,100,400,0.056068,0.027223,0.053769,0.137060
23,10,1000,100,400,0.057149,0.027202,0.053785,0.138136
23,11,1000,100,400,0.057404,0.028011,0.053839,0.139254
23,12,1000,100,400,0.056203,0.028366,0.053769,0.138338
23,13,1000,100,400,0.054126,0.028806,0.053751,0.136683
23,14,1000,100,400,0.056562,0.027830,0.053982,0.138375
23,15,1000,100,400,0.057185,0.027748,0.053827,0.138760
23,16,1000,100,400,0.055753,0.027696,0.053930,0.137379
23,17,1000,100,400,0.056453,0.027538,0.053748,0.137739
23,18,1000,100,400,0.055351,0.028186,0.053902,0.137438
23,19,1000,100,400,0.056608,0.027273,0.053903,0.137784
23,20,1000,100,400,0.055584,0.028232,0.053842,0.137658
