nthreads,thread,rep,work,msg_size,post_time,wait_time,comp_time,comm_time
23,0,1000,100,400,0.002409,0.020660,0.055708,0.078776
23,1,1000,100,400,0.002004,0.019714,0.053716,0.075434
23,2,1000,100,400,0.002043,0.019471,0.053832,0.075346
23,3,1000,100,400,0.002008,0.019377,0.053777,0.075162
23,4,1000,100,400,0.001964,0.019909,0.053839,0.075713
23,5,1000,100,400,0.002037,0.019907,0.053828,0.075772
23,6,1000,100,400,0.002049,0.019873,0.053804,0.075726
23,7,1000,100,400,0.002053,0.019781,0.053835,0.075669
23,8,1000,100,400,0.002060,0.019330,0.053807,0.075197
23,9,1000,100,400,0.002006,0.019548,0.053716,0.075270
23,10,1000,100,400,0.002059,0.019753,0.053856,0.075668
23,11,1000,100,400,0.002040,0.019620,0.053802,0.075463
23,12,1000,100,400,0.002080,0.019499,0.053838,0.075417
23,13,1000,100,400,0.002068,0.019539,0.053774,0.075381
23,14,1000,100,400,0.002060,0.019511,0.053835,0.075407
23,15,1000,100,400,0.002061,0.019670,0.053848,0.075579
23,16,1000,100,400,0.002079,0.019883,0.053831,0.075793
23,17,1000,100,400,0.002085,0.019829,0.053917,0.075831
23,18,1000,100,400,0.002120,0.019714,0.053852,0.075685
23,19,1000,100,400,0.002066,0.019727,0.053812,0.075605
23,20,1000,100,400,0.002051,0.019618,0.053813,0.075482
23,21,1000,100,400,0.002051,0.019765,0.053802,0.075618
23,22,1000,100,400,0.002049,0.019774,0.053791,0.075615
23,0,1000,100,400,0.002471,0.019899,0.055346,0.077716
23,1,1000,100,400,0.002021,0.018894,0.053688,0.074603
23,2,1000,100,400,0.001997,0.019091,0.053760,0.074848
23,3,1000,100,400,0.001990,0.018979,0.053686,0.074655
23,4,1000,100,400,0.001950,0.019012,0.053712,0.074674
23,5,1000,100,400,0.002008,0.019140,0.053733,0.074881
23,6,1000,100,400,0.002037,0.019321,0.053751,0.075110
23,7,1000,100,400,0.002028,0.019332,0.053741,0.075101
23,8,1000,100,400,0.002010,0.019178,0.053750,0.074939
23,9,1000,100,400,0.002011,0.019113,0.053700,0.074824
23,10,1000,100,400,0.002030,0.018996,0.053772,0.074799
23,11,1000,100,400,0.002064,0.019305,0.053716,0.075085
23,12,1000,100,400,0.002120,0.019373,0.053757,0.075250
23,13,1000,100,400,0.002098,0.018966,0.053834,0.074898
23,14,1000,100,400,0.002085,0.019289,0.053694,0.075068
23,15,1000,100,400,0.002102,0.019342,0.053713,0.075157
23,16,1000,100,400,0.002137,0.019180,0.053713,0.075031
23,17,1000,100,400,0.002075,0.019366,0.053755,0.075195
23,18,1000,100,400,0.002128,0.019408,0.053759,0.075296
23,19,1000,100,400,0.002136,0.019501,0.053749,0.075386
23,20,1000,100,400,0.002086,0.019079,0.053734,0.074900
23,21,1000,100,400,0.002124,0.019280,0.053779,0.075183
23,22,1000,100,400,0.002122,0.018870,0.053716,0.074707
23,0,1000,100,400,0.002375,0.010216,0.055407,0.067998
23,1,1000,100,400,0.002020,0.009545,0.053944,0.065509
23,2,1000,100,400,0.001949,0.009600,0.053951,0.065500
23,3,1000,100,400,0.001965,0.009556,0.053975,0.065495
23,4,1000,100,400,0.001975,0.009269,0.053960,0.065204
23,5,1000,100,400,0.001998,0.009647,0.053984,0.065629
23,6,1000,100,400,0.002009,0.009757,0.053939,0.065706
23,7,1000,100,400,0.002022,0.009633,0.053913,0.065568
23,8,1000,100,400,0.001961,0.009398,0.053919,0.065278
23,9,1000,100,400,0.001931,0.009487,0.053899,0.065318
23,10,1000,100,400,0.001990,0.009597,0.053863,0.065449
23,11,1000,100,400,0.001973,0.009486,0.053925,0.065384
23,12,1000,100,400,0.002083,0.009714,0.053955,0.065753
23,13,1000,100,400,0.002083,0.009861,0.053921,0.065865
23,14,1000,100,400,0.002033,0.009606,0.053987,0.065626
23,15,1000,100,400,0.002065,0.009639,0.053906,0.065611
23,16,1000,100,400,0.002067,0.009917,0.053965,0.065950
23,17,1000,100,400,0.002006,0.009395,0.053999,0.065400
23,18,1000,100,400,0.002062,0.009903,0.053920,0.065885
23,19,1000,100,400,0.002098,0.009924,0.053957,0.065978
23,20,1000,100,400,0.002051,0.009380,0.053964,0.065395
23,21,1000,100,400,0.002048,0.009767,0.053915,0.065730
23,22,1000,100,400,0.002061,0.009541,0.053985,0.065586
23,0,1000,100,400,0.002236,0.010683,0.055427,0.068346
23,1,1000,100,400,0.001886,0.010507,0.053859,0.066253
23,2,1000,100,400,0.001851,0.010531,0.054000,0.066382
23,3,1000,100,400,0.001879,0.010583,0.053894,0.066356
23,4,1000,100,400,0.001889,0.010534,0.053899,0.066321
23,5,1000,100,400,0.001919,0.010418,0.053925,0.066262
23,6,1000,100,400,0.001909,0.010455,0.053903,0.066267
23,7,1000,100,400,0.001902,0.010333,0.053877,0.066112
23,8,1000,100,400,0.001853,0.010150,0.053964,0.065968
23,9,1000,100,400,0.001883,0.010385,0.053922,0.066189
23,10,1000,100,400,0.001898,0.010512,0.053918,0.066328
23,11,1000,100,400,0.001911,0.010736,0.053923,0.066569
23,12,1000,100,400,0.001873,0.010275,0.053855,0.066002
23,13,1000,100,400,0.001890,0.010488,0.053959,0.066337
23,14,1000,100,400,0.001930,0.010309,0.053857,0.066096
23,15,1000,100,400,0.001887,0.010387,0.053875,0.066148
23,16,1000,100,400,0.001894,0.010294,0.053857,0.066046
23,17,1000,100,400,0.001919,0.010375,0.053910,0.066204
23,18,1000,100,400,0.001933,0.010597,0.053857,0.066387
23,19,1000,100,400,0.001933,0.010364,0.053872,0.066169
23,20,1000,100,400,0.001832,0.010620,0.053883,0.066335
23,21,1000,100,400,0.001870,0.010698,0.053874,0.066442
23,22,1000,100,400,0.001859,0.010767,0.053914,0.066541
23,0,1000,100,4000,0.002507,0.021106,0.055293,0.078905
23,1,1000,100,4000,0.001987,0.022210,0.053731,0.077928
23,2,1000,100,4000,0.002017,0.022193,0.053716,0.077926
23,3,1000,100,4000,0.001926,0.022313,0.053738,0.077978
