rank,nthreads,thread,rep,work,msg_size,post_time,wait_time,comp_time,comm_time
1,23,0,1000,100,4,0.067485,0.097185,0.005330,0.170000
1,23,1,1000,100,4,0.065121,0.098532,0.005258,0.168910
1,23,2,1000,100,4,0.065467,0.098540,0.005269,0.169275
1,23,3,1000,100,4,0.062520,0.101812,0.005240,0.169573
1,23,4,1000,100,4,0.063965,0.100155,0.004765,0.168885
1,23,5,1000,100,4,0.063471,0.100334,0.005215,0.169020
1,23,6,1000,100,4,0.064992,0.098090,0.005293,0.168375
1,23,7,1000,100,4,0.064702,0.098469,0.005198,0.168368
1,23,8,1000,100,4,0.063827,0.100995,0.004705,0.169527
1,23,9,1000,100,4,0.064414,0.099798,0.004723,0.168935
1,23,10,1000,100,4,0.063681,0.100520,0.004706,0.168907
1,23,11,1000,100,4,0.065596,0.097856,0.005099,0.168550
1,23,12,1000,100,4,0.065201,0.098709,0.005266,0.169176
1,23,13,1000,100,4,0.064001,0.098384,0.004816,0.167202
1,23,14,1000,100,4,0.063685,0.100454,0.005137,0.169277
1,23,15,1000,100,4,0.063345,0.099126,0.005173,0.167644
1,23,16,1000,100,4,0.063374,0.100128,0.005125,0.168627
1,23,17,1000,100,4,0.064364,0.099321,0.005151,0.168836
1,23,18,1000,100,4,0.065345,0.098836,0.004979,0.169161
1,23,19,1000,100,4,0.062636,0.099577,0.005269,0.167482
1,23,20,1000,100,4,0.064270,0.098944,0.004746,0.167960
1,23,21,1000,100,4,0.063077,0.099781,0.005189,0.168047
1,23,22,1000,100,4,0.064004,0.099347,0.004771,0.168123
0,23,0,1000,100,4,0.064964,0.113994,0.005343,0.184301
0,23,1,1000,100,4,0.063720,0.113501,0.005275,0.182496
0,23,2,1000,100,4,0.062927,0.116002,0.004760,0.183689
0,23,3,1000,100,4,0.064289,0.113174,0.005221,0.182684
0,23,4,1000,100,4,0.065544,0.113510,0.004752,0.183806
0,23,5,1000,100,4,0.064387,0.111813,0.005241,0.181440
0,23,6,1000,100,4,0.064325,0.112661,0.005253,0.182239
0,23,7,1000,100,4,0.064679,0.113459,0.004838,0.182976
0,23,8,1000,100,4,0.065698,0.112564,0.005169,0.183430
0,23,9,1000,100,4,0.065159,0.111954,0.005177,0.182291
0,23,10,1000,100,4,0.064717,0.113806,0.004751,0.183274
0,23,11,1000,100,4,0.064179,0.114664,0.005131,0.183974
0,23,12,1000,100,4,0.065237,0.113264,0.005289,0.183789
0,23,13,1000,100,4,0.064546,0.112240,0.005254,0.182040
0,23,14,1000,100,4,0.065746,0.111037,0.004780,0.181564
0,23,15,1000,100,4,0.064092,0.112541,0.005228,0.181862
0,23,16,1000,100,4,0.063886,0.113083,0.005124,0.182092
0,23,17,1000,100,4,0.064701,0.112664,0.005229,0.182594
0,23,18,1000,100,4,0.066478,0.111485,0.005316,0.183280
0,23,19,1000,100,4,0.063629,0.114076,0.004866,0.182572
0,23,20,1000,100,4,0.062844,0.114443,0.004757,0.182044
0,23,21,1000,100,4,0.064098,0.113322,0.005268,0.182689
0,23,22,1000,100,4,0.065074,0.112054,0.004752,0.181880
1,23,0,1000,100,400,0.080114,0.114165,0.005948,0.200228
1,23,1,1000,100,400,0.075195,0.117967,0.005408,0.198569
1,23,2,1000,100,400,0.075625,0.118406,0.005470,0.199500
1,23,3,1000,100,400,0.076958,0.117374,0.005332,0.199663
1,23,4,1000,100,400,0.075745,0.120054,0.005326,0.201125
1,23,5,1000,100,400,0.072945,0.120596,0.005385,0.198926
1,23,6,1000,100,400,0.076463,0.117740,0.005491,0.199694
1,23,7,1000,100,400,0.077714,0.116781,0.005391,0.199885
1,23,8,1000,100,400,0.073736,0.121246,0.004809,0.199791
1,23,9,1000,100,400,0.075185,0.117919,0.005299,0.198403
1,23,10,1000,100,400,0.077470,0.117524,0.005324,0.200319
1,23,11,1000,100,400,0.075984,0.117692,0.005278,0.198955
1,23,12,1000,100,400,0.077019,0.117301,0.005395,0.199716
1,23,13,1000,100,400,0.076363,0.117241,0.005259,0.198863
1,23,14,1000,100,400,0.075341,0.118209,0.005387,0.198937
1,23,15,1000,100,400,0.076026,0.118628,0.005394,0.200048
1,23,16,1000,100,400,0.075707,0.118973,0.005232,0.199912
1,23,17,1000,100,400,0.078346,0.116306,0.005183,0.199835
1,23,18,1000,100,400,0.076338,0.116092,0.005477,0.197907
1,23,19,1000,100,400,0.075280,0.118984,0.005499,0.199764
1,23,20,1000,100,400,0.075048,0.116056,0.005289,0.196393
1,23,21,1000,100,400,0.076712,0.117425,0.005246,0.199383
1,23,22,1000,100,400,0.076687,0.118880,0.005261,0.200828
0,23,0,1000,100,400,0.076712,0.107707,0.005939,0.190358
0,23,1,1000,100,400,0.077372,0.107422,0.005307,0.190102
