nthreads,thread,rep,work,msg_size,post_time,wait_time,comp_time,comm_time
31,0,5000,100,4,0.004439,0.273362,0.009988,0.287790
31,1,5000,100,4,0.004793,0.273239,0.010789,0.288821
31,2,5000,100,4,0.004760,0.273256,0.010432,0.288448
31,3,5000,100,4,0.004770,0.272624,0.009934,0.287329
31,4,5000,100,4,0.004611,0.273193,0.010353,0.288158
31,5,5000,100,4,0.004880,0.276477,0.010603,0.291960
31,6,5000,100,4,0.004624,0.273279,0.010544,0.288447
31,7,5000,100,4,0.004681,0.273630,0.010219,0.288530
31,8,5000,100,4,0.004661,0.274672,0.010011,0.289345
31,9,5000,100,4,0.004879,0.275013,0.010106,0.289997
31,10,5000,100,4,0.004836,0.276647,0.009989,0.291472
31,11,5000,100,4,0.004772,0.273599,0.010911,0.289283
31,12,5000,100,4,0.004764,0.278572,0.009900,0.293236
31,13,5000,100,4,0.004735,0.275624,0.010689,0.291048
31,14,5000,100,4,0.004846,0.273504,0.009633,0.287983
31,15,5000,100,4,0.004824,0.273932,0.010159,0.288914
31,16,5000,100,4,0.004870,0.274528,0.011182,0.290580
31,17,5000,100,4,0.004906,0.274913,0.010578,0.290397
31,18,5000,100,4,0.004855,0.273609,0.009747,0.288211
31,19,5000,100,4,0.004793,0.273097,0.010676,0.288567
31,20,5000,100,4,0.004718,0.269910,0.009903,0.284531
31,21,5000,100,4,0.004725,0.273207,0.010481,0.288414
31,22,5000,100,4,0.004912,0.274478,0.010938,0.290328
31,23,5000,100,4,0.004803,0.275403,0.009503,0.289709
31,24,5000,100,4,0.004800,0.271167,0.010486,0.286453
31,25,5000,100,4,0.004829,0.273650,0.009763,0.288242
31,26,5000,100,4,0.004896,0.273939,0.010422,0.289257
31,27,5000,100,4,0.004465,0.272325,0.009967,0.286756
31,28,5000,100,4,0.004462,0.274051,0.009575,0.288088
31,29,5000,100,4,0.004354,0.272236,0.010407,0.286997
31,30,5000,100,4,0.004668,0.274610,0.010777,0.290055
31,0,5000,100,400,0.004216,0.309638,0.011050,0.324904
31,1,5000,100,400,0.004712,0.313705,0.010726,0.329143
31,2,5000,100,400,0.004662,0.316738,0.009883,0.331283
31,3,5000,100,400,0.004627,0.311916,0.010262,0.326804
31,4,5000,100,400,0.004428,0.313642,0.010569,0.328639
31,5,5000,100,400,0.004581,0.312212,0.010514,0.327306
31,6,5000,100,400,0.004530,0.311129,0.010501,0.326160
31,7,5000,100,400,0.004568,0.314582,0.010176,0.329326
31,8,5000,100,400,0.004521,0.314409,0.010721,0.329651
31,9,5000,100,400,0.004609,0.314864,0.010148,0.329621
31,10,5000,100,400,0.004661,0.314955,0.009755,0.329370
31,11,5000,100,400,0.004513,0.313167,0.010650,0.328330
31,12,5000,100,400,0.004594,0.311671,0.010917,0.327182
31,13,5000,100,400,0.004622,0.315775,0.011117,0.331515
31,14,5000,100,400,0.004651,0.313970,0.010086,0.328707
31,15,5000,100,400,0.004626,0.314192,0.010761,0.329579
31,16,5000,100,400,0.004717,0.316876,0.010935,0.332528
31,17,5000,100,400,0.004658,0.314473,0.010805,0.329936
31,18,5000,100,400,0.004624,0.311644,0.010583,0.326852
31,19,5000,100,400,0.004577,0.312558,0.010427,0.327562
31,20,5000,100,400,0.004505,0.312311,0.010195,0.327010
31,21,5000,100,400,0.004551,0.315341,0.010453,0.330346
31,22,5000,100,400,0.004635,0.314293,0.010198,0.329127
31,23,5000,100,400,0.004665,0.313971,0.011386,0.330022
31,24,5000,100,400,0.004688,0.313235,0.010966,0.328889
31,25,5000,100,400,0.004670,0.313081,0.010490,0.328241
31,26,5000,100,400,0.004761,0.315958,0.011215,0.331934
31,27,5000,100,400,0.004244,0.314878,0.009810,0.328932
31,28,5000,100,400,0.004333,0.315513,0.009842,0.329688
31,29,5000,100,400,0.004220,0.315100,0.010033,0.329352
31,30,5000,100,400,0.004710,0.316513,0.010991,0.332214
31,0,5000,100,4000,0.004223,0.374627,0.010860,0.389710
