nthreads,thread,rep,work,msg_size,post_time,wait_time,comp_time,comm_time
31,0,5000,100,4,0.512891,0.440155,0.013993,0.967039
31,1,5000,100,4,0.495841,0.425330,0.014019,0.935190
31,2,5000,100,4,0.472868,0.438111,0.014387,0.925366
31,3,5000,100,4,0.476103,0.435858,0.015476,0.927437
31,4,5000,100,4,0.492597,0.440888,0.014975,0.948460
31,5,5000,100,4,0.496607,0.427242,0.014093,0.937943
31,6,5000,100,4,0.480515,0.437643,0.014889,0.933046
31,7,5000,100,4,0.472009,0.443201,0.014166,0.929376
31,8,5000,100,4,0.503525,0.430560,0.014198,0.948283
31,9,5000,100,4,0.495737,0.424461,0.014034,0.934232
31,10,5000,100,4,0.489235,0.426948,0.014161,0.930343
31,11,5000,100,4,0.478045,0.437148,0.013770,0.928964
31,12,5000,100,4,0.485634,0.437594,0.014974,0.938203
31,13,5000,100,4,0.489448,0.428651,0.014189,0.932289
31,14,5000,100,4,0.473679,0.442657,0.015512,0.931848
31,15,5000,100,4,0.481627,0.430432,0.015055,0.927114
31,16,5000,100,4,0.502653,0.428725,0.014043,0.945420
31,17,5000,100,4,0.504865,0.421247,0.013810,0.939922
31,18,5000,100,4,0.488097,0.428384,0.013973,0.930454
31,19,5000,100,4,0.486168,0.428242,0.014066,0.928477
31,20,5000,100,4,0.489028,0.433462,0.013863,0.936352
31,21,5000,100,4,0.488374,0.435142,0.014532,0.938048
31,22,5000,100,4,0.482608,0.432870,0.014762,0.930240
31,23,5000,100,4,0.480939,0.434776,0.014042,0.929757
31,24,5000,100,4,0.496669,0.432477,0.014204,0.943350
31,25,5000,100,4,0.496853,0.431661,0.013964,0.942477
31,26,5000,100,4,0.489975,0.426344,0.014155,0.930474
31,27,5000,100,4,0.477667,0.433179,0.014121,0.924967
31,28,5000,100,4,0.309821,0.409111,0.013882,0.732814
31,29,5000,100,4,0.306893,0.413325,0.013998,0.734216
31,30,5000,100,4,0.329739,0.412191,0.014151,0.756081
31,0,5000,100,400,0.492215,0.430605,0.014205,0.937026
31,1,5000,100,400,0.485658,0.427801,0.014834,0.928293
31,2,5000,100,400,0.470399,0.432643,0.014143,0.917185
31,3,5000,100,400,0.460612,0.438779,0.015233,0.914624
31,4,5000,100,400,0.496880,0.421073,0.014441,0.932393
31,5,5000,100,400,0.500564,0.407547,0.014731,0.922843
31,6,5000,100,400,0.475339,0.425174,0.015405,0.915918
31,7,5000,100,400,0.478246,0.419576,0.015380,0.913203
31,8,5000,100,400,0.502823,0.426404,0.014146,0.943373
31,9,5000,100,400,0.498021,0.416241,0.015088,0.929350
31,10,5000,100,400,0.487842,0.420493,0.014066,0.922400
31,11,5000,100,400,0.476583,0.431690,0.014254,0.922527
31,12,5000,100,400,0.476619,0.433769,0.014008,0.924396
31,13,5000,100,400,0.486163,0.423855,0.014136,0.924154
31,14,5000,100,400,0.468339,0.437273,0.014010,0.919621
31,15,5000,100,400,0.474488,0.428862,0.014103,0.917453
31,16,5000,100,400,0.491005,0.425567,0.014313,0.930885
31,17,5000,100,400,0.497481,0.416709,0.015237,0.929426
31,18,5000,100,400,0.483205,0.427018,0.014988,0.925211
31,19,5000,100,400,0.488341,0.418880,0.015361,0.922582
31,20,5000,100,400,0.481341,0.428146,0.014646,0.924133
31,21,5000,100,400,0.477017,0.430192,0.014963,0.922172
31,22,5000,100,400,0.469591,0.433433,0.013912,0.916936
31,23,5000,100,400,0.467998,0.437131,0.014011,0.919140
31,24,5000,100,400,0.484562,0.430438,0.015189,0.930189
31,25,5000,100,400,0.475810,0.432473,0.014509,0.922791
31,26,5000,100,400,0.472406,0.426174,0.014184,0.912764
31,27,5000,100,400,0.469387,0.426038,0.014242,0.909667
31,28,5000,100,400,0.314542,0.408350,0.015071,0.737964
31,29,5000,100,400,0.308745,0.420325,0.014122,0.743192
31,30,5000,100,400,0.331433,0.414746,0.014312,0.760492
31,0,5000,100,4000,0.507101,0.438428,0.014238,0.959767
31,1,5000,100,4000,0.506163,0.435471,0.014976,0.956611
31,2,5000,100,4000,0.487578,0.445153,0.013928,0.946659
31,3,5000,100,4000,0.482477,0.444489,0.014663,0.941629
31,4,5000,100,4000,0.518684,0.443349,0.014062,0.976095
31,5,5000,100,4000,0.511559,0.436512,0.013801,0.961872
31,6,5000,100,4000,0.496646,0.451265,0.014959,0.962870
31,7,5000,100,4000,0.499098,0.440183,0.014166,0.953447
31,8,5000,100,4000,0.518380,0.432999,0.013845,0.965224
31,9,5000,100,4000,0.511415,0.424734,0.014133,0.950282
31,10,5000,100,4000,0.501158,0.432729,0.014175,0.948062
31,11,5000,100,4000,0.497084,0.437578,0.014257,0.948919
31,12,5000,100,4000,0.512978,0.437767,0.014192,0.964938
31,13,5000,100,4000,0.516946,0.425118,0.014624,0.956687
31,14,5000,100,4000,0.500955,0.435345,0.014935,0.951235
31,15,5000,100,4000,0.504103,0.431825,0.015201,0.951129
31,16,5000,100,4000,0.511615,0.443597,0.014519,0.969732
31,17,5000,100,4000,0.522071,0.426796,0.013892,0.962759
31,18,5000,100,4000,0.505218,0.439839,0.015172,0.960229
31,19,5000,100,4000,0.504309,0.437995,0.013970,0.956274
31,20,5000,100,4000,0.510248,0.436732,0.013933,0.960913
31,21,5000,100,4000,0.511537,0.442356,0.013877,0.967770
31,22,5000,100,4000,0.501488,0.437401,0.013721,0.952610
31,23,5000,100,4000,0.494518,0.438477,0.013982,0.946977
31,24,5000,100,4000,0.509802,0.434401,0.013883,0.958086
31,25,5000,100,4000,0.503946,0.429374,0.015000,0.948320
31,26,5000,100,4000,0.503390,0.428347,0.014122,0.945859
31,27,5000,100,4000,0.501478,0.430099,0.014582,0.946159
31,28,5000,100,4000,0.335040,0.419145,0.013817,0.768002
31,29,5000,100,4000,0.330187,0.428813,0.013912,0.772912
31,30,5000,100,4000,0.351145,0.428323,0.013796,0.793264
31,0,500,100,40000,0.059750,0.053325,0.001991,0.115065
31,1,500,100,40000,0.060412,0.054576,0.001611,0.116599
31,2,500,100,40000,0.057645,0.055944,0.002027,0.115617
31,3,500,100,40000,0.063215,0.054023,0.001884,0.119122
31,4,500,100,40000,0.061580,0.053706,0.001782,0.117068
31,5,500,100,40000,0.057830,0.052069,0.001697,0.111596
31,6,500,100,40000,0.062107,0.051500,0.001543,0.115149
31,7,500,100,40000,0.059329,0.053659,0.001761,0.114749
31,8,500,100,40000,0.060586,0.056577,0.001614,0.118778
31,9,500,100,40000,0.062579,0.051941,0.001914,0.116435
31,10,500,100,40000,0.064560,0.052857,0.002062,0.119480
31,11,500,100,40000,0.062580,0.053402,0.001623,0.117606
31,12,500,100,40000,0.056194,0.054389,0.001868,0.112451
31,13,500,100,40000,0.054680,0.052611,0.001824,0.109114
31,14,500,100,40000,0.059178,0.055569,0.002038,0.116785
31,15,500,100,40000,0.056281,0.054584,0.002236,0.113100
31,16,500,100,40000,0.057047,0.061475,0.001716,0.120238
31,17,500,100,40000,0.060875,0.058325,0.001608,0.120809
31,18,500,100,40000,0.059561,0.057799,0.001669,0.119030
31,19,500,100,40000,0.058185,0.057250,0.001868,0.117303
31,20,500,100,40000,0.060576,0.054507,0.001701,0.116785
31,21,500,100,40000,0.060839,0.052582,0.001736,0.115157
31,22,500,100,40000,0.062450,0.054316,0.001565,0.118331
31,23,500,100,40000,0.064228,0.055113,0.001699,0.121041
31,24,500,100,40000,0.061615,0.052818,0.001791,0.116223
31,25,500,100,40000,0.060361,0.054791,0.001614,0.116766
31,26,500,100,40000,0.063070,0.055673,0.001693,0.120436
31,27,500,100,40000,0.063872,0.054806,0.001595,0.120274
31,28,500,100,40000,0.075947,0.056274,0.001604,0.133825
31,29,500,100,40000,0.075480,0.056735,0.001658,0.133873
31,30,500,100,40000,0.077804,0.056696,0.001628,0.136127
31,0,500,100,400000,0.030776,0.601855,0.001562,0.634193
31,1,500,100,400000,0.032168,0.622959,0.001614,0.656741
31,2,500,100,400000,0.032260,0.628494,0.001525,0.662280
31,3,500,100,400000,0.030998,0.580682,0.001515,0.613196
31,4,500,100,400000,0.036399,0.568005,0.001821,0.606225
31,5,500,100,400000,0.036277,0.597595,0.001723,0.635594
31,6,500,100,400000,0.030083,0.592663,0.001626,0.624371
31,7,500,100,400000,0.029589,0.581813,0.001525,0.612927
31,8,500,100,400000,0.026873,0.569720,0.001546,0.598139
31,9,500,100,400000,0.030659,0.589188,0.001673,0.621520
31,10,500,100,400000,0.030191,0.586957,0.001723,0.618871
31,11,500,100,400000,0.026872,0.564081,0.001619,0.592573
31,12,500,100,400000,0.030983,0.584543,0.001693,0.617218
31,13,500,100,400000,0.031939,0.610131,0.001651,0.643720
31,14,500,100,400000,0.029799,0.561971,0.001585,0.593355
31,15,500,100,400000,0.031513,0.603916,0.001821,0.637251
31,16,500,100,400000,0.031155,0.591722,0.001613,0.624491
31,17,500,100,400000,0.031006,0.578133,0.001624,0.610763
31,18,500,100,400000,0.030430,0.574957,0.001637,0.607024
31,19,500,100,400000,0.032785,0.584450,0.001785,0.619020
31,20,500,100,400000,0.029008,0.527676,0.001553,0.558237
31,21,500,100,400000,0.026823,0.542774,0.001596,0.571193
31,22,500,100,400000,0.031598,0.590128,0.001561,0.623287
31,23,500,100,400000,0.027414,0.547416,0.001411,0.576241
31,24,500,100,400000,0.031537,0.593877,0.001620,0.627034
31,25,500,100,400000,0.031573,0.580263,0.001534,0.613370
31,26,500,100,400000,0.030646,0.566701,0.001552,0.598899
31,27,500,100,400000,0.031506,0.570744,0.001744,0.603993
31,28,500,100,400000,0.032681,0.530663,0.001346,0.564690
31,29,500,100,400000,0.032370,0.541948,0.001884,0.576202
31,30,500,100,400000,0.027671,0.544452,0.001625,0.573747
31,0,500,100,4000000,0.031720,6.992797,0.001700,7.026218
31,1,500,100,4000000,0.033867,6.808241,0.001753,6.843861
31,2,500,100,4000000,0.031214,6.646553,0.001513,6.679280
31,3,500,100,4000000,0.034202,6.654664,0.001491,6.690357
31,4,500,100,4000000,0.032906,6.921382,0.001652,6.955940
31,5,500,100,4000000,0.033540,7.234629,0.001337,7.269506
31,6,500,100,4000000,0.031445,6.614253,0.001751,6.647449
31,7,500,100,4000000,0.026656,6.416648,0.001800,6.445105
31,8,500,100,4000000,0.027944,7.133811,0.001948,7.163703
31,9,500,100,4000000,0.028018,7.268147,0.001827,7.297992
31,10,500,100,4000000,0.030003,7.573993,0.001277,7.605273
31,11,500,100,4000000,0.027749,7.107607,0.001505,7.136861
31,12,500,100,4000000,0.032366,7.210556,0.001778,7.244700
31,13,500,100,4000000,0.031651,6.902716,0.001793,6.936159
31,14,500,100,4000000,0.030562,6.789262,0.001922,6.821746
31,15,500,100,4000000,0.031011,6.823832,0.001673,6.856516
31,16,500,100,4000000,0.039278,7.380094,0.001584,7.420956
31,17,500,100,4000000,0.035420,7.455701,0.001578,7.492698
31,18,500,100,4000000,0.039318,7.476011,0.001652,7.516981
31,19,500,100,4000000,0.034238,6.901762,0.001484,6.937484
31,20,500,100,4000000,0.027609,6.908085,0.001639,6.937334
