nthreads,thread,rep,work,msg_size,post_time,wait_time,comp_time,comm_time
15,0,5000,100,4,0.029977,0.024568,0.270984,0.325528
15,1,5000,100,4,0.030367,0.024304,0.271580,0.326251
15,2,5000,100,4,0.030030,0.024710,0.271369,0.326109
15,3,5000,100,4,0.029886,0.024651,0.271295,0.325832
15,4,5000,100,4,0.029460,0.025098,0.271595,0.326154
15,5,5000,100,4,0.030322,0.023845,0.271982,0.326149
15,6,5000,100,4,0.029991,0.024268,0.271837,0.326096
15,7,5000,100,4,0.029282,0.025076,0.271840,0.326198
15,8,5000,100,4,0.030133,0.023798,0.271748,0.325679
15,9,5000,100,4,0.029946,0.024299,0.271603,0.325848
15,10,5000,100,4,0.029231,0.026512,0.271539,0.327282
15,11,5000,100,4,0.030060,0.024762,0.271944,0.326766
15,12,5000,100,4,0.029855,0.023718,0.271420,0.324993
15,13,5000,100,4,0.030059,0.023736,0.271547,0.325343
15,14,5000,100,4,0.029427,0.025339,0.271478,0.326244
15,0,5000,100,400,0.043262,0.009968,0.271223,0.324453
15,1,5000,100,400,0.043996,0.008826,0.272326,0.325148
15,2,5000,100,400,0.043825,0.009648,0.273451,0.326924
15,3,5000,100,400,0.042503,0.009614,0.272293,0.324410
15,4,5000,100,400,0.043746,0.009456,0.271853,0.325055
15,5,5000,100,400,0.044168,0.009437,0.272102,0.325707
15,6,5000,100,400,0.043411,0.009850,0.272234,0.325494
15,7,5000,100,400,0.043864,0.009990,0.272204,0.326058
15,8,5000,100,400,0.044287,0.009309,0.272186,0.325782
15,9,5000,100,400,0.044282,0.009063,0.271934,0.325279
15,10,5000,100,400,0.043621,0.010532,0.271978,0.326131
15,11,5000,100,400,0.043954,0.010411,0.271970,0.326335
15,12,5000,100,400,0.043631,0.009299,0.272100,0.325029
15,13,5000,100,400,0.043692,0.009777,0.271710,0.325178
15,14,5000,100,400,0.043526,0.010462,0.272401,0.326388
15,0,5000,100,4000,0.053948,0.029232,0.272548,0.355728
15,1,5000,100,4000,0.053501,0.027970,0.273334,0.354804
15,2,5000,100,4000,0.054214,0.030618,0.273315,0.358148
15,3,5000,100,4000,0.051681,0.031365,0.272917,0.355963
15,4,5000,100,4000,0.051710,0.029738,0.272682,0.354130
15,5,5000,100,4000,0.051345,0.029555,0.272731,0.353631
15,6,5000,100,4000,0.052942,0.030461,0.273799,0.357202
15,7,5000,100,4000,0.051293,0.030332,0.272825,0.354450
15,8,5000,100,4000,0.053533,0.027430,0.272932,0.353894
15,9,5000,100,4000,0.053326,0.027636,0.272570,0.353531
15,10,5000,100,4000,0.051658,0.032463,0.272705,0.356826
15,11,5000,100,4000,0.051884,0.032564,0.272495,0.356943
15,12,5000,100,4000,0.051441,0.029450,0.273007,0.353898
15,13,5000,100,4000,0.051723,0.032071,0.273118,0.356912
15,14,5000,100,4000,0.051841,0.032834,0.272915,0.357590
15,0,500,100,40000,0.007049,0.052467,0.027168,0.086684
15,1,500,100,40000,0.007401,0.050068,0.027181,0.084649
15,2,500,100,40000,0.007405,0.057622,0.027258,0.092285
15,3,500,100,40000,0.007624,0.053814,0.027289,0.088727
15,4,500,100,40000,0.007273,0.061839,0.027391,0.096502
15,5,500,100,40000,0.007233,0.061271,0.027307,0.095811
15,6,500,100,40000,0.007116,0.057574,0.027303,0.091994
15,7,500,100,40000,0.007508,0.063859,0.027315,0.098682
15,8,500,100,40000,0.007371,0.058990,0.027337,0.093698
15,9,500,100,40000,0.006908,0.052873,0.027238,0.087020
15,10,500,100,40000,0.007274,0.056576,0.027314,0.091165
15,11,500,100,40000,0.007051,0.055965,0.027272,0.090288
15,12,500,100,40000,0.007626,0.061041,0.027399,0.096066
15,13,500,100,40000,0.007844,0.062389,0.027374,0.097608
15,14,500,100,40000,0.007578,0.063527,0.027325,0.098430
15,0,500,100,400000,0.008158,0.543657,0.027162,0.578977
15,1,500,100,400000,0.006985,0.548075,0.027280,0.582340
15,2,500,100,400000,0.007197,0.566686,0.027259,0.601142
15,3,500,100,400000,0.007061,0.545503,0.027202,0.579765
15,4,500,100,400000,0.006677,0.555116,0.027248,0.589041
15,5,500,100,400000,0.006478,0.535606,0.027209,0.569292
15,6,500,100,400000,0.007781,0.557408,0.027368,0.592556
15,7,500,100,400000,0.007987,0.558175,0.027338,0.593500
15,8,500,100,400000,0.006603,0.567978,0.027276,0.601857
15,9,500,100,400000,0.006331,0.547473,0.027261,0.581064
15,10,500,100,400000,0.006519,0.566456,0.027260,0.600235
15,11,500,100,400000,0.006250,0.527964,0.027261,0.561476
15,12,500,100,400000,0.009903,0.561758,0.027310,0.598971
15,13,500,100,400000,0.009779,0.557776,0.027257,0.594811
15,14,500,100,400000,0.010088,0.565412,0.027293,0.602793
15,0,500,100,4000000,0.005475,5.988986,0.036109,6.030570
15,1,500,100,4000000,0.005672,6.341557,0.033652,6.380882
15,2,500,100,4000000,0.005182,5.955841,0.035918,5.996941
15,3,500,100,4000000,0.004780,5.645863,0.041929,5.692573
15,4,500,100,4000000,0.008470,6.387174,0.034375,6.430019
15,5,500,100,4000000,0.006346,6.897320,0.030385,6.934051
15,6,500,100,4000000,0.009907,6.721575,0.031252,6.762734
15,7,500,100,4000000,0.006558,6.826440,0.031416,6.864413
15,8,500,100,4000000,0.007411,6.779437,0.029175,6.816023
15,9,500,100,4000000,0.007693,6.548844,0.032184,6.588721
15,10,500,100,4000000,0.007049,6.667571,0.031412,6.706032
15,11,500,100,4000000,0.007248,6.716292,0.031976,6.755516
15,12,500,100,4000000,0.006674,6.779409,0.030260,6.816343
15,13,500,100,4000000,0.006641,6.850196,0.032121,6.888958
15,14,500,100,4000000,0.006949,6.965349,0.030497,7.002794
15,0,100,100,40000000,0.004931,13.189828,0.006590,13.201348
15,1,100,100,40000000,0.004050,13.999530,0.006624,14.010204
15,2,100,100,40000000,0.004607,13.468779,0.006416,13.479802
15,3,100,100,40000000,0.004234,12.255022,0.006556,12.265812
15,4,100,100,40000000,0.003854,14.991658,0.006564,15.002075
15,5,100,100,40000000,0.003130,14.608210,0.006573,14.617914
15,6,100,100,40000000,0.002867,15.099776,0.006478,15.109120
15,7,100,100,40000000,0.003518,14.697832,0.006359,14.707709
15,8,100,100,40000000,0.005897,14.533311,0.006272,14.545480
15,9,100,100,40000000,0.005606,15.113115,0.006398,15.125119
15,10,100,100,40000000,0.006536,15.390252,0.006345,15.403133
15,11,100,100,40000000,0.006305,15.561157,0.006321,15.573783
15,12,100,100,40000000,0.002451,15.367435,0.006562,15.376448
15,13,100,100,40000000,0.001877,15.448191,0.006580,15.456647
15,14,100,100,40000000,0.002259,16.574493,0.006607,16.583359
15,0,20,100,400000000,0.019619,23.353142,0.001540,23.374300
15,1,20,100,400000000,0.017735,23.678542,0.001619,23.697897
15,2,20,100,400000000,0.017939,23.733294,0.001598,23.752831
15,3,20,100,400000000,0.021861,23.179392,0.001576,23.202830
15,4,20,100,400000000,0.019531,22.788654,0.001664,22.809849
15,5,20,100,400000000,0.021843,21.281065,0.001196,21.304105
15,6,20,100,400000000,0.022325,22.862970,0.001611,22.886907
15,7,20,100,400000000,0.017444,23.438947,0.001523,23.457913
15,8,20,100,400000000,0.022670,25.835176,0.001480,25.859326
15,9,20,100,400000000,0.022534,27.496148,0.001444,27.520126
15,10,20,100,400000000,0.019707,25.051900,0.001453,25.073060
15,11,20,100,400000000,0.020346,26.913319,0.001746,26.935410
15,12,20,100,400000000,0.022823,25.117054,0.001658,25.141535
15,13,20,100,400000000,0.022841,24.146497,0.001620,24.170958
15,14,20,100,400000000,0.022843,26.061305,0.001602,26.085750
15,0,5000,500,4,0.033807,0.013373,0.274263,0.321443
15,1,5000,500,4,0.033618,0.013206,0.274869,0.321693
15,2,5000,500,4,0.033821,0.013471,0.274851,0.322143
15,3,5000,500,4,0.033841,0.013344,0.274321,0.321506
15,4,5000,500,4,0.034284,0.013301,0.274278,0.321863
15,5,5000,500,4,0.033919,0.013682,0.273947,0.321547
15,6,5000,500,4,0.034325,0.012997,0.274537,0.321859
15,7,5000,500,4,0.034405,0.013441,0.273977,0.321822
15,8,5000,500,4,0.033889,0.013371,0.274441,0.321701
15,9,5000,500,4,0.034549,0.012870,0.273870,0.321289
15,10,5000,500,4,0.033969,0.013209,0.274824,0.322002
15,11,5000,500,4,0.034399,0.013079,0.274341,0.321819
15,12,5000,500,4,0.033963,0.013050,0.274150,0.321163
15,13,5000,500,4,0.034691,0.013332,0.274221,0.322245
15,14,5000,500,4,0.034739,0.013715,0.274556,0.323010
15,0,5000,500,400,0.042550,0.008800,0.274500,0.325850
15,1,5000,500,400,0.042580,0.008685,0.274915,0.326180
15,2,5000,500,400,0.042415,0.009533,0.275476,0.327424
15,3,5000,500,400,0.041597,0.009315,0.274853,0.325765
15,4,5000,500,400,0.042448,0.008730,0.274407,0.325584
15,5,5000,500,400,0.043142,0.008789,0.274510,0.326441
15,6,5000,500,400,0.042697,0.009428,0.275248,0.327374
15,7,5000,500,400,0.042397,0.009567,0.274521,0.326485
15,8,5000,500,400,0.042350,0.009130,0.274758,0.326238
15,9,5000,500,400,0.042582,0.009019,0.274133,0.325734
15,10,5000,500,400,0.041685,0.009917,0.275173,0.326776
15,11,5000,500,400,0.042271,0.009363,0.274864,0.326499
15,12,5000,500,400,0.042474,0.009604,0.274507,0.326585
15,13,5000,500,400,0.043059,0.009576,0.274401,0.327036
15,14,5000,500,400,0.043680,0.010487,0.275634,0.329801
15,0,5000,500,4000,0.038624,0.055532,0.275244,0.369400
15,1,5000,500,4000,0.038520,0.054743,0.275601,0.368863
15,2,5000,500,4000,0.038479,0.053926,0.275388,0.367793
15,3,5000,500,4000,0.036452,0.058458,0.275084,0.369994
15,4,5000,500,4000,0.039230,0.060983,0.274519,0.374731
15,5,5000,500,4000,0.039044,0.055009,0.275043,0.369096
15,6,5000,500,4000,0.039219,0.055517,0.275779,0.370515
15,7,5000,500,4000,0.037615,0.057944,0.274876,0.370434
15,8,5000,500,4000,0.036871,0.057948,0.275060,0.369878
15,9,5000,500,4000,0.038012,0.054504,0.274939,0.367455
15,10,5000,500,4000,0.037208,0.055499,0.275159,0.367866
15,11,5000,500,4000,0.035928,0.059137,0.275026,0.370091
15,12,5000,500,4000,0.037415,0.056763,0.275143,0.369321
15,13,5000,500,4000,0.037925,0.058513,0.275233,0.371670
15,14,5000,500,4000,0.039309,0.060448,0.275022,0.374778
15,0,500,500,40000,0.006542,0.055437,0.027358,0.089337
15,1,500,500,40000,0.006878,0.066185,0.027641,0.100705
15,2,500,500,40000,0.007093,0.076732,0.027644,0.111469
15,3,500,500,40000,0.006768,0.073172,0.027566,0.107505
15,4,500,500,40000,0.006981,0.066365,0.027591,0.100937
15,5,500,500,40000,0.006978,0.062602,0.027609,0.097189
15,6,500,500,40000,0.007252,0.070261,0.027723,0.105236
15,7,500,500,40000,0.006809,0.076151,0.027608,0.110568
15,8,500,500,40000,0.007234,0.069819,0.027338,0.104392
15,9,500,500,40000,0.007498,0.075521,0.027314,0.110333
15,10,500,500,40000,0.007037,0.077154,0.027428,0.111620
15,11,500,500,40000,0.006998,0.072915,0.027456,0.107370
15,12,500,500,40000,0.007341,0.077746,0.027522,0.112610
15,13,500,500,40000,0.007222,0.072913,0.027498,0.107633
15,14,500,500,40000,0.007300,0.075359,0.027608,0.110266
15,0,500,500,400000,0.011786,0.567035,0.027476,0.606297
15,1,500,500,400000,0.005586,0.587786,0.027483,0.620855
