nthreads,thread,rep,work,msg_size,post_time,wait_time,comp_time,comm_time
15,0,5000,100,4,0.003671,0.007336,0.272695,0.283702
15,1,5000,100,4,0.003660,0.007086,0.273158,0.283904
15,2,5000,100,4,0.003710,0.006908,0.273231,0.283849
15,3,5000,100,4,0.003696,0.007074,0.273484,0.284253
15,4,5000,100,4,0.003695,0.007243,0.273155,0.284093
15,5,5000,100,4,0.003739,0.006834,0.273318,0.283892
15,6,5000,100,4,0.003728,0.006916,0.273504,0.284149
15,7,5000,100,4,0.003743,0.007004,0.272880,0.283627
15,8,5000,100,4,0.003767,0.006739,0.272743,0.283249
15,9,5000,100,4,0.003636,0.006711,0.273598,0.283946
15,10,5000,100,4,0.003676,0.006927,0.273061,0.283664
15,11,5000,100,4,0.002425,0.005356,0.272581,0.280362
15,12,5000,100,4,0.002296,0.005115,0.272624,0.280036
15,13,5000,100,4,0.002254,0.005296,0.272851,0.280402
15,14,5000,100,4,0.003766,0.006908,0.273173,0.283847
15,0,5000,100,400,0.003651,0.079332,0.272244,0.355226
15,1,5000,100,400,0.003585,0.079407,0.272513,0.355504
15,2,5000,100,400,0.003697,0.078943,0.272381,0.355021
15,3,5000,100,400,0.003602,0.079010,0.272179,0.354791
15,4,5000,100,400,0.003662,0.078996,0.272002,0.354660
15,5,5000,100,400,0.003589,0.079965,0.272169,0.355723
15,6,5000,100,400,0.003614,0.079413,0.271881,0.354908
15,7,5000,100,400,0.003617,0.079712,0.271724,0.355053
15,8,5000,100,400,0.003696,0.079328,0.271624,0.354648
15,9,5000,100,400,0.003599,0.078721,0.272471,0.354791
15,10,5000,100,400,0.003617,0.079078,0.272064,0.354759
15,11,5000,100,400,0.002752,0.078013,0.271813,0.352578
15,12,5000,100,400,0.002713,0.077587,0.271956,0.352256
15,13,5000,100,400,0.002660,0.077601,0.272184,0.352445
15,14,5000,100,400,0.003693,0.078986,0.272124,0.354803
15,0,5000,100,4000,0.003330,0.008744,0.270646,0.282719
15,1,5000,100,4000,0.003343,0.007700,0.271077,0.282120
15,2,5000,100,4000,0.003376,0.008257,0.271466,0.283099
15,3,5000,100,4000,0.003374,0.008379,0.271030,0.282783
15,4,5000,100,4000,0.003362,0.007897,0.271028,0.282287
15,5,5000,100,4000,0.003399,0.007859,0.271250,0.282508
15,6,5000,100,4000,0.003376,0.008728,0.271032,0.283136
15,7,5000,100,4000,0.003450,0.007731,0.271240,0.282420
15,8,5000,100,4000,0.003405,0.007694,0.271137,0.282237
15,9,5000,100,4000,0.003326,0.007397,0.271714,0.282437
15,10,5000,100,4000,0.003343,0.008250,0.271421,0.283014
15,11,5000,100,4000,0.002028,0.006343,0.270382,0.278754
15,12,5000,100,4000,0.001986,0.006073,0.270776,0.278834
15,13,5000,100,4000,0.002008,0.006327,0.271076,0.279411
15,14,5000,100,4000,0.003388,0.008215,0.271025,0.282629
15,0,500,100,40000,0.000358,0.059878,0.027052,0.087288
15,1,500,100,40000,0.000360,0.059627,0.027421,0.087407
15,2,500,100,40000,0.000344,0.059665,0.027382,0.087391
15,3,500,100,40000,0.000376,0.058515,0.027399,0.086291
15,4,500,100,40000,0.000354,0.058954,0.027273,0.086581
15,5,500,100,40000,0.000390,0.059645,0.027346,0.087381
15,6,500,100,40000,0.000338,0.059497,0.027291,0.087125
15,7,500,100,40000,0.000358,0.059484,0.027250,0.087092
15,8,500,100,40000,0.000403,0.058864,0.027182,0.086449
15,9,500,100,40000,0.000352,0.062576,0.027338,0.090266
15,10,500,100,40000,0.000367,0.059826,0.027322,0.087514
15,11,500,100,40000,0.000287,0.059725,0.027301,0.087313
15,12,500,100,40000,0.000264,0.060334,0.027376,0.087974
15,13,500,100,40000,0.000267,0.060829,0.027275,0.088371
