rank,nthreads,thread,rep,work,msg_size,post_time,wait_time,comp_time,comm_time
2,23,0,5000,500,4,0.390989,0.389720,0.007894,0.788604
2,23,1,5000,500,4,0.463355,0.342320,0.006629,0.812305
2,23,2,5000,500,4,0.464258,0.341468,0.006663,0.812390
2,23,3,5000,500,4,0.466041,0.339060,0.006662,0.811763
2,23,4,5000,500,4,0.469229,0.336053,0.006714,0.811996
2,23,5,5000,500,4,0.460094,0.341551,0.006799,0.808444
2,23,6,5000,500,4,0.458467,0.344868,0.006742,0.810077
2,23,7,5000,500,4,0.462316,0.344182,0.006661,0.813160
2,23,8,5000,500,4,0.458207,0.345309,0.006667,0.810183
2,23,9,5000,500,4,0.469961,0.335797,0.006588,0.812345
2,23,10,5000,500,4,0.459443,0.338596,0.006698,0.804737
2,23,11,5000,500,4,0.457939,0.339858,0.006753,0.804550
2,23,12,5000,500,4,0.470257,0.334728,0.006642,0.811626
2,23,13,5000,500,4,0.462352,0.341712,0.006688,0.810752
2,23,14,5000,500,4,0.467022,0.337312,0.006668,0.811002
2,23,15,5000,500,4,0.466632,0.334897,0.006833,0.808362
2,23,16,5000,500,4,0.458426,0.347841,0.006915,0.813182
2,23,17,5000,500,4,0.467321,0.337207,0.006966,0.811494
2,23,18,5000,500,4,0.459046,0.345217,0.007040,0.811303
2,23,19,5000,500,4,0.462049,0.345783,0.007036,0.814867
2,23,20,5000,500,4,0.462942,0.343974,0.006953,0.813869
2,23,21,5000,500,4,0.462822,0.339472,0.006931,0.809225
2,23,22,5000,500,4,0.455781,0.343660,0.007054,0.806496
0,23,0,5000,500,4,0.368559,0.421106,0.007826,0.797492
0,23,1,5000,500,4,0.438114,0.381661,0.006742,0.826517
0,23,2,5000,500,4,0.439433,0.383114,0.006746,0.829293
0,23,3,5000,500,4,0.445362,0.378302,0.006760,0.830425
0,23,4,5000,500,4,0.429189,0.377263,0.006715,0.813167
0,23,5,5000,500,4,0.430714,0.378978,0.006775,0.816467
0,23,6,5000,500,4,0.445416,0.371936,0.006807,0.824159
0,23,7,5000,500,4,0.435029,0.376388,0.006772,0.818188
0,23,8,5000,500,4,0.439421,0.378846,0.006717,0.824984
0,23,9,5000,500,4,0.441825,0.375484,0.006797,0.824106
0,23,10,5000,500,4,0.432954,0.380787,0.006798,0.820539
0,23,11,5000,500,4,0.434697,0.377501,0.006811,0.819009
0,23,12,5000,500,4,0.436790,0.381556,0.006790,0.825136
