rank,nthreads,thread,rep,work,msg_size,post_time,wait_time,comp_time,comm_time
0,23,0,5000,100,4,0.288564,0.241074,0.277872,0.807511
0,23,1,5000,100,4,0.327289,0.226175,0.270339,0.823802
0,23,2,5000,100,4,0.330009,0.220783,0.270581,0.821374
0,23,3,5000,100,4,0.329156,0.220263,0.270808,0.820227
0,23,4,5000,100,4,0.326551,0.223233,0.270455,0.820239
0,23,5,5000,100,4,0.324069,0.222326,0.270401,0.816796
0,23,6,5000,100,4,0.326794,0.221838,0.269667,0.818299
0,23,7,5000,100,4,0.327467,0.221395,0.270496,0.819357
0,23,8,5000,100,4,0.325075,0.222032,0.270563,0.817670
0,23,9,5000,100,4,0.324458,0.220480,0.269899,0.814838
0,23,10,5000,100,4,0.329780,0.220668,0.268897,0.819346
0,23,11,5000,100,4,0.325139,0.224124,0.270302,0.819565
0,23,12,5000,100,4,0.320860,0.225649,0.270339,0.816848
0,23,13,5000,100,4,0.325725,0.223940,0.270196,0.819861
0,23,14,5000,100,4,0.328190,0.222678,0.269488,0.820356
0,23,15,5000,100,4,0.328083,0.219883,0.269412,0.817377
0,23,16,5000,100,4,0.326672,0.222703,0.269771,0.819145
0,23,17,5000,100,4,0.326490,0.221369,0.269995,0.817854
0,23,18,5000,100,4,0.330921,0.220503,0.269702,0.821125
0,23,19,5000,100,4,0.329529,0.221306,0.269659,0.820494
0,23,20,5000,100,4,0.328270,0.220698,0.270333,0.819302
0,23,21,5000,100,4,0.326280,0.225014,0.268915,0.820208
0,23,22,5000,100,4,0.324893,0.224516,0.269878,0.819286
2,23,0,5000,100,4,0.363498,0.115529,0.278282,0.757308
2,23,1,5000,100,4,0.416708,0.092175,0.270123,0.779006
2,23,2,5000,100,4,0.411968,0.093489,0.269593,0.775050
2,23,3,5000,100,4,0.420429,0.088416,0.270533,0.779378
2,23,4,5000,100,4,0.421620,0.090399,0.270806,0.782825
2,23,5,5000,100,4,0.417664,0.090902,0.270155,0.778721
2,23,6,5000,100,4,0.423389,0.089717,0.270763,0.783868
2,23,7,5000,100,4,0.418770,0.090370,0.270344,0.779483
2,23,8,5000,100,4,0.409882,0.092762,0.270756,0.773400
2,23,9,5000,100,4,0.420142,0.092304,0.269706,0.782152
2,23,10,5000,100,4,0.415906,0.093768,0.271113,0.780786
2,23,11,5000,100,4,0.421051,0.092290,0.270784,0.784126
2,23,12,5000,100,4,0.423666,0.090399,0.270393,0.784457
2,23,13,5000,100,4,0.420676,0.091764,0.270826,0.783266
2,23,14,5000,100,4,0.414979,0.092313,0.270443,0.777735
2,23,15,5000,100,4,0.420686,0.090919,0.270430,0.782036
2,23,16,5000,100,4,0.415852,0.090475,0.270482,0.776809
