rank,nthreads,thread,rep,work,msg_size,post_time,wait_time,comp_time,comm_time
1,23,0,5000,500,4,0.411756,0.333774,0.006982,0.752511
1,23,1,5000,500,4,0.415682,0.330274,0.006925,0.752880
1,23,2,5000,500,4,0.407038,0.338868,0.006730,0.752636
1,23,3,5000,500,4,0.414830,0.327204,0.006782,0.748816
1,23,4,5000,500,4,0.415213,0.328052,0.006800,0.750066
1,23,5,5000,500,4,0.410126,0.333094,0.006892,0.750112
1,23,6,5000,500,4,0.409538,0.329317,0.006876,0.745731
1,23,7,5000,500,4,0.410849,0.330098,0.006853,0.747799
1,23,8,5000,500,4,0.410807,0.333109,0.006746,0.750663
1,23,9,5000,500,4,0.412735,0.328037,0.006778,0.747551
1,23,10,5000,500,4,0.412136,0.331178,0.006946,0.750260
1,23,11,5000,500,4,0.408408,0.330430,0.006999,0.745838
1,23,12,5000,500,4,0.424337,0.322532,0.006908,0.753777
1,23,13,5000,500,4,0.416319,0.330693,0.006810,0.753822
1,23,14,5000,500,4,0.408454,0.332176,0.006705,0.747336
1,23,15,5000,500,4,0.414551,0.330489,0.006816,0.751856
1,23,16,5000,500,4,0.413670,0.328967,0.006934,0.749572
1,23,17,5000,500,4,0.407740,0.331715,0.006991,0.746447
1,23,18,5000,500,4,0.418713,0.329048,0.007014,0.754775
1,23,19,5000,500,4,0.411240,0.333216,0.007008,0.751465
1,23,20,5000,500,4,0.411273,0.332306,0.006944,0.750523
1,23,21,5000,500,4,0.410320,0.335087,0.007039,0.752446
1,23,22,5000,500,4,0.405624,0.336230,0.007059,0.748912
3,23,0,5000,500,4,0.434985,0.274665,0.007098,0.716749
3,23,1,5000,500,4,0.430555,0.281458,0.006949,0.718963
3,23,2,5000,500,4,0.439812,0.272025,0.006796,0.718633
3,23,3,5000,500,4,0.427409,0.278916,0.006786,0.713110
3,23,4,5000,500,4,0.428155,0.279315,0.006849,0.714319
3,23,5,5000,500,4,0.436640,0.271800,0.006942,0.715382
3,23,6,5000,500,4,0.425958,0.283749,0.006939,0.716646
3,23,7,5000,500,4,0.428260,0.277014,0.006891,0.712166
3,23,8,5000,500,4,0.433889,0.275563,0.006740,0.716192
3,23,9,5000,500,4,0.424568,0.282924,0.006828,0.714320
3,23,10,5000,500,4,0.428567,0.275834,0.006914,0.711316
3,23,11,5000,500,4,0.428900,0.278145,0.006861,0.713906
3,23,12,5000,500,4,0.433382,0.274998,0.006902,0.715282
3,23,13,5000,500,4,0.436870,0.271834,0.006869,0.715573
3,23,14,5000,500,4,0.432301,0.280968,0.006777,0.720046
3,23,15,5000,500,4,0.434491,0.277301,0.006889,0.718680
3,23,16,5000,500,4,0.429572,0.272949,0.006904,0.709425
3,23,17,5000,500,4,0.433051,0.277497,0.006887,0.717436
3,23,18,5000,500,4,0.434189,0.278594,0.006983,0.719766
3,23,19,5000,500,4,0.435488,0.273441,0.006968,0.715897
3,23,20,5000,500,4,0.436924,0.277060,0.006993,0.720977
3,23,21,5000,500,4,0.425115,0.283330,0.006917,0.715362
3,23,22,5000,500,4,0.425340,0.280628,0.006948,0.712916
2,23,0,5000,500,4,0.437227,0.281635,0.007192,0.726053
2,23,1,5000,500,4,0.430544,0.286592,0.006883,0.724019
2,23,2,5000,500,4,0.428855,0.284493,0.006912,0.720260
2,23,3,5000,500,4,0.429247,0.289035,0.006806,0.725088
2,23,4,5000,500,4,0.423784,0.284998,0.006938,0.715720
2,23,5,5000,500,4,0.430043,0.284599,0.007047,0.721689
2,23,6,5000,500,4,0.440680,0.276821,0.006984,0.724485
2,23,7,5000,500,4,0.434751,0.280181,0.006932,0.721864
2,23,8,5000,500,4,0.427185,0.287777,0.006826,0.721788
2,23,9,5000,500,4,0.432899,0.282619,0.006798,0.722316
2,23,10,5000,500,4,0.424767,0.286895,0.006969,0.718630
2,23,11,5000,500,4,0.424308,0.285330,0.006997,0.716635
2,23,12,5000,500,4,0.430106,0.285474,0.006963,0.722542
2,23,13,5000,500,4,0.426988,0.288223,0.006963,0.722175
2,23,14,5000,500,4,0.435897,0.278368,0.006845,0.721110
2,23,15,5000,500,4,0.429516,0.285358,0.007029,0.721902
2,23,16,5000,500,4,0.418593,0.293371,0.007127,0.719091
2,23,17,5000,500,4,0.427967,0.283441,0.007207,0.718615
2,23,18,5000,500,4,0.434899,0.284527,0.007328,0.726754
2,23,19,5000,500,4,0.432378,0.281718,0.007212,0.721308
2,23,20,5000,500,4,0.439047,0.278916,0.007263,0.725226
2,23,21,5000,500,4,0.430682,0.286124,0.007218,0.724025
2,23,22,5000,500,4,0.426002,0.284446,0.007205,0.717654
0,23,0,5000,500,4,0.428587,0.285705,0.007096,0.721388
0,23,1,5000,500,4,0.427222,0.287349,0.007044,0.721614
0,23,2,5000,500,4,0.429954,0.289235,0.006872,0.726061
0,23,3,5000,500,4,0.415566,0.292304,0.006912,0.714783
0,23,4,5000,500,4,0.423260,0.291681,0.006910,0.721851
0,23,5,5000,500,4,0.419999,0.288070,0.006927,0.714997
0,23,6,5000,500,4,0.422575,0.291032,0.007003,0.720610
0,23,7,5000,500,4,0.423919,0.287430,0.006897,0.718247
0,23,8,5000,500,4,0.425853,0.289769,0.006829,0.722452
0,23,9,5000,500,4,0.415928,0.292846,0.006859,0.715633
0,23,10,5000,500,4,0.420202,0.290182,0.006942,0.717326
0,23,11,5000,500,4,0.413136,0.296564,0.007099,0.716799
0,23,12,5000,500,4,0.429445,0.284400,0.007084,0.720929
0,23,13,5000,500,4,0.427792,0.289421,0.007038,0.724251
0,23,14,5000,500,4,0.416452,0.296665,0.006887,0.720003
0,23,15,5000,500,4,0.416934,0.299416,0.007000,0.723350
0,23,16,5000,500,4,0.420663,0.289466,0.007120,0.717250
0,23,17,5000,500,4,0.419755,0.295632,0.007202,0.722589
0,23,18,5000,500,4,0.430811,0.287938,0.007244,0.725992
0,23,19,5000,500,4,0.423172,0.288236,0.007226,0.718634
0,23,20,5000,500,4,0.421127,0.296643,0.007189,0.724959
0,23,21,5000,500,4,0.426200,0.287119,0.007177,0.720496
0,23,22,5000,500,4,0.421134,0.289357,0.007225,0.717716
0,23,0,5000,500,40,0.450924,0.324337,0.007106,0.782367
0,23,1,5000,500,40,0.457836,0.321881,0.006991,0.786708
0,23,2,5000,500,40,0.448785,0.329416,0.006945,0.785146
0,23,3,5000,500,40,0.450726,0.329235,0.006917,0.786877
0,23,4,5000,500,40,0.445341,0.334592,0.006909,0.786842
0,23,5,5000,500,40,0.443590,0.334034,0.006881,0.784505
0,23,6,5000,500,40,0.450979,0.324182,0.006972,0.782133
0,23,7,5000,500,40,0.451973,0.327242,0.006946,0.786160
0,23,8,5000,500,40,0.446442,0.327846,0.006863,0.781150
0,23,9,5000,500,40,0.449380,0.331136,0.006853,0.787369
0,23,10,5000,500,40,0.445145,0.329813,0.006918,0.781876
0,23,11,5000,500,40,0.445954,0.326202,0.007036,0.779192
0,23,12,5000,500,40,0.448886,0.326871,0.006956,0.782713
0,23,13,5000,500,40,0.452895,0.327077,0.006927,0.786899
0,23,14,5000,500,40,0.449906,0.320788,0.006903,0.777596
0,23,15,5000,500,40,0.445125,0.330842,0.006902,0.782868
0,23,16,5000,500,40,0.455074,0.323828,0.007001,0.785902
0,23,17,5000,500,40,0.447239,0.328144,0.007118,0.782502
0,23,18,5000,500,40,0.449012,0.326617,0.007018,0.782647
0,23,19,5000,500,40,0.448193,0.328891,0.007228,0.784312
0,23,20,5000,500,40,0.454596,0.326989,0.007122,0.788707
0,23,21,5000,500,40,0.450903,0.331035,0.007147,0.789085
0,23,22,5000,500,40,0.444496,0.329819,0.007179,0.781494
2,23,0,5000,500,40,0.466196,0.331616,0.007222,0.805034
2,23,1,5000,500,40,0.467308,0.329272,0.006926,0.803506
2,23,2,5000,500,40,0.464379,0.332890,0.006857,0.804126
2,23,3,5000,500,40,0.465049,0.331191,0.006899,0.803138
2,23,4,5000,500,40,0.462022,0.327371,0.007017,0.796410
2,23,5,5000,500,40,0.461780,0.329465,0.007008,0.798253
2,23,6,5000,500,40,0.466160,0.328162,0.007003,0.801326
2,23,7,5000,500,40,0.458169,0.337855,0.006975,0.802999
2,23,8,5000,500,40,0.455027,0.338188,0.006840,0.800055
2,23,9,5000,500,40,0.457268,0.332801,0.006943,0.797012
2,23,10,5000,500,40,0.458343,0.333341,0.006901,0.798586
2,23,11,5000,500,40,0.471183,0.321657,0.006925,0.799765
2,23,12,5000,500,40,0.454347,0.339774,0.006931,0.801051
2,23,13,5000,500,40,0.463591,0.328155,0.006917,0.798663
2,23,14,5000,500,40,0.459327,0.336281,0.006823,0.802432
2,23,15,5000,500,40,0.467108,0.327296,0.006848,0.801252
2,23,16,5000,500,40,0.464752,0.331125,0.006875,0.802752
2,23,17,5000,500,40,0.460518,0.327579,0.006973,0.795070
2,23,18,5000,500,40,0.463712,0.331589,0.007044,0.802345
2,23,19,5000,500,40,0.463772,0.337047,0.007117,0.807936
2,23,20,5000,500,40,0.460256,0.331866,0.007050,0.799172
2,23,21,5000,500,40,0.458399,0.330874,0.007132,0.796405
2,23,22,5000,500,40,0.459669,0.327658,0.007116,0.794443
1,23,0,5000,500,40,0.448530,0.368715,0.007065,0.824310
1,23,1,5000,500,40,0.447500,0.370219,0.006993,0.824711
1,23,2,5000,500,40,0.447650,0.368938,0.006891,0.823479
1,23,3,5000,500,40,0.447107,0.372512,0.006854,0.826473
1,23,4,5000,500,40,0.440241,0.369966,0.006875,0.817082
1,23,5,5000,500,40,0.442641,0.374200,0.006897,0.823739
1,23,6,5000,500,40,0.447362,0.368161,0.006978,0.822500
1,23,7,5000,500,40,0.443710,0.375117,0.006957,0.825785
1,23,8,5000,500,40,0.446899,0.369806,0.006787,0.823493
1,23,9,5000,500,40,0.440226,0.376999,0.006825,0.824050
1,23,10,5000,500,40,0.446603,0.368439,0.006885,0.821927
1,23,11,5000,500,40,0.441758,0.368943,0.007104,0.817805
1,23,12,5000,500,40,0.447380,0.366219,0.006958,0.820557
1,23,13,5000,500,40,0.446982,0.371345,0.006978,0.825305
1,23,14,5000,500,40,0.446602,0.368454,0.006893,0.821948
1,23,15,5000,500,40,0.441581,0.374580,0.006959,0.823119
1,23,16,5000,500,40,0.442217,0.374743,0.007126,0.824085
1,23,17,5000,500,40,0.436733,0.373133,0.007257,0.817123
1,23,18,5000,500,40,0.444021,0.370351,0.007253,0.821624
1,23,19,5000,500,40,0.451131,0.366380,0.007128,0.824639
1,23,20,5000,500,40,0.444058,0.370428,0.007194,0.821680
1,23,21,5000,500,40,0.442098,0.372092,0.007203,0.821393
1,23,22,5000,500,40,0.440846,0.367587,0.007253,0.815685
3,23,0,5000,500,40,0.464486,0.304093,0.007190,0.775769
3,23,1,5000,500,40,0.456783,0.317815,0.006911,0.781509
3,23,2,5000,500,40,0.455847,0.316576,0.006796,0.779219
3,23,3,5000,500,40,0.456712,0.310116,0.006813,0.773640
3,23,4,5000,500,40,0.457638,0.311212,0.006778,0.775628
3,23,5,5000,500,40,0.453439,0.312036,0.006858,0.772333
3,23,6,5000,500,40,0.451298,0.315869,0.006907,0.774075
3,23,7,5000,500,40,0.465918,0.306071,0.006797,0.778785
3,23,8,5000,500,40,0.454270,0.308206,0.006790,0.769266
3,23,9,5000,500,40,0.458209,0.309226,0.006708,0.774143
3,23,10,5000,500,40,0.455767,0.309972,0.006845,0.772583
3,23,11,5000,500,40,0.461275,0.310004,0.006918,0.778198
3,23,12,5000,500,40,0.455372,0.309351,0.006889,0.771612
3,23,13,5000,500,40,0.467944,0.304277,0.006897,0.779118
3,23,14,5000,500,40,0.447508,0.317978,0.006745,0.772231
3,23,15,5000,500,40,0.459563,0.312275,0.006889,0.778728
3,23,16,5000,500,40,0.462673,0.308351,0.007090,0.778115
3,23,17,5000,500,40,0.459282,0.310137,0.007103,0.776522
3,23,18,5000,500,40,0.453838,0.315190,0.007067,0.776096
3,23,19,5000,500,40,0.459702,0.313149,0.007064,0.779915
3,23,20,5000,500,40,0.453401,0.314176,0.007127,0.774704
3,23,21,5000,500,40,0.460539,0.308757,0.007053,0.776349
3,23,22,5000,500,40,0.454083,0.313568,0.007166,0.774817
1,23,0,5000,500,400,0.478596,0.445284,0.007018,0.930897
1,23,1,5000,500,400,0.488531,0.440320,0.006916,0.935767
1,23,2,5000,500,400,0.481505,0.437719,0.006742,0.925966
1,23,3,5000,500,400,0.471313,0.448424,0.006810,0.926548
1,23,4,5000,500,400,0.466496,0.449156,0.006828,0.922479
1,23,5,5000,500,400,0.473200,0.444558,0.006906,0.924664
1,23,6,5000,500,400,0.479467,0.448836,0.006978,0.935281
1,23,7,5000,500,400,0.474766,0.447841,0.006912,0.929518
1,23,8,5000,500,400,0.466748,0.451544,0.006805,0.925097
1,23,9,5000,500,400,0.464318,0.452799,0.006823,0.923940
1,23,10,5000,500,400,0.473338,0.443836,0.006906,0.924079
1,23,11,5000,500,400,0.473607,0.441543,0.006958,0.922107
1,23,12,5000,500,400,0.475111,0.444604,0.006925,0.926640
1,23,13,5000,500,400,0.486834,0.436315,0.006821,0.929970
1,23,14,5000,500,400,0.474769,0.444379,0.006747,0.925894
1,23,15,5000,500,400,0.471177,0.446899,0.006814,0.924890
1,23,16,5000,500,400,0.474327,0.442083,0.006986,0.923396
1,23,17,5000,500,400,0.480960,0.439311,0.007066,0.927337
1,23,18,5000,500,400,0.475454,0.452660,0.007142,0.935255
1,23,19,5000,500,400,0.480986,0.440154,0.007132,0.928272
1,23,20,5000,500,400,0.472910,0.453688,0.007144,0.933743
1,23,21,5000,500,400,0.467789,0.453877,0.007193,0.928860
1,23,22,5000,500,400,0.472278,0.449773,0.007176,0.929228
3,23,0,5000,500,400,0.522980,0.357267,0.007221,0.887467
3,23,1,5000,500,400,0.516143,0.358131,0.006963,0.881237
3,23,2,5000,500,400,0.514279,0.368719,0.006780,0.889779
3,23,3,5000,500,400,0.512425,0.362356,0.006865,0.881646
3,23,4,5000,500,400,0.518632,0.364690,0.006837,0.890159
3,23,5,5000,500,400,0.516674,0.361713,0.006884,0.885271
3,23,6,5000,500,400,0.517571,0.359835,0.006957,0.884363
3,23,7,5000,500,400,0.514534,0.364011,0.006839,0.885383
3,23,8,5000,500,400,0.514879,0.366001,0.006810,0.887691
3,23,9,5000,500,400,0.514626,0.365329,0.006877,0.886832
3,23,10,5000,500,400,0.511506,0.362597,0.006876,0.880979
3,23,11,5000,500,400,0.519087,0.357329,0.006952,0.883368
3,23,12,5000,500,400,0.509588,0.361884,0.006866,0.878338
3,23,13,5000,500,400,0.519357,0.357206,0.006879,0.883442
3,23,14,5000,500,400,0.510810,0.365090,0.006765,0.882664
3,23,15,5000,500,400,0.507983,0.366140,0.006847,0.880970
3,23,16,5000,500,400,0.509681,0.364882,0.007000,0.881563
3,23,17,5000,500,400,0.514602,0.361157,0.007015,0.882775
3,23,18,5000,500,400,0.516521,0.366851,0.007048,0.890420
3,23,19,5000,500,400,0.511438,0.367104,0.007056,0.885598
3,23,20,5000,500,400,0.516597,0.364082,0.007094,0.887773
3,23,21,5000,500,400,0.523422,0.353936,0.007009,0.884367
3,23,22,5000,500,400,0.515072,0.364469,0.007020,0.886561
0,23,0,5000,500,400,0.502763,0.373178,0.007149,0.883091
0,23,1,5000,500,400,0.504476,0.364701,0.007014,0.876191
0,23,2,5000,500,400,0.488385,0.383100,0.006902,0.878387
0,23,3,5000,500,400,0.489968,0.380724,0.006960,0.877653
0,23,4,5000,500,400,0.493417,0.378461,0.006885,0.878763
0,23,5,5000,500,400,0.490520,0.374506,0.006995,0.872022
0,23,6,5000,500,400,0.498399,0.375725,0.007036,0.881160
0,23,7,5000,500,400,0.498731,0.372247,0.006929,0.877907
0,23,8,5000,500,400,0.504356,0.367567,0.006848,0.878772
0,23,9,5000,500,400,0.495039,0.373937,0.006875,0.875852
0,23,10,5000,500,400,0.486414,0.381252,0.006940,0.874607
0,23,11,5000,500,400,0.490811,0.382934,0.007046,0.880791
0,23,12,5000,500,400,0.494968,0.377333,0.006966,0.879268
0,23,13,5000,500,400,0.492157,0.380329,0.006953,0.879438
0,23,14,5000,500,400,0.493451,0.376638,0.006963,0.877052
0,23,15,5000,500,400,0.494655,0.376020,0.006941,0.877616
0,23,16,5000,500,400,0.489355,0.381615,0.007124,0.878094
0,23,17,5000,500,400,0.489411,0.380937,0.007265,0.877612
0,23,18,5000,500,400,0.497541,0.379332,0.007254,0.884127
0,23,19,5000,500,400,0.487866,0.379831,0.007252,0.874949
0,23,20,5000,500,400,0.498057,0.373406,0.007119,0.878583
0,23,21,5000,500,400,0.492808,0.382512,0.007182,0.882502
0,23,22,5000,500,400,0.502080,0.374834,0.007260,0.884175
2,23,0,5000,500,400,0.514119,0.359587,0.007152,0.880858
2,23,1,5000,500,400,0.507450,0.374502,0.006908,0.888861
2,23,2,5000,500,400,0.512529,0.369855,0.006858,0.889241
2,23,3,5000,500,400,0.511231,0.361598,0.006889,0.879718
2,23,4,5000,500,400,0.510298,0.361362,0.006975,0.878635
2,23,5,5000,500,400,0.511070,0.365079,0.007014,0.883163
2,23,6,5000,500,400,0.513169,0.365380,0.006974,0.885523
2,23,7,5000,500,400,0.499250,0.373091,0.006816,0.879158
2,23,8,5000,500,400,0.508743,0.366432,0.006793,0.881968
2,23,9,5000,500,400,0.512835,0.366497,0.006813,0.886145
2,23,10,5000,500,400,0.502830,0.368191,0.006864,0.877884
