rank,nthreads,thread,rep,work,msg_size,post_time,wait_time,comp_time,comm_time
1,23,0,5000,500,4,0.412408,0.334030,0.007043,0.753480
1,23,1,5000,500,4,0.408245,0.341404,0.006876,0.756525
1,23,2,5000,500,4,0.415996,0.331553,0.006771,0.754320
1,23,3,5000,500,4,0.407021,0.338245,0.006811,0.752077
1,23,4,5000,500,4,0.407682,0.340731,0.006898,0.755311
1,23,5,5000,500,4,0.410098,0.333010,0.006833,0.749942
1,23,6,5000,500,4,0.409759,0.335260,0.006888,0.751907
1,23,7,5000,500,4,0.412938,0.335510,0.006917,0.755365
1,23,8,5000,500,4,0.402548,0.341711,0.006719,0.750978
1,23,9,5000,500,4,0.411132,0.334851,0.006819,0.752802
1,23,10,5000,500,4,0.405322,0.336670,0.006773,0.748765
1,23,11,5000,500,4,0.403591,0.337250,0.006953,0.747794
1,23,12,5000,500,4,0.414405,0.334117,0.006834,0.755356
1,23,13,5000,500,4,0.412905,0.332926,0.006877,0.752708
1,23,14,5000,500,4,0.407785,0.342848,0.006733,0.757366
1,23,15,5000,500,4,0.410148,0.339140,0.006795,0.756083
1,23,16,5000,500,4,0.404244,0.338810,0.006992,0.750046
1,23,17,5000,500,4,0.406161,0.335797,0.006872,0.748831
1,23,18,5000,500,4,0.413115,0.334929,0.006994,0.755038
1,23,19,5000,500,4,0.402864,0.342732,0.006894,0.752490
1,23,20,5000,500,4,0.408465,0.342294,0.007089,0.757848
1,23,21,5000,500,4,0.408748,0.336880,0.006964,0.752592
1,23,22,5000,500,4,0.407679,0.335418,0.007031,0.750128
3,23,0,5000,500,4,0.434392,0.274174,0.007120,0.715686
3,23,1,5000,500,4,0.437126,0.270755,0.006952,0.714832
3,23,2,5000,500,4,0.437871,0.269000,0.006760,0.713631
3,23,3,5000,500,4,0.429500,0.276742,0.006824,0.713066
3,23,4,5000,500,4,0.439683,0.266364,0.006811,0.712858
3,23,5,5000,500,4,0.431442,0.274107,0.006824,0.712373
3,23,6,5000,500,4,0.425152,0.273686,0.006876,0.705714
3,23,7,5000,500,4,0.426452,0.274640,0.006830,0.707923
3,23,8,5000,500,4,0.436387,0.271160,0.006728,0.714275
3,23,9,5000,500,4,0.432540,0.276026,0.006791,0.715357
3,23,10,5000,500,4,0.428862,0.272229,0.006875,0.707966
3,23,11,5000,500,4,0.430989,0.274990,0.006947,0.712925
3,23,12,5000,500,4,0.426940,0.273875,0.006869,0.707684
3,23,13,5000,500,4,0.435742,0.270586,0.006897,0.713226
3,23,14,5000,500,4,0.433489,0.277290,0.006763,0.717543
3,23,15,5000,500,4,0.432815,0.273128,0.006793,0.712736
3,23,16,5000,500,4,0.436547,0.263721,0.006853,0.707120
3,23,17,5000,500,4,0.431840,0.271151,0.006994,0.709985
3,23,18,5000,500,4,0.434004,0.271883,0.006992,0.712879
3,23,19,5000,500,4,0.429800,0.277801,0.006994,0.714594
3,23,20,5000,500,4,0.429839,0.275649,0.006988,0.712476
3,23,21,5000,500,4,0.430399,0.275162,0.006918,0.712479
3,23,22,5000,500,4,0.431729,0.273822,0.007029,0.712580
0,23,0,5000,500,4,0.418616,0.290866,0.007045,0.716527
0,23,1,5000,500,4,0.419020,0.290451,0.007026,0.716497
0,23,2,5000,500,4,0.418657,0.292285,0.006942,0.717885
0,23,3,5000,500,4,0.418035,0.290817,0.006990,0.715842
0,23,4,5000,500,4,0.415264,0.297642,0.006939,0.719845
0,23,5,5000,500,4,0.411318,0.294988,0.007006,0.713312
0,23,6,5000,500,4,0.415416,0.287637,0.006876,0.709928
0,23,7,5000,500,4,0.416512,0.286994,0.006884,0.710390
0,23,8,5000,500,4,0.416487,0.293973,0.006785,0.717245
0,23,9,5000,500,4,0.416066,0.291196,0.006782,0.714044
0,23,10,5000,500,4,0.410031,0.295056,0.006913,0.712000
0,23,11,5000,500,4,0.413071,0.294243,0.006984,0.714299
0,23,12,5000,500,4,0.419873,0.287007,0.006888,0.713768
0,23,13,5000,500,4,0.412547,0.292981,0.006877,0.712406
0,23,14,5000,500,4,0.422642,0.291363,0.006833,0.720838
0,23,15,5000,500,4,0.417122,0.296094,0.006859,0.720075
0,23,16,5000,500,4,0.414148,0.293785,0.007074,0.715007
0,23,17,5000,500,4,0.414128,0.293106,0.007282,0.714516
0,23,18,5000,500,4,0.420930,0.288702,0.007134,0.716765
0,23,19,5000,500,4,0.423581,0.286647,0.007206,0.717434
0,23,20,5000,500,4,0.424270,0.288132,0.007138,0.719539
0,23,21,5000,500,4,0.409457,0.296974,0.007184,0.713615
0,23,22,5000,500,4,0.407379,0.300117,0.007261,0.714757
2,23,0,5000,500,4,0.441336,0.272970,0.007253,0.721558
2,23,1,5000,500,4,0.430326,0.281504,0.006815,0.718644
2,23,2,5000,500,4,0.430009,0.283291,0.006939,0.720239
2,23,3,5000,500,4,0.433663,0.279066,0.006858,0.719587
2,23,4,5000,500,4,0.430234,0.283198,0.006994,0.720426
2,23,5,5000,500,4,0.428592,0.285894,0.007071,0.721558
2,23,6,5000,500,4,0.429071,0.281050,0.006925,0.717046
2,23,7,5000,500,4,0.427780,0.281383,0.006907,0.716070
2,23,8,5000,500,4,0.431698,0.280003,0.006785,0.718486
2,23,9,5000,500,4,0.434239,0.279061,0.006844,0.720144
2,23,10,5000,500,4,0.424983,0.284734,0.006932,0.716649
