rank,nthreads,thread,rep,work,msg_size,post_time,wait_time,comp_time,comm_time
0,23,0,5000,100,4,0.323468,0.130181,0.270180,0.723829
0,23,1,5000,100,4,0.323656,0.129726,0.270479,0.723861
0,23,2,5000,100,4,0.323667,0.130713,0.270241,0.724620
0,23,3,5000,100,4,0.321801,0.130262,0.270473,0.722535
0,23,4,5000,100,4,0.320553,0.131489,0.270009,0.722051
0,23,5,5000,100,4,0.319501,0.132174,0.270344,0.722018
0,23,6,5000,100,4,0.321121,0.131955,0.270585,0.723661
0,23,7,5000,100,4,0.319961,0.131152,0.270540,0.721653
0,23,8,5000,100,4,0.324995,0.129235,0.270198,0.724428
0,23,9,5000,100,4,0.321961,0.129656,0.269959,0.721577
0,23,10,5000,100,4,0.320865,0.131588,0.270204,0.722657
0,23,11,5000,100,4,0.318058,0.132475,0.270403,0.720936
0,23,12,5000,100,4,0.318063,0.132414,0.270390,0.720867
0,23,13,5000,100,4,0.318679,0.132976,0.269949,0.721604
0,23,14,5000,100,4,0.321490,0.133834,0.270091,0.725415
0,23,15,5000,100,4,0.319390,0.131884,0.269471,0.720746
0,23,16,5000,100,4,0.323564,0.130552,0.269910,0.724026
0,23,17,5000,100,4,0.320649,0.131929,0.270577,0.723155
0,23,18,5000,100,4,0.320142,0.128988,0.270279,0.719409
0,23,19,5000,100,4,0.319397,0.131281,0.270513,0.721191
0,23,20,5000,100,4,0.323366,0.126778,0.271208,0.721351
0,23,21,5000,100,4,0.319371,0.131506,0.270129,0.721006
0,23,22,5000,100,4,0.321305,0.129834,0.270413,0.721552
2,23,0,5000,100,4,0.342832,0.090564,0.272128,0.705524
2,23,1,5000,100,4,0.333695,0.096797,0.270109,0.700600
2,23,2,5000,100,4,0.335022,0.095607,0.269941,0.700570
2,23,3,5000,100,4,0.332021,0.095038,0.270558,0.697617
2,23,4,5000,100,4,0.336864,0.095493,0.269953,0.702309
2,23,5,5000,100,4,0.337098,0.095529,0.270257,0.702884
2,23,6,5000,100,4,0.332836,0.096831,0.270300,0.699967
2,23,7,5000,100,4,0.333825,0.095092,0.270526,0.699443
2,23,8,5000,100,4,0.331752,0.098305,0.270260,0.700317
2,23,9,5000,100,4,0.333957,0.094276,0.270758,0.698992
2,23,10,5000,100,4,0.335542,0.094875,0.270260,0.700677
2,23,11,5000,100,4,0.336785,0.095394,0.271066,0.703245
2,23,12,5000,100,4,0.330298,0.097223,0.270876,0.698397
2,23,13,5000,100,4,0.331089,0.095867,0.270557,0.697513
2,23,14,5000,100,4,0.334697,0.093835,0.270627,0.699159
2,23,15,5000,100,4,0.335795,0.095744,0.270737,0.702276
2,23,16,5000,100,4,0.335020,0.093758,0.271083,0.699861
2,23,17,5000,100,4,0.335462,0.093053,0.271211,0.699726
2,23,18,5000,100,4,0.336646,0.096275,0.269831,0.702752
2,23,19,5000,100,4,0.332325,0.095966,0.270982,0.699273
2,23,20,5000,100,4,0.334936,0.092913,0.271288,0.699136
2,23,21,5000,100,4,0.333960,0.093822,0.270939,0.698722
2,23,22,5000,100,4,0.338024,0.093826,0.271191,0.703040
1,23,0,5000,100,4,0.314890,0.150012,0.270347,0.735249
1,23,1,5000,100,4,0.314598,0.150325,0.270851,0.735775
1,23,2,5000,100,4,0.309972,0.153650,0.270998,0.734619
1,23,3,5000,100,4,0.311705,0.151428,0.271106,0.734239
1,23,4,5000,100,4,0.308847,0.153108,0.270704,0.732659
1,23,5,5000,100,4,0.308889,0.150577,0.270834,0.730301
1,23,6,5000,100,4,0.310198,0.151073,0.270346,0.731617
1,23,7,5000,100,4,0.308387,0.150328,0.271250,0.729965
1,23,8,5000,100,4,0.309657,0.153988,0.270836,0.734481
1,23,9,5000,100,4,0.307180,0.152568,0.271071,0.730819
1,23,10,5000,100,4,0.308511,0.151737,0.270825,0.731073
1,23,11,5000,100,4,0.310469,0.152516,0.270861,0.733846
1,23,12,5000,100,4,0.311769,0.151909,0.271093,0.734770
1,23,13,5000,100,4,0.309632,0.151514,0.270648,0.731794
1,23,14,5000,100,4,0.309666,0.154517,0.268970,0.733153
1,23,15,5000,100,4,0.308805,0.150967,0.269791,0.729563
1,23,16,5000,100,4,0.310153,0.155704,0.269635,0.735493
1,23,17,5000,100,4,0.308091,0.153670,0.270051,0.731812
1,23,18,5000,100,4,0.312975,0.149532,0.270735,0.733242
1,23,19,5000,100,4,0.314041,0.149868,0.269998,0.733907
1,23,20,5000,100,4,0.308219,0.153626,0.270145,0.731990
1,23,21,5000,100,4,0.308458,0.155220,0.269495,0.733173
1,23,22,5000,100,4,0.308281,0.154186,0.269541,0.732009
3,23,0,5000,100,4,0.330330,0.105144,0.272496,0.707969
3,23,1,5000,100,4,0.326668,0.110302,0.270747,0.707716
3,23,2,5000,100,4,0.325730,0.108406,0.270135,0.704271
3,23,3,5000,100,4,0.323303,0.110363,0.270422,0.704087
3,23,4,5000,100,4,0.319749,0.113577,0.270744,0.704070
3,23,5,5000,100,4,0.325386,0.112206,0.270386,0.707979
3,23,6,5000,100,4,0.326659,0.109222,0.269872,0.705753
3,23,7,5000,100,4,0.322222,0.111572,0.270442,0.704236
3,23,8,5000,100,4,0.322290,0.110977,0.270268,0.703536
3,23,9,5000,100,4,0.322860,0.110426,0.270486,0.703771
3,23,10,5000,100,4,0.321454,0.113863,0.270838,0.706155
3,23,11,5000,100,4,0.322372,0.114218,0.270909,0.707498
3,23,12,5000,100,4,0.320588,0.111565,0.270645,0.702798
3,23,13,5000,100,4,0.325157,0.106674,0.271002,0.702834
3,23,14,5000,100,4,0.327216,0.110826,0.270874,0.708916
3,23,15,5000,100,4,0.317254,0.114732,0.271192,0.703178
3,23,16,5000,100,4,0.322880,0.110546,0.270993,0.704419
3,23,17,5000,100,4,0.325170,0.108320,0.271732,0.705222
3,23,18,5000,100,4,0.325489,0.109306,0.271247,0.706042
3,23,19,5000,100,4,0.324816,0.108633,0.271598,0.705047
3,23,20,5000,100,4,0.323772,0.109594,0.271654,0.705019
3,23,21,5000,100,4,0.321582,0.109741,0.271320,0.702644
3,23,22,5000,100,4,0.321095,0.113600,0.271706,0.706401
0,23,0,5000,100,40,0.336369,0.115653,0.271527,0.723549
0,23,1,5000,100,40,0.331588,0.114801,0.270821,0.717209
0,23,2,5000,100,40,0.335174,0.114139,0.270711,0.720023
0,23,3,5000,100,40,0.334506,0.114902,0.270699,0.720107
0,23,4,5000,100,40,0.335202,0.113091,0.270775,0.719068
0,23,5,5000,100,40,0.334970,0.115216,0.271020,0.721207
0,23,6,5000,100,40,0.333483,0.116578,0.270804,0.720864
0,23,7,5000,100,40,0.334169,0.115344,0.270891,0.720404
0,23,8,5000,100,40,0.333715,0.115425,0.270662,0.719801
0,23,9,5000,100,40,0.329434,0.117770,0.270605,0.717809
0,23,10,5000,100,40,0.334656,0.112836,0.270806,0.718298
0,23,11,5000,100,40,0.339244,0.112682,0.270834,0.722760
0,23,12,5000,100,40,0.335002,0.114161,0.270317,0.719479
0,23,13,5000,100,40,0.336525,0.114405,0.270228,0.721158
0,23,14,5000,100,40,0.334997,0.114725,0.270783,0.720504
0,23,15,5000,100,40,0.332686,0.116143,0.270154,0.718982
0,23,16,5000,100,40,0.335512,0.115223,0.270411,0.721147
0,23,17,5000,100,40,0.338092,0.113296,0.271065,0.722454
0,23,18,5000,100,40,0.334720,0.114508,0.270976,0.720204
0,23,19,5000,100,40,0.341776,0.110910,0.271222,0.723908
0,23,20,5000,100,40,0.338321,0.112897,0.271537,0.722755
0,23,21,5000,100,40,0.330874,0.115938,0.270615,0.717426
0,23,22,5000,100,40,0.339198,0.113466,0.270551,0.723215
1,23,0,5000,100,40,0.331565,0.131997,0.270861,0.734422
1,23,1,5000,100,40,0.332706,0.126742,0.270274,0.729721
1,23,2,5000,100,40,0.327984,0.131649,0.270714,0.730347
1,23,3,5000,100,40,0.326728,0.131374,0.269799,0.727902
1,23,4,5000,100,40,0.332506,0.128554,0.270138,0.731198
1,23,5,5000,100,40,0.327654,0.129717,0.270450,0.727821
1,23,6,5000,100,40,0.333538,0.131330,0.270028,0.734896
1,23,7,5000,100,40,0.331772,0.128898,0.270875,0.731544
