rank,nthreads,thread,rep,work,msg_size,post_time,wait_time,comp_time,comm_time
1,23,0,5000,500,4,0.012398,0.208648,0.007081,0.228127
1,23,1,5000,500,4,0.012267,0.208437,0.006984,0.227687
1,23,2,5000,500,4,0.012232,0.208363,0.006824,0.227419
1,23,3,5000,500,4,0.012337,0.208482,0.006916,0.227735
1,23,4,5000,500,4,0.012469,0.207935,0.006949,0.227353
1,23,5,5000,500,4,0.012302,0.208412,0.006907,0.227621
1,23,6,5000,500,4,0.012597,0.207376,0.007004,0.226978
1,23,7,5000,500,4,0.012495,0.207590,0.007028,0.227113
1,23,8,5000,500,4,0.012367,0.208416,0.006848,0.227631
1,23,9,5000,500,4,0.012402,0.207838,0.006870,0.227110
1,23,10,5000,500,4,0.012445,0.207999,0.006946,0.227390
1,23,11,5000,500,4,0.012633,0.207543,0.006976,0.227152
1,23,12,5000,500,4,0.012705,0.208576,0.006898,0.228179
1,23,13,5000,500,4,0.012531,0.208461,0.006910,0.227903
1,23,14,5000,500,4,0.012408,0.208743,0.006887,0.228037
1,23,15,5000,500,4,0.012460,0.208287,0.006830,0.227577
1,23,16,5000,500,4,0.012640,0.208366,0.006906,0.227912
1,23,17,5000,500,4,0.012642,0.208398,0.006968,0.228008
1,23,18,5000,500,4,0.012722,0.208709,0.006994,0.228425
1,23,19,5000,500,4,0.012513,0.208162,0.006908,0.227584
1,23,20,5000,500,4,0.012551,0.208529,0.006934,0.228014
1,23,21,5000,500,4,0.012781,0.208137,0.006941,0.227859
1,23,22,5000,500,4,0.012645,0.207893,0.006931,0.227468
3,23,0,5000,500,4,0.012800,0.167677,0.007118,0.187595
3,23,1,5000,500,4,0.012692,0.167338,0.007155,0.187185
3,23,2,5000,500,4,0.012516,0.166981,0.007104,0.186602
3,23,3,5000,500,4,0.012481,0.167794,0.007138,0.187413
3,23,4,5000,500,4,0.012550,0.168486,0.007164,0.188200
3,23,5,5000,500,4,0.012651,0.167648,0.007250,0.187549
3,23,6,5000,500,4,0.012655,0.168753,0.007206,0.188614
3,23,7,5000,500,4,0.012547,0.167734,0.007194,0.187475
3,23,8,5000,500,4,0.012510,0.168140,0.007174,0.187823
3,23,9,5000,500,4,0.012452,0.167224,0.007176,0.186852
3,23,10,5000,500,4,0.012657,0.168366,0.007094,0.188117
3,23,11,5000,500,4,0.012627,0.168075,0.007182,0.187885
3,23,12,5000,500,4,0.012598,0.167822,0.007184,0.187604
3,23,13,5000,500,4,0.012708,0.167121,0.007066,0.186894
3,23,14,5000,500,4,0.012475,0.166752,0.007081,0.186309
3,23,15,5000,500,4,0.012722,0.167768,0.007038,0.187528
3,23,16,5000,500,4,0.012508,0.167254,0.007218,0.186980
3,23,17,5000,500,4,0.012533,0.167541,0.007221,0.187294
3,23,18,5000,500,4,0.012686,0.167029,0.007246,0.186961
3,23,19,5000,500,4,0.012632,0.168180,0.007234,0.188046
3,23,20,5000,500,4,0.012710,0.167801,0.007121,0.187632
3,23,21,5000,500,4,0.012491,0.167327,0.007090,0.186907
3,23,22,5000,500,4,0.012642,0.167719,0.007165,0.187527
0,23,0,5000,500,4,0.013259,0.170894,0.007467,0.191620
0,23,1,5000,500,4,0.013038,0.170729,0.007305,0.191072
0,23,2,5000,500,4,0.012925,0.170348,0.007259,0.190531
0,23,3,5000,500,4,0.012896,0.170208,0.007231,0.190334
0,23,4,5000,500,4,0.012900,0.170471,0.007271,0.190641
0,23,5,5000,500,4,0.012810,0.170688,0.007434,0.190933
0,23,6,5000,500,4,0.012768,0.170783,0.007382,0.190933
0,23,7,5000,500,4,0.012937,0.170537,0.007238,0.190712
0,23,8,5000,500,4,0.012989,0.170437,0.007178,0.190604
0,23,9,5000,500,4,0.012930,0.170242,0.007185,0.190357
0,23,10,5000,500,4,0.012969,0.171011,0.007209,0.191188
0,23,11,5000,500,4,0.012852,0.170665,0.007326,0.190843
0,23,12,5000,500,4,0.013201,0.170625,0.007326,0.191153
0,23,13,5000,500,4,0.013130,0.170379,0.007296,0.190806
0,23,14,5000,500,4,0.013044,0.169586,0.007143,0.189773
0,23,15,5000,500,4,0.013004,0.170827,0.007216,0.191046
0,23,16,5000,500,4,0.013155,0.170014,0.007198,0.190366
0,23,17,5000,500,4,0.013151,0.169628,0.007300,0.190078
0,23,18,5000,500,4,0.013326,0.169620,0.007312,0.190257
0,23,19,5000,500,4,0.013048,0.170763,0.007277,0.191088
0,23,20,5000,500,4,0.013119,0.170130,0.007254,0.190503
0,23,21,5000,500,4,0.013195,0.169615,0.007274,0.190085
0,23,22,5000,500,4,0.013085,0.170204,0.007264,0.190553
2,23,0,5000,500,4,0.012678,0.174760,0.007367,0.194805
2,23,1,5000,500,4,0.012584,0.173973,0.007224,0.193782
2,23,2,5000,500,4,0.012651,0.174494,0.007270,0.194415
2,23,3,5000,500,4,0.012582,0.175273,0.007179,0.195034
2,23,4,5000,500,4,0.012595,0.175727,0.007236,0.195558
2,23,5,5000,500,4,0.012571,0.174657,0.007283,0.194511
2,23,6,5000,500,4,0.012740,0.175335,0.007279,0.195354
2,23,7,5000,500,4,0.012699,0.174686,0.007202,0.194588
2,23,8,5000,500,4,0.012546,0.174802,0.007246,0.194594
2,23,9,5000,500,4,0.012502,0.175813,0.007225,0.195540
2,23,10,5000,500,4,0.012655,0.174461,0.007190,0.194306
2,23,11,5000,500,4,0.012728,0.175407,0.007311,0.195445
2,23,12,5000,500,4,0.012613,0.175514,0.007303,0.195430
2,23,13,5000,500,4,0.012685,0.175402,0.007243,0.195329
2,23,14,5000,500,4,0.012437,0.175638,0.007243,0.195319
2,23,15,5000,500,4,0.012634,0.175933,0.007231,0.195799
2,23,16,5000,500,4,0.012522,0.175452,0.007170,0.195144
2,23,17,5000,500,4,0.012631,0.175929,0.007249,0.195809
2,23,18,5000,500,4,0.012570,0.176565,0.007283,0.196418
2,23,19,5000,500,4,0.012702,0.175054,0.007279,0.195034
2,23,20,5000,500,4,0.012631,0.175021,0.007225,0.194877
2,23,21,5000,500,4,0.012507,0.176307,0.007264,0.196077
2,23,22,5000,500,4,0.012588,0.175290,0.007224,0.195102
1,23,0,5000,500,40,0.012922,0.245703,0.007194,0.265819
1,23,1,5000,500,40,0.012852,0.246054,0.006985,0.265891
1,23,2,5000,500,40,0.012924,0.246088,0.006873,0.265886
1,23,3,5000,500,40,0.012871,0.246390,0.006943,0.266204
1,23,4,5000,500,40,0.012967,0.245978,0.006886,0.265831
1,23,5,5000,500,40,0.012919,0.246233,0.006914,0.266067
1,23,6,5000,500,40,0.012948,0.245338,0.007055,0.265341
1,23,7,5000,500,40,0.012790,0.246003,0.007044,0.265837
1,23,8,5000,500,40,0.012826,0.245708,0.006906,0.265440
1,23,9,5000,500,40,0.012690,0.246519,0.006904,0.266114
1,23,10,5000,500,40,0.012868,0.246244,0.007001,0.266113
1,23,11,5000,500,40,0.012828,0.246073,0.007032,0.265933
1,23,12,5000,500,40,0.012955,0.246642,0.006977,0.266574
1,23,13,5000,500,40,0.012923,0.246362,0.006988,0.266273
1,23,14,5000,500,40,0.012799,0.247288,0.006922,0.267010
1,23,15,5000,500,40,0.012852,0.246402,0.006921,0.266175
1,23,16,5000,500,40,0.012933,0.247104,0.006938,0.266974
1,23,17,5000,500,40,0.012940,0.246640,0.006980,0.266560
1,23,18,5000,500,40,0.013107,0.246382,0.007050,0.266539
1,23,19,5000,500,40,0.012883,0.245643,0.006940,0.265466
1,23,20,5000,500,40,0.012669,0.246546,0.006987,0.266202
1,23,21,5000,500,40,0.012779,0.246325,0.006975,0.266079
1,23,22,5000,500,40,0.012833,0.246836,0.006891,0.266561
3,23,0,5000,500,40,0.012795,0.203153,0.007365,0.223314
3,23,1,5000,500,40,0.012746,0.200440,0.007469,0.220656
3,23,2,5000,500,40,0.012808,0.202299,0.007279,0.222386
3,23,3,5000,500,40,0.012500,0.201373,0.007324,0.221198
3,23,4,5000,500,40,0.012562,0.202968,0.007394,0.222924
3,23,5,5000,500,40,0.012736,0.202905,0.007418,0.223059
3,23,6,5000,500,40,0.012808,0.202538,0.007443,0.222788
3,23,7,5000,500,40,0.012636,0.202559,0.007397,0.222592
3,23,8,5000,500,40,0.012682,0.202817,0.007340,0.222839
3,23,9,5000,500,40,0.012626,0.201092,0.007275,0.220993
3,23,10,5000,500,40,0.012683,0.202308,0.007371,0.222362
3,23,11,5000,500,40,0.012768,0.201602,0.007390,0.221760
3,23,12,5000,500,40,0.012755,0.202848,0.007475,0.223078
3,23,13,5000,500,40,0.012711,0.202648,0.007359,0.222719
3,23,14,5000,500,40,0.012550,0.202650,0.007365,0.222564
3,23,15,5000,500,40,0.012609,0.203311,0.007343,0.223264
3,23,16,5000,500,40,0.012847,0.202494,0.007365,0.222705
3,23,17,5000,500,40,0.012621,0.203169,0.007408,0.223198
3,23,18,5000,500,40,0.012749,0.203254,0.007532,0.223534
