rank,nthreads,thread,rep,work,msg_size,post_time,wait_time,comp_time,comm_time
3,23,0,5000,100,4,0.013712,0.064886,0.271397,0.349995
3,23,1,5000,100,4,0.013126,0.063336,0.270294,0.346756
3,23,2,5000,100,4,0.013122,0.063023,0.270389,0.346535
3,23,3,5000,100,4,0.013099,0.062673,0.270547,0.346319
3,23,4,5000,100,4,0.012971,0.063105,0.270478,0.346554
3,23,5,5000,100,4,0.013060,0.063270,0.270393,0.346722
3,23,6,5000,100,4,0.013242,0.062476,0.270584,0.346302
3,23,7,5000,100,4,0.013071,0.063272,0.270430,0.346773
3,23,8,5000,100,4,0.013121,0.062771,0.270870,0.346762
3,23,9,5000,100,4,0.013049,0.062913,0.270390,0.346351
3,23,10,5000,100,4,0.013050,0.063021,0.270762,0.346833
3,23,11,5000,100,4,0.013223,0.063056,0.270748,0.347027
3,23,12,5000,100,4,0.013340,0.062728,0.270742,0.346810
3,23,13,5000,100,4,0.013383,0.062823,0.270435,0.346641
3,23,14,5000,100,4,0.013379,0.062576,0.270452,0.346407
3,23,15,5000,100,4,0.013368,0.062960,0.270364,0.346692
3,23,16,5000,100,4,0.013420,0.063580,0.270674,0.347674
3,23,17,5000,100,4,0.013586,0.063329,0.270914,0.347829
3,23,18,5000,100,4,0.013559,0.063443,0.270705,0.347707
3,23,19,5000,100,4,0.013519,0.063013,0.270683,0.347215
3,23,20,5000,100,4,0.013433,0.063116,0.270457,0.347005
3,23,21,5000,100,4,0.013452,0.063439,0.270266,0.347157
3,23,22,5000,100,4,0.013527,0.063159,0.270632,0.347318
1,23,0,5000,100,4,0.012721,0.064513,0.270139,0.347374
1,23,1,5000,100,4,0.012561,0.064021,0.270196,0.346778
1,23,2,5000,100,4,0.012646,0.062525,0.270267,0.345439
1,23,3,5000,100,4,0.012631,0.063791,0.270279,0.346702
1,23,4,5000,100,4,0.012695,0.063173,0.270469,0.346337
1,23,5,5000,100,4,0.012692,0.063304,0.270314,0.346311
1,23,6,5000,100,4,0.012602,0.063676,0.270196,0.346475
1,23,7,5000,100,4,0.012681,0.062947,0.270337,0.345965
1,23,8,5000,100,4,0.012734,0.063535,0.271124,0.347392
1,23,9,5000,100,4,0.012597,0.062883,0.270228,0.345707
1,23,10,5000,100,4,0.012614,0.064154,0.270391,0.347158
1,23,11,5000,100,4,0.012698,0.063600,0.270573,0.346871
1,23,12,5000,100,4,0.012709,0.063947,0.270297,0.346953
1,23,13,5000,100,4,0.012648,0.063436,0.270063,0.346147
1,23,14,5000,100,4,0.012676,0.063394,0.270372,0.346442
1,23,15,5000,100,4,0.012693,0.062968,0.270225,0.345886
1,23,16,5000,100,4,0.012686,0.063879,0.270390,0.346956
1,23,17,5000,100,4,0.012701,0.063888,0.270626,0.347215
1,23,18,5000,100,4,0.012705,0.063743,0.270977,0.347425
1,23,19,5000,100,4,0.012665,0.063256,0.270224,0.346145
1,23,20,5000,100,4,0.012704,0.063756,0.270470,0.346930
1,23,21,5000,100,4,0.012615,0.063342,0.270311,0.346267
1,23,22,5000,100,4,0.012766,0.063928,0.270403,0.347098
2,23,0,5000,100,4,0.012801,0.075408,0.271473,0.359682
2,23,1,5000,100,4,0.012774,0.074220,0.270414,0.357408
2,23,2,5000,100,4,0.012568,0.073955,0.270604,0.357127
2,23,3,5000,100,4,0.012482,0.074524,0.270377,0.357383
2,23,4,5000,100,4,0.012531,0.074875,0.270119,0.357525
2,23,5,5000,100,4,0.012869,0.075535,0.270610,0.359013
2,23,6,5000,100,4,0.012589,0.075017,0.270538,0.358145
2,23,7,5000,100,4,0.012760,0.074430,0.270519,0.357709
2,23,8,5000,100,4,0.012408,0.073777,0.270227,0.356412
2,23,9,5000,100,4,0.012415,0.075102,0.270341,0.357859
2,23,10,5000,100,4,0.012728,0.074597,0.270257,0.357581
2,23,11,5000,100,4,0.012538,0.074802,0.270302,0.357641
2,23,12,5000,100,4,0.012657,0.074672,0.270593,0.357921
2,23,13,5000,100,4,0.012502,0.073991,0.270358,0.356851
2,23,14,5000,100,4,0.012636,0.073858,0.270334,0.356828
2,23,15,5000,100,4,0.012520,0.074628,0.270620,0.357767
2,23,16,5000,100,4,0.012657,0.074882,0.270350,0.357889
2,23,17,5000,100,4,0.012611,0.074279,0.270114,0.357003
2,23,18,5000,100,4,0.012500,0.074834,0.270545,0.357879
2,23,19,5000,100,4,0.012511,0.074657,0.270424,0.357592
2,23,20,5000,100,4,0.012492,0.074120,0.270414,0.357027
2,23,21,5000,100,4,0.012505,0.074451,0.270396,0.357352
2,23,22,5000,100,4,0.012549,0.075236,0.270325,0.358110
0,23,0,5000,100,4,0.013215,0.071454,0.270403,0.355072
0,23,1,5000,100,4,0.013094,0.070558,0.270346,0.353998
0,23,2,5000,100,4,0.013067,0.069791,0.270395,0.353253
0,23,3,5000,100,4,0.012968,0.069305,0.270376,0.352649
0,23,4,5000,100,4,0.013012,0.069471,0.270306,0.352789
0,23,5,5000,100,4,0.013021,0.070001,0.270301,0.353323
0,23,6,5000,100,4,0.013034,0.070369,0.270449,0.353851
0,23,7,5000,100,4,0.013032,0.070383,0.270546,0.353960
0,23,8,5000,100,4,0.013008,0.069049,0.270397,0.352454
0,23,9,5000,100,4,0.013090,0.068959,0.270484,0.352532
0,23,10,5000,100,4,0.012995,0.069376,0.270463,0.352834
0,23,11,5000,100,4,0.013105,0.069757,0.270377,0.353239
0,23,12,5000,100,4,0.013572,0.070999,0.270449,0.355020
0,23,13,5000,100,4,0.013480,0.071107,0.271141,0.355728
0,23,14,5000,100,4,0.013427,0.070036,0.270563,0.354026
0,23,15,5000,100,4,0.013370,0.069706,0.270336,0.353412
0,23,16,5000,100,4,0.013590,0.071579,0.270578,0.355746
0,23,17,5000,100,4,0.013634,0.071327,0.270722,0.355684
0,23,18,5000,100,4,0.013492,0.071426,0.270671,0.355589
0,23,19,5000,100,4,0.013548,0.071136,0.270657,0.355341
0,23,20,5000,100,4,0.013477,0.071231,0.270855,0.355563
0,23,21,5000,100,4,0.013399,0.070602,0.270525,0.354526
0,23,22,5000,100,4,0.013470,0.071151,0.270805,0.355426
3,23,0,5000,100,40,0.012984,0.068862,0.271614,0.353461
3,23,1,5000,100,40,0.012634,0.067714,0.270165,0.350513
3,23,2,5000,100,40,0.012519,0.067009,0.270094,0.349623
3,23,3,5000,100,40,0.012376,0.066701,0.269970,0.349046
3,23,4,5000,100,40,0.012547,0.067157,0.270519,0.350223
3,23,5,5000,100,40,0.012653,0.068777,0.270461,0.351890
3,23,6,5000,100,40,0.012589,0.068233,0.270398,0.351220
3,23,7,5000,100,40,0.012475,0.067267,0.270205,0.349948
3,23,8,5000,100,40,0.012493,0.067400,0.270718,0.350610
3,23,9,5000,100,40,0.012534,0.066712,0.270310,0.349556
3,23,10,5000,100,40,0.012650,0.067342,0.270394,0.350386
3,23,11,5000,100,40,0.012514,0.067511,0.270387,0.350411
3,23,12,5000,100,40,0.012553,0.067535,0.270415,0.350503
3,23,13,5000,100,40,0.012500,0.067225,0.270098,0.349823
3,23,14,5000,100,40,0.012482,0.067319,0.270146,0.349947
3,23,15,5000,100,40,0.012480,0.066456,0.270192,0.349128
3,23,16,5000,100,40,0.012374,0.066963,0.270792,0.350130
3,23,17,5000,100,40,0.012601,0.067671,0.270681,0.350952
3,23,18,5000,100,40,0.012627,0.067873,0.270698,0.351197
3,23,19,5000,100,40,0.012561,0.068665,0.270398,0.351623
3,23,20,5000,100,40,0.012547,0.067842,0.270361,0.350750
3,23,21,5000,100,40,0.012467,0.066790,0.270106,0.349364
3,23,22,5000,100,40,0.012614,0.067804,0.270413,0.350831
2,23,0,5000,100,40,0.012920,0.069997,0.271401,0.354318
2,23,1,5000,100,40,0.012487,0.069148,0.269988,0.351623
2,23,2,5000,100,40,0.012463,0.068678,0.270040,0.351181
2,23,3,5000,100,40,0.012434,0.069228,0.270123,0.351786
2,23,4,5000,100,40,0.012476,0.068586,0.270491,0.351553
2,23,5,5000,100,40,0.012672,0.068907,0.270661,0.352239
2,23,6,5000,100,40,0.012648,0.069382,0.270498,0.352527
2,23,7,5000,100,40,0.012450,0.068537,0.270623,0.351609
2,23,8,5000,100,40,0.012398,0.069067,0.270146,0.351612
2,23,9,5000,100,40,0.012445,0.068983,0.270580,0.352007
2,23,10,5000,100,40,0.012359,0.068741,0.270219,0.351319
2,23,11,5000,100,40,0.012362,0.068293,0.270338,0.350993
2,23,12,5000,100,40,0.012435,0.068533,0.270400,0.351367
2,23,13,5000,100,40,0.012501,0.068504,0.270169,0.351174
2,23,14,5000,100,40,0.012344,0.068850,0.270467,0.351661
2,23,15,5000,100,40,0.012380,0.069003,0.270714,0.352097
2,23,16,5000,100,40,0.012337,0.068301,0.270403,0.351040
2,23,17,5000,100,40,0.012451,0.069154,0.270585,0.352190
2,23,18,5000,100,40,0.012599,0.069334,0.270331,0.352264
2,23,19,5000,100,40,0.012601,0.069263,0.270513,0.352377
2,23,20,5000,100,40,0.012411,0.068710,0.270064,0.351185
2,23,21,5000,100,40,0.012380,0.068094,0.270229,0.350703
2,23,22,5000,100,40,0.012430,0.069277,0.270340,0.352047
0,23,0,5000,100,40,0.012805,0.067645,0.270157,0.350606
0,23,1,5000,100,40,0.012689,0.065959,0.270359,0.349007
0,23,2,5000,100,40,0.012590,0.065387,0.270388,0.348365
0,23,3,5000,100,40,0.012769,0.065643,0.270424,0.348836
0,23,4,5000,100,40,0.012646,0.065148,0.270448,0.348241
0,23,5,5000,100,40,0.012703,0.066228,0.270787,0.349718
0,23,6,5000,100,40,0.012654,0.065884,0.270479,0.349017
0,23,7,5000,100,40,0.012713,0.065278,0.270478,0.348469
0,23,8,5000,100,40,0.012654,0.065404,0.270333,0.348392
0,23,9,5000,100,40,0.012687,0.065835,0.270523,0.349045
0,23,10,5000,100,40,0.012776,0.066964,0.270838,0.350578
0,23,11,5000,100,40,0.012763,0.066175,0.270754,0.349692
0,23,12,5000,100,40,0.012756,0.065668,0.270363,0.348786
0,23,13,5000,100,40,0.012722,0.066035,0.271011,0.349768
0,23,14,5000,100,40,0.012669,0.065570,0.270372,0.348611
0,23,15,5000,100,40,0.012665,0.064765,0.270307,0.347737
0,23,16,5000,100,40,0.012740,0.065890,0.270568,0.349198
0,23,17,5000,100,40,0.012805,0.066439,0.270592,0.349836
0,23,18,5000,100,40,0.012689,0.066015,0.270579,0.349283
0,23,19,5000,100,40,0.012788,0.065672,0.270351,0.348810
0,23,20,5000,100,40,0.012580,0.065637,0.270554,0.348770
0,23,21,5000,100,40,0.012692,0.065293,0.270438,0.348423
0,23,22,5000,100,40,0.012714,0.065866,0.270703,0.349283
1,23,0,5000,100,40,0.012651,0.068531,0.269921,0.351103
1,23,1,5000,100,40,0.012531,0.067405,0.270031,0.349966
1,23,2,5000,100,40,0.012537,0.066215,0.270100,0.348851
1,23,3,5000,100,40,0.012542,0.067129,0.270098,0.349769
1,23,4,5000,100,40,0.012609,0.067447,0.269799,0.349855
1,23,5,5000,100,40,0.012762,0.066889,0.270416,0.350066
1,23,6,5000,100,40,0.012696,0.067340,0.270095,0.350131
1,23,7,5000,100,40,0.012586,0.066553,0.269830,0.348969
1,23,8,5000,100,40,0.012698,0.067746,0.270829,0.351273
1,23,9,5000,100,40,0.012584,0.067462,0.269945,0.349991
1,23,10,5000,100,40,0.012575,0.066801,0.269898,0.349274
1,23,11,5000,100,40,0.012657,0.066717,0.270257,0.349632
1,23,12,5000,100,40,0.012485,0.067155,0.269830,0.349470
1,23,13,5000,100,40,0.012518,0.067120,0.269801,0.349439
1,23,14,5000,100,40,0.012714,0.066941,0.270270,0.349924
1,23,15,5000,100,40,0.012555,0.066719,0.269785,0.349059
1,23,16,5000,100,40,0.012603,0.067072,0.270080,0.349756
