rank,nthreads,thread,rep,work,msg_size,post_time,wait_time,comp_time,comm_time
1,23,0,5000,500,4,0.362632,0.413226,0.007720,0.783578
1,23,1,5000,500,4,0.434836,0.377401,0.006623,0.818859
1,23,2,5000,500,4,0.434040,0.377493,0.006636,0.818169
1,23,3,5000,500,4,0.437276,0.373825,0.006635,0.817735
1,23,4,5000,500,4,0.428781,0.374044,0.006631,0.809456
1,23,5,5000,500,4,0.428475,0.373510,0.006714,0.808699
1,23,6,5000,500,4,0.431213,0.378429,0.006737,0.816379
1,23,7,5000,500,4,0.430797,0.378931,0.006767,0.816495
1,23,8,5000,500,4,0.435431,0.373124,0.006607,0.815162
1,23,9,5000,500,4,0.432788,0.377133,0.006498,0.816419
1,23,10,5000,500,4,0.429629,0.376650,0.006608,0.812887
1,23,11,5000,500,4,0.427246,0.375158,0.006732,0.809136
1,23,12,5000,500,4,0.438079,0.372619,0.006690,0.817388
1,23,13,5000,500,4,0.432071,0.374746,0.006639,0.813456
1,23,14,5000,500,4,0.440633,0.370618,0.006556,0.817808
1,23,15,5000,500,4,0.433147,0.379095,0.006597,0.818839
1,23,16,5000,500,4,0.430001,0.380373,0.006726,0.817100
1,23,17,5000,500,4,0.428764,0.375166,0.006759,0.810688
1,23,18,5000,500,4,0.434066,0.374055,0.006758,0.814879
1,23,19,5000,500,4,0.433840,0.378949,0.006744,0.819534
1,23,20,5000,500,4,0.433968,0.374724,0.006837,0.815529
1,23,21,5000,500,4,0.437460,0.374420,0.006878,0.818758
1,23,22,5000,500,4,0.436117,0.376916,0.006795,0.819828
3,23,0,5000,500,4,0.427071,0.301827,0.007956,0.736854
3,23,1,5000,500,4,0.493021,0.263297,0.006911,0.763229
3,23,2,5000,500,4,0.490080,0.266368,0.006770,0.763218
3,23,3,5000,500,4,0.487454,0.263860,0.006879,0.758192
3,23,4,5000,500,4,0.488597,0.264840,0.006850,0.760288
3,23,5,5000,500,4,0.492983,0.256663,0.006907,0.756553
3,23,6,5000,500,4,0.485822,0.264332,0.006925,0.757079
3,23,7,5000,500,4,0.485672,0.268439,0.006882,0.760993
3,23,8,5000,500,4,0.489902,0.260745,0.006771,0.757419
3,23,9,5000,500,4,0.494935,0.259649,0.006771,0.761354
3,23,10,5000,500,4,0.486277,0.264899,0.006845,0.758021
3,23,11,5000,500,4,0.489568,0.258953,0.006902,0.755423
3,23,12,5000,500,4,0.494239,0.263015,0.006926,0.764180
3,23,13,5000,500,4,0.489067,0.265979,0.006890,0.761936
3,23,14,5000,500,4,0.483070,0.270629,0.006733,0.760432
3,23,15,5000,500,4,0.493434,0.257122,0.006809,0.757364
3,23,16,5000,500,4,0.486758,0.266862,0.006927,0.760547
3,23,17,5000,500,4,0.486001,0.268478,0.006986,0.761464
3,23,18,5000,500,4,0.487476,0.264178,0.006999,0.758652
3,23,19,5000,500,4,0.484274,0.267875,0.006956,0.759105
3,23,20,5000,500,4,0.484762,0.264945,0.006939,0.756646
3,23,21,5000,500,4,0.491806,0.263564,0.007030,0.762400
3,23,22,5000,500,4,0.487409,0.265868,0.007060,0.760337
2,23,0,5000,500,4,0.387005,0.380794,0.007854,0.775652
2,23,1,5000,500,4,0.467569,0.325549,0.006677,0.799795
2,23,2,5000,500,4,0.473777,0.322947,0.006685,0.803409
2,23,3,5000,500,4,0.469471,0.325804,0.006534,0.801809
2,23,4,5000,500,4,0.468771,0.323689,0.006759,0.799218
2,23,5,5000,500,4,0.470390,0.325122,0.006804,0.802315
2,23,6,5000,500,4,0.470632,0.323036,0.006819,0.800487
2,23,7,5000,500,4,0.466657,0.328954,0.006692,0.802302
2,23,8,5000,500,4,0.463189,0.326656,0.006611,0.796455
2,23,9,5000,500,4,0.466964,0.323296,0.006487,0.796747
2,23,10,5000,500,4,0.471998,0.319541,0.006609,0.798148
2,23,11,5000,500,4,0.470913,0.319928,0.006712,0.797553
2,23,12,5000,500,4,0.471274,0.325003,0.006717,0.802995
2,23,13,5000,500,4,0.464343,0.331508,0.006627,0.802478
2,23,14,5000,500,4,0.471870,0.327966,0.006576,0.806412
2,23,15,5000,500,4,0.471235,0.326072,0.006650,0.803957
2,23,16,5000,500,4,0.470391,0.323980,0.006695,0.801067
2,23,17,5000,500,4,0.464569,0.329626,0.006797,0.800991
2,23,18,5000,500,4,0.465282,0.326850,0.006876,0.799008
2,23,19,5000,500,4,0.473315,0.325641,0.006893,0.805849
2,23,20,5000,500,4,0.472489,0.321606,0.006746,0.800840
2,23,21,5000,500,4,0.469726,0.329384,0.006839,0.805949
2,23,22,5000,500,4,0.468866,0.328928,0.006968,0.804762
0,23,0,5000,500,4,0.371786,0.376126,0.007699,0.755611
0,23,1,5000,500,4,0.445122,0.334367,0.006664,0.786153
0,23,2,5000,500,4,0.436192,0.343425,0.006660,0.786277
0,23,3,5000,500,4,0.433729,0.340076,0.006614,0.780419
0,23,4,5000,500,4,0.434041,0.338976,0.006702,0.779720
0,23,5,5000,500,4,0.427246,0.346671,0.006742,0.780659
0,23,6,5000,500,4,0.435849,0.338054,0.006760,0.780663
0,23,7,5000,500,4,0.435212,0.337420,0.006582,0.779213
0,23,8,5000,500,4,0.436142,0.338941,0.006569,0.781652
0,23,9,5000,500,4,0.433013,0.341533,0.006529,0.781076
0,23,10,5000,500,4,0.434355,0.336039,0.006606,0.776999
0,23,11,5000,500,4,0.433921,0.338262,0.006740,0.778924
0,23,12,5000,500,4,0.438838,0.337767,0.006674,0.783280
0,23,13,5000,500,4,0.435364,0.338316,0.006680,0.780360
0,23,14,5000,500,4,0.437513,0.334298,0.006647,0.778458
0,23,15,5000,500,4,0.435637,0.337952,0.006644,0.780233
0,23,16,5000,500,4,0.440000,0.333212,0.006808,0.780020
0,23,17,5000,500,4,0.433187,0.338518,0.006868,0.778574
0,23,18,5000,500,4,0.438428,0.339165,0.006919,0.784511
0,23,19,5000,500,4,0.438559,0.337793,0.006912,0.783263
0,23,20,5000,500,4,0.433354,0.335986,0.006857,0.776198
0,23,21,5000,500,4,0.439171,0.335686,0.006986,0.781842
0,23,22,5000,500,4,0.441572,0.332611,0.006902,0.781085
1,23,0,5000,500,40,0.388290,0.475191,0.007686,0.871166
1,23,1,5000,500,40,0.459782,0.439671,0.006805,0.906258
1,23,2,5000,500,40,0.466788,0.436858,0.006628,0.910274
1,23,3,5000,500,40,0.461089,0.435815,0.006628,0.903532
1,23,4,5000,500,40,0.462589,0.442562,0.006731,0.911882
1,23,5,5000,500,40,0.458035,0.438380,0.006710,0.903124
1,23,6,5000,500,40,0.463196,0.428910,0.006815,0.898921
1,23,7,5000,500,40,0.461917,0.436948,0.006740,0.905605
1,23,8,5000,500,40,0.465973,0.434509,0.006610,0.907092
1,23,9,5000,500,40,0.456360,0.440283,0.006603,0.903246
1,23,10,5000,500,40,0.460897,0.435736,0.006688,0.903321
1,23,11,5000,500,40,0.454663,0.437645,0.006769,0.899077
1,23,12,5000,500,40,0.465876,0.432833,0.006710,0.905419
1,23,13,5000,500,40,0.463289,0.434950,0.006762,0.905001
1,23,14,5000,500,40,0.469835,0.426669,0.006618,0.903122
1,23,15,5000,500,40,0.460831,0.442853,0.006691,0.910375
1,23,16,5000,500,40,0.458295,0.438161,0.006808,0.903264
1,23,17,5000,500,40,0.453711,0.445812,0.006832,0.906355
1,23,18,5000,500,40,0.468815,0.431266,0.006822,0.906903
1,23,19,5000,500,40,0.463502,0.435918,0.006870,0.906290
1,23,20,5000,500,40,0.462273,0.438224,0.006876,0.907372
1,23,21,5000,500,40,0.455455,0.443313,0.006875,0.905644
1,23,22,5000,500,40,0.457474,0.446672,0.006938,0.911084
3,23,0,5000,500,40,0.463473,0.363910,0.007856,0.835239
3,23,1,5000,500,40,0.526405,0.332472,0.007023,0.865900
3,23,2,5000,500,40,0.537314,0.332636,0.006944,0.876894
3,23,3,5000,500,40,0.532039,0.329817,0.006893,0.868750
3,23,4,5000,500,40,0.531138,0.328815,0.006823,0.866776
3,23,5,5000,500,40,0.523182,0.336605,0.007037,0.866825
3,23,6,5000,500,40,0.531298,0.329699,0.007017,0.868015
3,23,7,5000,500,40,0.538828,0.326751,0.006925,0.872504
3,23,8,5000,500,40,0.528171,0.330481,0.006790,0.865442
3,23,9,5000,500,40,0.539829,0.329502,0.006840,0.876172
3,23,10,5000,500,40,0.526038,0.329373,0.006935,0.862346
3,23,11,5000,500,40,0.531983,0.330177,0.006967,0.869127
3,23,12,5000,500,40,0.528693,0.332329,0.006992,0.868015
3,23,13,5000,500,40,0.528931,0.331284,0.006932,0.867146
3,23,14,5000,500,40,0.527836,0.333827,0.006766,0.868429
3,23,15,5000,500,40,0.524370,0.339031,0.006879,0.870280
3,23,16,5000,500,40,0.528676,0.333477,0.006943,0.869096
3,23,17,5000,500,40,0.521941,0.332806,0.007102,0.861849
3,23,18,5000,500,40,0.537218,0.326580,0.007146,0.870944
3,23,19,5000,500,40,0.528285,0.331975,0.007077,0.867337
3,23,20,5000,500,40,0.528231,0.334073,0.007195,0.869498
3,23,21,5000,500,40,0.527666,0.335719,0.007014,0.870400
3,23,22,5000,500,40,0.526013,0.329884,0.007189,0.863087
2,23,0,5000,500,40,0.453033,0.390800,0.007971,0.851805
2,23,1,5000,500,40,0.515035,0.359149,0.006953,0.881136
2,23,2,5000,500,40,0.516640,0.361981,0.006965,0.885587
2,23,3,5000,500,40,0.510967,0.365580,0.006796,0.883343
2,23,4,5000,500,40,0.519523,0.361531,0.006953,0.888006
2,23,5,5000,500,40,0.520708,0.352327,0.007054,0.880090
2,23,6,5000,500,40,0.518949,0.353471,0.007085,0.879504
2,23,7,5000,500,40,0.527000,0.349890,0.006958,0.883848
2,23,8,5000,500,40,0.514975,0.358273,0.006835,0.880083
2,23,9,5000,500,40,0.519676,0.355495,0.006805,0.881976
2,23,10,5000,500,40,0.514488,0.354789,0.006933,0.876210
2,23,11,5000,500,40,0.519400,0.351853,0.006975,0.878228
2,23,12,5000,500,40,0.523135,0.357865,0.007019,0.888018
2,23,13,5000,500,40,0.521947,0.355998,0.007011,0.884956
2,23,14,5000,500,40,0.524518,0.355425,0.006846,0.886789
2,23,15,5000,500,40,0.522084,0.354096,0.006974,0.883154
2,23,16,5000,500,40,0.519806,0.348583,0.007014,0.875404
2,23,17,5000,500,40,0.516070,0.350890,0.007170,0.874131
2,23,18,5000,500,40,0.517890,0.362003,0.007140,0.887033
2,23,19,5000,500,40,0.518104,0.358207,0.007229,0.883540
2,23,20,5000,500,40,0.522867,0.354650,0.007078,0.884596
2,23,21,5000,500,40,0.519797,0.350943,0.007147,0.877887
2,23,22,5000,500,40,0.509641,0.359143,0.007227,0.876011
0,23,0,5000,500,40,0.412336,0.412258,0.007824,0.832417
0,23,1,5000,500,40,0.489548,0.368568,0.007070,0.865187
0,23,2,5000,500,40,0.492357,0.376841,0.007011,0.876209
0,23,3,5000,500,40,0.487379,0.375235,0.006965,0.869578
0,23,4,5000,500,40,0.494845,0.368286,0.006965,0.870096
0,23,5,5000,500,40,0.484469,0.373586,0.007031,0.865086
0,23,6,5000,500,40,0.486789,0.372114,0.007077,0.865980
0,23,7,5000,500,40,0.486992,0.374702,0.006951,0.868645
0,23,8,5000,500,40,0.486505,0.369998,0.006912,0.863415
0,23,9,5000,500,40,0.489089,0.377685,0.006924,0.873698
0,23,10,5000,500,40,0.491403,0.364408,0.006973,0.862785
0,23,11,5000,500,40,0.487909,0.369457,0.007063,0.864429
0,23,12,5000,500,40,0.487118,0.373341,0.007087,0.867546
0,23,13,5000,500,40,0.484988,0.374767,0.007068,0.866822
0,23,14,5000,500,40,0.483889,0.373100,0.007035,0.864024
0,23,15,5000,500,40,0.497023,0.364131,0.007131,0.868285
0,23,16,5000,500,40,0.487008,0.373948,0.007240,0.868197
0,23,17,5000,500,40,0.490416,0.364600,0.007448,0.862463
