rank,nthreads,thread,rep,work,msg_size,post_time,wait_time,comp_time,comm_time
2,23,0,5000,100,4,0.324979,0.182669,0.278202,0.785849
2,23,1,5000,100,4,0.374049,0.157434,0.270519,0.802003
2,23,2,5000,100,4,0.371855,0.158139,0.270399,0.800393
2,23,3,5000,100,4,0.371260,0.157546,0.270571,0.799376
2,23,4,5000,100,4,0.372614,0.156357,0.270424,0.799395
2,23,5,5000,100,4,0.371792,0.155509,0.270146,0.797448
2,23,6,5000,100,4,0.373349,0.153103,0.271106,0.797558
2,23,7,5000,100,4,0.374211,0.157898,0.270323,0.802432
2,23,8,5000,100,4,0.372510,0.155852,0.270423,0.798785
2,23,9,5000,100,4,0.371585,0.156170,0.270422,0.798177
2,23,10,5000,100,4,0.369908,0.157276,0.270238,0.797422
2,23,11,5000,100,4,0.370841,0.157817,0.271454,0.800112
2,23,12,5000,100,4,0.370715,0.157162,0.269696,0.797573
2,23,13,5000,100,4,0.373758,0.154588,0.270333,0.798678
2,23,14,5000,100,4,0.371328,0.157780,0.270482,0.799590
2,23,15,5000,100,4,0.368793,0.157440,0.271463,0.797695
2,23,16,5000,100,4,0.371390,0.156532,0.270475,0.798398
2,23,17,5000,100,4,0.372209,0.156588,0.270940,0.799736
2,23,18,5000,100,4,0.372137,0.158094,0.270404,0.800634
2,23,19,5000,100,4,0.371282,0.155335,0.270769,0.797386
2,23,20,5000,100,4,0.372954,0.156401,0.270801,0.800156
2,23,21,5000,100,4,0.375756,0.155287,0.270519,0.801563
2,23,22,5000,100,4,0.367703,0.157402,0.270795,0.795901
0,23,0,5000,100,4,0.296494,0.239932,0.276952,0.813379
0,23,1,5000,100,4,0.339126,0.229381,0.270534,0.839040
0,23,2,5000,100,4,0.341353,0.225138,0.270325,0.836816
0,23,3,5000,100,4,0.339843,0.223248,0.270525,0.833616
0,23,4,5000,100,4,0.337694,0.228848,0.269697,0.836239
0,23,5,5000,100,4,0.340557,0.225579,0.270244,0.836380
0,23,6,5000,100,4,0.342383,0.226938,0.270506,0.839827
0,23,7,5000,100,4,0.341375,0.225941,0.270996,0.838312
0,23,8,5000,100,4,0.337567,0.225346,0.269987,0.832900
0,23,9,5000,100,4,0.338254,0.226416,0.269870,0.834540
0,23,10,5000,100,4,0.342449,0.225953,0.270496,0.838898
0,23,11,5000,100,4,0.338028,0.225802,0.269828,0.833659
0,23,12,5000,100,4,0.340010,0.226620,0.270278,0.836907
0,23,13,5000,100,4,0.339073,0.224989,0.270407,0.834469
0,23,14,5000,100,4,0.335965,0.228281,0.270671,0.834918
0,23,15,5000,100,4,0.336460,0.228574,0.271233,0.836267
0,23,16,5000,100,4,0.340029,0.225314,0.270113,0.835456
0,23,17,5000,100,4,0.340625,0.226249,0.270562,0.837435
0,23,18,5000,100,4,0.339257,0.230204,0.269810,0.839270
0,23,19,5000,100,4,0.342077,0.224400,0.270490,0.836967
0,23,20,5000,100,4,0.339144,0.226525,0.270526,0.836195
0,23,21,5000,100,4,0.337948,0.225249,0.269881,0.833078
0,23,22,5000,100,4,0.337966,0.228140,0.270481,0.836587
1,23,0,5000,100,4,0.291992,0.228878,0.275535,0.796405
1,23,1,5000,100,4,0.334824,0.209247,0.269897,0.813968
1,23,2,5000,100,4,0.332408,0.211525,0.269879,0.813812
1,23,3,5000,100,4,0.337716,0.207035,0.269659,0.814410
1,23,4,5000,100,4,0.338531,0.208182,0.270275,0.816988
1,23,5,5000,100,4,0.334411,0.210535,0.270242,0.815189
1,23,6,5000,100,4,0.332628,0.210039,0.270935,0.813602
1,23,7,5000,100,4,0.340162,0.206293,0.269943,0.816398
1,23,8,5000,100,4,0.336748,0.208346,0.270892,0.815986
1,23,9,5000,100,4,0.337285,0.209901,0.269979,0.817165
1,23,10,5000,100,4,0.330519,0.212125,0.270619,0.813263
1,23,11,5000,100,4,0.341163,0.207232,0.269366,0.817761
1,23,12,5000,100,4,0.333771,0.209686,0.270541,0.813998
1,23,13,5000,100,4,0.336752,0.206886,0.270071,0.813709
1,23,14,5000,100,4,0.337330,0.206163,0.270597,0.814089
1,23,15,5000,100,4,0.333246,0.208010,0.270625,0.811881
1,23,16,5000,100,4,0.335812,0.211684,0.269550,0.817047
1,23,17,5000,100,4,0.342994,0.208342,0.269911,0.821247
1,23,18,5000,100,4,0.340586,0.207239,0.270321,0.818146
1,23,19,5000,100,4,0.337077,0.210826,0.269817,0.817720
1,23,20,5000,100,4,0.335173,0.209838,0.269683,0.814695
1,23,21,5000,100,4,0.337766,0.208900,0.269905,0.816570
1,23,22,5000,100,4,0.335418,0.209427,0.270690,0.815535
3,23,0,5000,100,4,0.362299,0.102704,0.278283,0.743286
3,23,1,5000,100,4,0.413046,0.083897,0.270073,0.767016
3,23,2,5000,100,4,0.411232,0.083637,0.270784,0.765653
3,23,3,5000,100,4,0.410169,0.082619,0.269367,0.762155
3,23,4,5000,100,4,0.417279,0.081012,0.270940,0.769231
3,23,5,5000,100,4,0.410911,0.081848,0.270720,0.763479
3,23,6,5000,100,4,0.413829,0.082291,0.271385,0.767505
3,23,7,5000,100,4,0.411765,0.082756,0.270606,0.765126
3,23,8,5000,100,4,0.414459,0.080166,0.270688,0.765313
3,23,9,5000,100,4,0.412581,0.081320,0.270798,0.764699
3,23,10,5000,100,4,0.416077,0.080732,0.270939,0.767748
3,23,11,5000,100,4,0.416251,0.083580,0.270935,0.770766
3,23,12,5000,100,4,0.413323,0.082213,0.270970,0.766506
3,23,13,5000,100,4,0.412116,0.081844,0.271039,0.764999
3,23,14,5000,100,4,0.413165,0.083588,0.270623,0.767376
3,23,15,5000,100,4,0.411627,0.081865,0.270929,0.764421
3,23,16,5000,100,4,0.415152,0.082363,0.270978,0.768492
3,23,17,5000,100,4,0.417420,0.080806,0.271687,0.769913
3,23,18,5000,100,4,0.414949,0.083082,0.271078,0.769108
3,23,19,5000,100,4,0.418309,0.082873,0.271307,0.772489
3,23,20,5000,100,4,0.417186,0.080960,0.271795,0.769940
3,23,21,5000,100,4,0.414006,0.080724,0.271089,0.765819
3,23,22,5000,100,4,0.416228,0.081935,0.271782,0.769945
2,23,0,5000,100,40,0.377925,0.173781,0.278435,0.830141
2,23,1,5000,100,40,0.426615,0.140505,0.271053,0.838173
2,23,2,5000,100,40,0.426757,0.144081,0.271171,0.842010
2,23,3,5000,100,40,0.420758,0.147336,0.271038,0.839132
2,23,4,5000,100,40,0.427044,0.144747,0.270939,0.842730
2,23,5,5000,100,40,0.426861,0.144924,0.270936,0.842721
2,23,6,5000,100,40,0.433366,0.140101,0.271580,0.845047
2,23,7,5000,100,40,0.427242,0.142231,0.271134,0.840607
2,23,8,5000,100,40,0.424435,0.141692,0.270828,0.836956
2,23,9,5000,100,40,0.425476,0.142743,0.270969,0.839188
2,23,10,5000,100,40,0.423763,0.145977,0.270486,0.840226
2,23,11,5000,100,40,0.423496,0.145636,0.270231,0.839364
2,23,12,5000,100,40,0.423956,0.145575,0.270987,0.840518
2,23,13,5000,100,40,0.424361,0.142343,0.270669,0.837373
2,23,14,5000,100,40,0.421247,0.145580,0.270799,0.837626
2,23,15,5000,100,40,0.422246,0.147562,0.269614,0.839422
2,23,16,5000,100,40,0.424973,0.149037,0.271363,0.845373
2,23,17,5000,100,40,0.432194,0.143121,0.271524,0.846838
2,23,18,5000,100,40,0.424342,0.144915,0.270918,0.840175
2,23,19,5000,100,40,0.426917,0.146061,0.271598,0.844576
2,23,20,5000,100,40,0.421771,0.146443,0.271023,0.839237
2,23,21,5000,100,40,0.431412,0.141306,0.271091,0.843810
2,23,22,5000,100,40,0.424464,0.147817,0.271083,0.843363
1,23,0,5000,100,40,0.316481,0.260773,0.275660,0.852914
1,23,1,5000,100,40,0.354138,0.247471,0.270645,0.872255
1,23,2,5000,100,40,0.357887,0.244906,0.270603,0.873396
1,23,3,5000,100,40,0.355326,0.248694,0.270917,0.874936
1,23,4,5000,100,40,0.353696,0.247007,0.270714,0.871417
1,23,5,5000,100,40,0.359109,0.246349,0.271058,0.876516
