rank,nthreads,thread,rep,work,msg_size,post_time,wait_time,comp_time,comm_time
0,23,0,5000,100,4,0.312870,0.282481,0.270542,0.865893
0,23,1,5000,100,4,0.311477,0.285949,0.271032,0.868458
0,23,2,5000,100,4,0.310157,0.281371,0.270568,0.862096
0,23,3,5000,100,4,0.311302,0.279751,0.270439,0.861492
0,23,4,5000,100,4,0.311409,0.280490,0.270228,0.862126
0,23,5,5000,100,4,0.311599,0.283450,0.270662,0.865711
0,23,6,5000,100,4,0.311624,0.282021,0.270672,0.864317
0,23,7,5000,100,4,0.311341,0.280371,0.271156,0.862868
0,23,8,5000,100,4,0.304012,0.288019,0.270203,0.862234
0,23,9,5000,100,4,0.311571,0.282395,0.269898,0.863864
0,23,10,5000,100,4,0.309398,0.284918,0.270543,0.864859
0,23,11,5000,100,4,0.313553,0.281872,0.269834,0.865259
0,23,12,5000,100,4,0.311827,0.281357,0.270433,0.863616
0,23,13,5000,100,4,0.309705,0.283995,0.270460,0.864160
0,23,14,5000,100,4,0.310158,0.282285,0.270159,0.862602
0,23,15,5000,100,4,0.311043,0.280441,0.270957,0.862441
0,23,16,5000,100,4,0.308988,0.284368,0.270750,0.864106
0,23,17,5000,100,4,0.308393,0.283587,0.271246,0.863225
0,23,18,5000,100,4,0.316260,0.281633,0.270088,0.867981
0,23,19,5000,100,4,0.312178,0.282197,0.270504,0.864879
0,23,20,5000,100,4,0.307185,0.283353,0.271124,0.861662
0,23,21,5000,100,4,0.312962,0.281315,0.270551,0.864828
0,23,22,5000,100,4,0.310297,0.283665,0.270854,0.864816
2,23,0,5000,100,4,0.337143,0.227760,0.270962,0.835864
2,23,1,5000,100,4,0.329867,0.229367,0.270010,0.829244
2,23,2,5000,100,4,0.332704,0.230039,0.270647,0.833390
2,23,3,5000,100,4,0.329035,0.230083,0.270957,0.830075
2,23,4,5000,100,4,0.328416,0.232818,0.270221,0.831455
2,23,5,5000,100,4,0.333920,0.230250,0.270093,0.834264
2,23,6,5000,100,4,0.329702,0.230633,0.270510,0.830844
2,23,7,5000,100,4,0.329399,0.231401,0.270958,0.831758
2,23,8,5000,100,4,0.328565,0.231432,0.270508,0.830504
2,23,9,5000,100,4,0.331531,0.232095,0.270575,0.834201
2,23,10,5000,100,4,0.333647,0.231815,0.270091,0.835553
2,23,11,5000,100,4,0.335851,0.229487,0.271337,0.836675
2,23,12,5000,100,4,0.329660,0.231019,0.270706,0.831385
2,23,13,5000,100,4,0.329956,0.231690,0.270761,0.832408
2,23,14,5000,100,4,0.331415,0.230366,0.270283,0.832064
2,23,15,5000,100,4,0.331264,0.231850,0.270992,0.834105
2,23,16,5000,100,4,0.330428,0.230264,0.271097,0.831789
2,23,17,5000,100,4,0.331943,0.231368,0.270673,0.833984
2,23,18,5000,100,4,0.329000,0.232712,0.270698,0.832409
2,23,19,5000,100,4,0.330584,0.230293,0.270853,0.831731
2,23,20,5000,100,4,0.335167,0.230728,0.270294,0.836189
2,23,21,5000,100,4,0.332669,0.231463,0.270807,0.834939
2,23,22,5000,100,4,0.333145,0.228271,0.270904,0.832320
1,23,0,5000,100,4,0.324063,0.128858,0.270712,0.723633
1,23,1,5000,100,4,0.316767,0.128350,0.270401,0.715519
1,23,2,5000,100,4,0.317216,0.129264,0.270315,0.716796
1,23,3,5000,100,4,0.316749,0.129646,0.269915,0.716310
1,23,4,5000,100,4,0.320756,0.126437,0.269899,0.717091
1,23,5,5000,100,4,0.317201,0.128983,0.270132,0.716315
1,23,6,5000,100,4,0.317800,0.130940,0.270337,0.719077
1,23,7,5000,100,4,0.322675,0.127052,0.269741,0.719468
1,23,8,5000,100,4,0.315966,0.130108,0.270343,0.716417
1,23,9,5000,100,4,0.318633,0.127417,0.271531,0.717582
1,23,10,5000,100,4,0.316009,0.126459,0.271515,0.713983
1,23,11,5000,100,4,0.317198,0.131407,0.271184,0.719790
1,23,12,5000,100,4,0.324005,0.123449,0.271551,0.719005
