bench,nodes,conf,mode,tcore_default,tresid_default,tcore_offload,tresid_offload
534.hpgmgfv_t,1,1,multiple,368.681371,1.240499,369.733798,1.242538
534.hpgmgfv_t,1,1,funneled,360.447423,1.209153,363.297543,1.238144
534.hpgmgfv_t,2,1,multiple,185.252429,0.623863,183.107152,0.617104
534.hpgmgfv_t,2,1,funneled,187.881516,0.613451,179.332429,0.603706
534.hpgmgfv_t,4,1,multiple,99.366781,0.340256,96.584938,0.327861
534.hpgmgfv_t,4,1,funneled,103.524712,0.347230,94.197034,0.316956
534.hpgmgfv_t,8,1,multiple,66.691718,0.223665,65.493105,0.215960
534.hpgmgfv_t,8,1,funneled,65.955577,0.218889,62.205145,0.207161
534.hpgmgfv_t,16,1,multiple,45.742392,0.147617,40.429526,0.135266
534.hpgmgfv_t,16,1,funneled,40.477571,0.131559,37.750656,0.124782
534.hpgmgfv_t,32,1,multiple,35.770021,0.121598,32.693553,0.107203
534.hpgmgfv_t,32,1,funneled,27.586748,0.097378,29.277485,0.098304
534.hpgmgfv_t,64,1,multiple,32.804834,0.113250,28.074482,0.109692
534.hpgmgfv_t,64,1,funneled,24.575352,0.084413,24.212019,0.082857
534.hpgmgfv_t,128,1,multiple,29.922382,0.104751,25.436826,0.086236
534.hpgmgfv_t,128,1,funneled,21.962041,0.074379,22.309310,0.075698
534.hpgmgfv_t,1,2,multiple,345.771567,1.165719,351.045238,1.183832
534.hpgmgfv_t,1,2,funneled,344.096681,1.168350,350.737965,1.177983
534.hpgmgfv_t,2,2,multiple,173.456365,0.584851,172.866228,0.582800
534.hpgmgfv_t,2,2,funneled,170.961645,0.575027,172.123945,0.581048
534.hpgmgfv_t,4,2,multiple,92.239520,0.312616,89.063843,0.302383
534.hpgmgfv_t,4,2,funneled,87.862079,0.292890,88.700923,0.302434
534.hpgmgfv_t,8,2,multiple,55.589758,0.187480,53.959056,0.181382
534.hpgmgfv_t,8,2,funneled,54.727247,0.178335,52.883345,0.178368
534.hpgmgfv_t,16,2,multiple,35.606648,0.120279,31.985706,0.108165
534.hpgmgfv_t,16,2,funneled,31.024001,0.104850,31.855332,0.105016
534.hpgmgfv_t,32,2,multiple,27.406907,0.094282,22.885027,0.076758
534.hpgmgfv_t,32,2,funneled,20.151017,0.069075,21.409623,0.072739
534.hpgmgfv_t,64,2,multiple,24.344481,0.082212,19.277650,0.066497
534.hpgmgfv_t,64,2,funneled,16.949531,0.061333,18.185664,0.061830
534.hpgmgfv_t,128,2,multiple,22.350471,0.075246,18.523203,0.084751
534.hpgmgfv_t,128,2,funneled,14.699526,0.052597,18.889811,0.080612
534.hpgmgfv_t,1,3,multiple,329.560441,1.105439,332.003940,1.116081
534.hpgmgfv_t,1,3,funneled,326.134363,1.099392,330.682871,1.116396
534.hpgmgfv_t,2,3,multiple,164.398765,0.554508,163.587378,0.550883
534.hpgmgfv_t,2,3,funneled,161.838626,0.545707,163.037354,0.569517
534.hpgmgfv_t,4,3,multiple,82.645413,0.278572,80.223188,0.271383
534.hpgmgfv_t,4,3,funneled,78.481261,0.263270,79.660449,0.269612
534.hpgmgfv_t,8,3,multiple,50.861751,0.171588,46.776095,0.159421
534.hpgmgfv_t,8,3,funneled,45.361746,0.152631,46.411132,0.156780
534.hpgmgfv_t,16,3,multiple,30.739155,0.104792,26.649778,0.089824
534.hpgmgfv_t,16,3,funneled,26.917316,0.090116,26.459815,0.089573
534.hpgmgfv_t,32,3,multiple,23.073988,0.076577,18.975767,0.063378
534.hpgmgfv_t,32,3,funneled,16.605693,0.056057,18.526839,0.062299
534.hpgmgfv_t,64,3,multiple,19.454096,0.065471,15.696349,0.053384
534.hpgmgfv_t,64,3,funneled,13.697967,0.045491,15.142504,0.051068
534.hpgmgfv_t,128,3,multiple,18.947356,0.064961,14.395967,0.048382
