bench,nodes,conf,mode,tcore_default,tresid_default,tcore_offload,tresid_offload
hpgmgfv_t,1,1,funneled,595.099213,2.038177,580.276439,2.014352
hpgmgfv_t,2,1,funneled,304.948582,1.045071,293.432936,1.010056
hpgmgfv_t,4,1,funneled,157.691789,0.551316,151.208516,0.529532
hpgmgfv_t,8,1,funneled,92.393892,0.328713,85.723915,0.303424
hpgmgfv_t,16,1,funneled,54.406577,0.214901,52.441400,0.182872
hpgmgfv_t,32,1,funneled,35.093903,0.128371,36.444268,0.130815
hpgmgfv_t,64,1,funneled,29.627971,0.105471,31.712768,0.120621
hpgmgfv_t,1,1,multiple,598.713213,2.049900,580.276439,2.014352
hpgmgfv_t,2,1,multiple,309.620300,1.062602,293.432936,1.010056
hpgmgfv_t,4,1,multiple,165.032322,0.582745,151.208516,0.529532
hpgmgfv_t,8,1,multiple,104.575924,0.358708,85.723915,0.303424
hpgmgfv_t,16,1,multiple,69.467538,0.246026,52.441400,0.182872
hpgmgfv_t,32,1,multiple,58.333098,0.192148,36.444268,0.130815
hpgmgfv_t,64,1,multiple,51.149651,0.161154,31.712768,0.120621
hpgmgfv_s,4,1,funneled,1215.242723,4.212528,1181.878317,4.030345
hpgmgfv_s,8,1,funneled,642.275613,2.248542,607.990479,2.082211
hpgmgfv_s,16,1,funneled,339.767544,1.152254,318.478695,1.084430
hpgmgfv_s,32,1,funneled,182.166415,0.632547,171.176180,0.592148
hpgmgfv_s,64,1,funneled,107.079092,0.367920,102.650534,0.366672
hpgmgfv_s,128,1,funneled,65.768724,0.220607,63.935686,0.236448
hpgmgfv_s,256,1,funneled,47.274601,0.164989,47.276295,0.164586
hpgmgfv_s,512,1,funneled,41.158582,0.154726,41.774217,0.147430
hpgmgfv_s,4,1,multiple,1223.633134,4.171102,1181.878317,4.030345
hpgmgfv_s,8,1,multiple,657.525061,2.229838,607.990479,2.082211
hpgmgfv_s,16,1,multiple,364.485670,1.238083,318.478695,1.084430
hpgmgfv_s,32,1,multiple,212.947004,0.746670,171.176180,0.592148
hpgmgfv_s,64,1,multiple,135.983366,0.452918,102.650534,0.366672
hpgmgfv_s,128,1,multiple,101.574333,0.317495,63.935686,0.236448
hpgmgfv_s,256,1,multiple,85.763049,0.259059,47.276295,0.164586
hpgmgfv_s,512,1,multiple,79.206120,0.217681,41.774217,0.147430
hpgmgfv_m,64,1,funneled,697.392392,2.389147,646.612667,2.169320
hpgmgfv_m,128,1,funneled,377.518471,1.292830,347.181163,1.156598
hpgmgfv_m,256,1,funneled,204.107046,0.680095,194.424981,0.640541
hpgmgfv_m,512,1,funneled,127.993397,0.453649,119.303094,0.417984
hpgmgfv_m,64,1,multiple,750.464358,2.775029,646.612667,2.169320
hpgmgfv_m,128,1,multiple,433.763073,1.733486,347.181163,1.156598
hpgmgfv_m,256,1,multiple,265.997754,0.867281,194.424981,0.640541
hpgmgfv_m,512,1,multiple,283.958402,1.082973,119.303094,0.417984
