bench,nodes,conf,tcore_funneled,tresid_funneled,tcore_multiple,tresid_multiple,tcore_offload,tresid_offload
hpgmgfv_t,1,1,595.099213,2.038177,598.713213,2.049900,580.276439,2.014352
hpgmgfv_t,2,1,304.948582,1.045071,309.620300,1.062602,293.432936,1.010056
hpgmgfv_t,4,1,157.691789,0.551316,165.032322,0.582745,151.208516,0.529532
hpgmgfv_t,8,1,92.393892,0.328713,104.575924,0.358708,85.723915,0.303424
hpgmgfv_t,16,1,54.406577,0.214901,69.467538,0.246026,52.441400,0.182872
hpgmgfv_t,32,1,35.093903,0.128371,58.333098,0.192148,36.444268,0.130815
hpgmgfv_t,64,1,29.627971,0.105471,51.149651,0.161154,31.712768,0.120621
hpgmgfv_s,4,1,1215.242723,4.212528,1223.633134,4.171102,1181.878317,4.030345
hpgmgfv_s,8,1,642.275613,2.248542,657.525061,2.229838,607.990479,2.082211
hpgmgfv_s,16,1,339.767544,1.152254,364.485670,1.238083,318.478695,1.084430
hpgmgfv_s,32,1,182.166415,0.632547,212.947004,0.746670,171.176180,0.592148
hpgmgfv_s,64,1,107.079092,0.367920,135.983366,0.452918,102.650534,0.366672
hpgmgfv_s,128,1,65.768724,0.220607,101.574333,0.317495,63.935686,0.236448
hpgmgfv_s,256,1,47.274601,0.164989,85.763049,0.259059,47.276295,0.164586
hpgmgfv_s,512,1,41.158582,0.154726,79.206120,0.217681,41.774217,0.147430
hpgmgfv_m,64,1,697.392392,2.389147,750.464358,2.775029,646.612667,2.169320
hpgmgfv_m,128,1,377.518471,1.292830,433.763073,1.733486,347.181163,1.156598
hpgmgfv_m,256,1,204.107046,0.680095,265.997754,0.867281,194.424981,0.640541
hpgmgfv_m,512,1,127.993397,0.453649,283.958402,1.082973,119.303094,0.417984
